,Station Name,Address  1,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
0,COA FLEET - PIE / BARTON #2,505 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,J1772,240V,J1772,"30.256936, -97.749284",$4.17/month PIE members $2/hr Non-Members,40A
1,COA FLEET - PIE / ROOF 2,625 E 10th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,NEMA 5-20R,240V,J1772,"30.2696, -97.73477",$4.17/month PIE members $2/hr Non-Members,40A
2,HPI 3700 / 3900 SC 4,3900 N Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.337935, -97.808041",$4.17/month PIE members $2/hr Non-Members,40A
3,HPE AUSTIN / TXN04 A,14231 Tandem Blvd,Austin,Texas,78728,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.445476, -97.690074",$4.17/month PIE members $2/hr Non-Members,40A
4,NATIONAL INSTRU / 5&6,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408705, -97.725377",$4.17/month PIE members $2/hr Non-Members,40A
5,LADERA BEND / BUILDING 3,6585-6621 Jester Blvd,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.371215, -97.800887",$4.17/month PIE members $2/hr Non-Members,40A
6,CZPROPERTIES / FLOOR 2 UNIT 1,1400 Lavaca St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.276924, -97.74264",$4.17/month PIE members $2/hr Non-Members,40A
7,COA FLEET - PIE / TOOMEY #2,1501-1615 Toomey Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.263716, -97.759239",$4.17/month PIE members $2/hr Non-Members,40A
8,CATHERINE / CATHERINE 1,300 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.259096, -97.747775",$4.17/month PIE members $2/hr Non-Members,40A
9,PIE AE / HOWSONBRCHLIBR2,2500 Exposition blvd,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.298396, -97.767903",$4.17/month PIE members $2/hr Non-Members,40A
10,HYATT PLACE / HP STATION 3,Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Hospitality,J1772,240V,J1772,"30.210387, -97.664586",$4.17/month PIE members $2/hr Non-Members,40A
11,PIE AE / HAMPTON LBRY1,5125 Convict Hill Rd,Austin,Texas,78749,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,J1772,240V,J1772,"30.218091, -97.855",$4.17/month PIE members $2/hr Non-Members,40A
12,FOUNDATION COMM / JORDAN3,2724 Philomena St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.298681, -97.6948",$4.17/month PIE members $2/hr Non-Members,40A
13,COA / TWIN OAKS #1,1800 S 5th St,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,J1772,240V,J1772,"30.248932, -97.762283",$4.17/month PIE members $2/hr Non-Members,40A
14,HPI 3700 / EV 2,3700 N Capital of Texas Hwy,Austin,Texas,78746,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.336797, -97.806151",$4.17/month PIE members $2/hr Non-Members,40A
15,AUSTIN / AUSTIN 200 2,200 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.26445, -97.746142",$4.17/month PIE members $2/hr Non-Members,40A
16,PIE AE / PUBWYNDHAMGARD1,1600-1628 Woodward St,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.222774, -97.74635",$4.17/month PIE members $2/hr Non-Members,40A
17,FOUNDATION COMM / STATION 01,11015 four points dr,Austin,Texas,78726,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.39921, -97.846895",$4.17/month PIE members $2/hr Non-Members,40A
18,COA FLEET - PIE / FLOOR 4,900 N Interstate Hwy 35,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,J1772,240V,J1772,"30.269044, -97.73428",$4.17/month PIE members $2/hr Non-Members,40A
19,NATIONAL INSTRU / 17&18;,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408534, -97.727744",$4.17/month PIE members $2/hr Non-Members,40A
20,SCHOOL / LANIER1,1201 Payton gin rd.,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Education,J1772,240V,J1772,"30.360173, -97.709582",$4.17/month PIE members $2/hr Non-Members,40A
21,HANOVER / L7,110 San Antonio St,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,J1772,--,--,"30.265166, -97.749131",$4.17/month PIE members $2/hr Non-Members,40A
22,ENDEAVOR REG / DELLANA LN 1,2602 Dellana Ln,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.268309, -97.783776",$4.17/month PIE members $2/hr Non-Members,40A
23,CITY VIEW / STATION2,1120 S Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.283044, -97.824902",$4.17/month PIE members $2/hr Non-Members,40A
24,AVIATION / 2ND FLOOR L,3201 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.20473, -97.669397",$4.17/month PIE members $2/hr Non-Members,40A
25,SALTILLO / BLOCK 2,1011 E 5th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.263955, -97.732721",$4.17/month PIE members $2/hr Non-Members,40A
26,RPP GARAGE / ISLAND 2,12301 Research Blvd,Austin,Texas,78759,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.427967, -97.754411",$4.17/month PIE members $2/hr Non-Members,40A
