,Station Name,Address  1,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
27,16 / OAKVILLE APTS,7011 W Parmer Ln,Austin,Texas,78729,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.450758, -97.749282",$4.17/month PIE members $2/hr Non-Members,40A
28,HPI 3700 / 3900 SC #1,3900 N Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.337898, -97.807867",$4.17/month PIE members $2/hr Non-Members,40A
29,AMD GO GREEN / P100 FL3 LEFT,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.250807, -97.861696",$4.17/month PIE members $2/hr Non-Members,40A
30,PARMER AUSTIN / PIC #2,13011c McCallen Pass,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.409607, -97.659318",$4.17/month PIE members $2/hr Non-Members,40A
31,HPI 3700 / EV 4,3700 N Capital of Texas Hwy,Austin,Texas,78746,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.336723, -97.806259",$4.17/month PIE members $2/hr Non-Members,40A
32,ENDEAVOR REG / 901 E 6TH ST 4,901 E 6th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.265013, -97.733449",$4.17/month PIE members $2/hr Non-Members,40A
33,LADERA BEND / GATED GARAGE 2,7300 Ranch Rd 2222,Austin,Texas,78730,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.372159, -97.80166",$4.17/month PIE members $2/hr Non-Members,40A
34,HANOVER / L5,110 San Antonio St,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,J1772,--,--,"30.265299, -97.749118",$4.17/month PIE members $2/hr Non-Members,40A
35,PARMER AUSTIN / STATION PIC 4,509 E Howard Ln,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.411955, -97.652813",$4.17/month PIE members $2/hr Non-Members,40A
36,PIE AE / PUB-CENTRALMKTS,4465-4475 S Lamar Blvd,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.232256, -97.798438",$4.17/month PIE members $2/hr Non-Members,40A
37,RAINEY STREET / MILLENNIUM 01,91 Rainey St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.260803, -97.737765",$4.17/month PIE members $2/hr Non-Members,40A
38,PALOMA RIDGE / PALOMA BDG C #3,13620 N FM 620,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.477716, -97.779045",$4.17/month PIE members $2/hr Non-Members,40A
39,AVIATION / 5TH FLOOR,3201 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parks and Recreation,J1772,240V,J1772,"30.204665, -97.669632",$4.17/month PIE members $2/hr Non-Members,40A
40,PIE AE / PUBPEARSONH LN1,400 Center Ridge Dr,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.417411, -97.664204",$4.17/month PIE members $2/hr Non-Members,40A
41,AISD PAC / AISD PAC #1,Mueller Blvd,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,J1772,240V,J1772,"30.305454, -97.702666",$4.17/month PIE members $2/hr Non-Members,40A
42,PIE AE / RUTHERFORD #8,1520 Rutherford Ln,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.337751, -97.680756",$4.17/month PIE members $2/hr Non-Members,40A
43,ENDEAVOR REG / 901 E 6TH ST 2,901 E 6th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.265007, -97.733526",$4.17/month PIE members $2/hr Non-Members,40A
44,ENCINO STATIONS / ARM EMPLOYEES,5707 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.243704, -97.846168",$4.17/month PIE members $2/hr Non-Members,40A
45,PIE AE / MACC STATION 2,600 River St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,J1772,240V,J1772,"30.25848, -97.73948",$4.17/month PIE members $2/hr Non-Members,40A
46,PIE AE / RIO2 REMOVED SC,1212 Rio Grande St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,NEMA 5-20R,240V,J1772,"30.277239, -97.747215",$4.17/month PIE members $2/hr Non-Members,40A
47,PIE AE / NWRECCENTER 1,2913 Marilyn Dr,Austin,Texas,78757,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.33403, -97.751448",$4.17/month PIE members $2/hr Non-Members,40A
48,PIE AE / PUBACCSOAUSTIN1,5517 Manchaca Rd,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.216019, -97.796332",$4.17/month PIE members $2/hr Non-Members,30A
49,ST. JOHNS WEST / JOHNS E,601 W St Johns Ave,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.3378, -97.714764",$4.17/month PIE members $2/hr Non-Members,40A
50,REPUBLICSQUARE / GABLES REPUB2,217B W 4th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.26679, -97.74565",$4.17/month PIE members $2/hr Non-Members,40A
51,PIE AE / PUBCHASEESCAL1,4301 Westbank Dr,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,NEMA 5-20R,240V,J1772,"30.27567, -97.817127",$4.17/month PIE members $2/hr Non-Members,40A
52,CHAMPION OFFICE / EV #1,6433 Champion Grandview Way,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.363141, -97.793613",$4.17/month PIE members $2/hr Non-Members,40A
53,FLATIRON DOMAIN / FLATIRON DOM 1,10727 Domain Dr,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.393731, -97.725579",$4.17/month PIE members $2/hr Non-Members,30A
54,SCHOOL / TRAVIS2,1211 E Oltorf St.,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Education,J1772,240V,J1772,"30.232206, -97.743837",$4.17/month PIE members $2/hr Non-Members,40A
55,PIE AE / PUBACCPINNACLE2,7748 Hwy 290 W,Austin,Texas,78736,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,NEMA 5-20R,240V,J1772,"30.23143, -97.883171",$4.17/month PIE members $2/hr Non-Members,40A
56,AMBEROAKS-AE / AMBER 1,9001 Amberglen Blvd,Austin,Texas,78729,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.470002, -97.766435",$4.17/month PIE members $2/hr Non-Members,40A
57,COA FLEET - PIE / MEINARD #2,4393-4799 Meinardus Dr,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.211357, -97.752083",$4.17/month PIE members $2/hr Non-Members,40A
58,FOUNDRY / STATION 4,310 Comal St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.261084, -97.727822",$4.17/month PIE members $2/hr Non-Members,40A
59,PIE AE / CONVENTION CTR1,111 Congress Ave,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.263755, -97.743423",$4.17/month PIE members $2/hr Non-Members,40A
60,CEDARHILLS-AE / CEDARHILL 1,4100 W Slaughter Ln,Austin,Texas,78749,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.189638, -97.856428",$4.17/month PIE members $2/hr Non-Members,40A
61,PIE AE / HOWSONBRCHLIBR1,2500 Exposition Blvd,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,J1772,240V,J1772,"30.298412, -97.767959",$4.17/month PIE members $2/hr Non-Members,40A
62,YETI RAMBLERS / EVSE #1,7601 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.256412, -97.871799",$4.17/month PIE members $2/hr Non-Members,40A
63,AXO GROUP LLC / AUSTIN CHARGE,601-699 Brushy St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.266047, -97.733139",$4.17/month PIE members $2/hr Non-Members,40A
64,COA / DOA - CONRAC2,3819 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Retail,J1772,240V,J1772,"30.204655, -97.666451",$4.17/month PIE members $2/hr Non-Members,40A
65,B AUSTIN / STATION 1,6700 Manchaca Rd,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.206406, -97.807047",$4.17/month PIE members $2/hr Non-Members,40A
66,BRANDYWINE AUST / FOUR POINTS 1,11120 4 Points Dr,Austin,Texas,78726,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.405365, -97.84813",$4.17/month PIE members $2/hr Non-Members,40A
67,PIE AE / CONVENTION CTR2,111 Congress Ave,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.263746, -97.743476",$4.17/month PIE members $2/hr Non-Members,40A
68,BUILDING 7 EVCS / STATION1,909 Reinli St,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.318426, -97.71069",$4.17/month PIE members $2/hr Non-Members,40A
69,7700 PARMER / 7700 PARMER 2,7700 W PARMER LN,Austin,Texas,78729,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.458594, -97.7526",$4.17/month PIE members $2/hr Non-Members,40A
70,PIE AE / PUBACCHIGHLAND1,5930 Middle Fiskville Rd,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.322654, -97.712743",$4.17/month PIE members $2/hr Non-Members,40A
71,WHITLEY MAIN / PIE-M WHITLEY,301 Brazos St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.265199, -97.742194",$4.17/month PIE members $2/hr Non-Members,40A
72,COA FLEET - PIE / FLOOR 4 ADA,625 E 10th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,NEMA 5-20R,240V,J1772,"30.2696, -97.734679",$4.17/month PIE members $2/hr Non-Members,40A
73,COA / LOT J SW,10137 Hotel Dr,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Workplace,J1772,240V,J1772,"30.207559, -97.661039",$4.17/month PIE members $2/hr Non-Members,40A
74,HPI 3700 / EV 6,4339 N Capital of Texas Hwy,Austin,Texas,78746,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.336616, -97.8076",$4.17/month PIE members $2/hr Non-Members,40A
75,PIE AE / MACC STATION 1,600 River St.,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,J1772,240V,J1772,"30.258523, -97.739467",$4.17/month PIE members $2/hr Non-Members,40A
76,ACC-AE / RIO GRANDE GAR2,824 W 12th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,J1772,240V,J1772,"30.276423, -97.749389",$4.17/month PIE members $2/hr Non-Members,40A
77,ENCINO STATIONS / STATION 1,5707 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.243726, -97.845725",$4.17/month PIE members $2/hr Non-Members,40A
78,FOUNDATION COMM / JORDAN4,2724 Philomena St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.298859, -97.694978",$4.17/month PIE members $2/hr Non-Members,40A
79,DEVLOPER / TRAMMELLCROW5,San Antonio St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.265885, -97.748891",$4.17/month PIE members $2/hr Non-Members,40A
80,THE MEDVE GROUP / ARTS S AUSTIN,400 W St Elmo Rd,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.221064, -97.770408",$4.17/month PIE members $2/hr Non-Members,40A
81,TR DOMAIN 11 / STATION 1,11920 Alterra Pkwy,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.405714, -97.71939",$4.17/month PIE members $2/hr Non-Members,30A
82,PIE AE / CITY HALL STAT1,400 W 2nd St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.264942, -97.746925",$4.17/month PIE members $2/hr Non-Members,40A
83,PIE AE / ERCOT 1,7620 Metro Center Dr,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,NEMA 5-20R,240V,J1772,"30.2165, -97.691795",$4.17/month PIE members $2/hr Non-Members,40A
84,PIE AE / PALMER STATION1,736-820 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,NEMA 5-20R,240V,J1772,"30.259287, -97.751956",$4.17/month PIE members $2/hr Non-Members,40A
85,HIDAUSTIN / STATION 1,611 Center Ridge Dr,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.414119, -97.667009",$4.17/month PIE members $2/hr Non-Members,40A
86,SAS / SAMSUNG 6,12100 samsung blvd,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.377439, -97.639693",$4.17/month PIE members $2/hr Non-Members,40A
87,AVIATION / 2ND FLOOR R,3201 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.204572, -97.669392",$4.17/month PIE members $2/hr Non-Members,30A
88,PIE AE / PUB ACC NRIDGE2,Campus Dr,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.40429, -97.705587",$4.17/month PIE members $2/hr Non-Members,40A
89,AMD GO GREEN / P300 FL2,6825 Rialto Blvd,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.249626, -97.860776",$4.17/month PIE members $2/hr Non-Members,40A
90,FROST / 2,401 Congress,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.267047, -97.742012",$4.17/month PIE members $2/hr Non-Members,40A
91,GIBSON FLATS / STATION 2,1219 S Lamar Blvd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.254054, -97.761959",$4.17/month PIE members $2/hr Non-Members,40A
92,BURNET FLATS / BURNET FLATS G1,5453 Burnet Rd,Austin,Texas,78756,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.330046, -97.739251",$4.17/month PIE members $2/hr Non-Members,40A
93,NATIONAL INSTRU / 19&20;,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.40854, -97.72767",$4.17/month PIE members $2/hr Non-Members,40A
94,PIE AE / PALMER STATION8,846-888 Barton Springs Rd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.259864, -97.752661",$4.17/month PIE members $2/hr Non-Members,40A
95,PIE AE / PUBGABLES 5TH 2,1611 W 5th St,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.274388, -97.764731",$4.17/month PIE members $2/hr Non-Members,40A
96,GALLERIA OAKS / GALLERIA OAKS 1,3927 Ranch Rd 620 S,Austin,Texas,78738,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.313121, -97.946493",$4.17/month PIE members $2/hr Non-Members,40A
97,MUELLER MARKET / MUELLER ST7,1801 E 51st St,Austin,Texas,78723,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,--,--,"30.300934, -97.699428",$4.17/month PIE members $2/hr Non-Members,30A
98,COA FLEET - PIE / RUTHERFORD #9,1520 Rutherford Ln,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.335875, -97.679382",$4.17/month PIE members $2/hr Non-Members,40A
99,AUSTIN HQ / STATION 1,4200 Smith School Dr,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.192647, -97.714329",$4.17/month PIE members $2/hr Non-Members,40A
100,AISD PAC / AISD PAC #4,1301-1603 E 51st St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,J1772,240V,J1772,"30.305269, -97.702269",$4.17/month PIE members $2/hr Non-Members,40A
101,MONOGRAM / PARKING 4-5,615 W 7th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.270567, -97.748906",$4.17/month PIE members $2/hr Non-Members,40A
102,ENDEAVOR REG / STATION2,11001 Lakeline Blvd,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.479702, -97.793993",$4.17/month PIE members $2/hr Non-Members,40A
103,1801 E 6TH / AUSTIN 1801 1,1805 E 6th St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.261687, -97.723468",$4.17/month PIE members $2/hr Non-Members,40A
104,SLEEP INN / SLEEP INN 1,8410 E Hwy 290,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Hospitality,J1772,240V,J1772,"30.329889, -97.661712",$4.17/month PIE members $2/hr Non-Members,40A
105,PALOMA RIDGE / PALOMA BDG C #5,13620 Ranch Rd 620 N,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.477983, -97.778114",$4.17/month PIE members $2/hr Non-Members,40A
