name,address,longitude,latitude,location_category,location_sub_category,description,open_date,parking,pricing,free_use,contact,networks,total_plugs,port_level_type,renewable_power_supply,power_outputs_kw,Plugs_CHAdeMO,Plugs_Tesla,Plugs_CCS_SAE,Plugs_J1772,Plugs_Type2,Plugs_Three_Phase,Plugs_Commando,Plugs_Wall_AU_NZ,Plugs_Caravan_Mains_Socket,Plugs_Other,source,source_date
University of Queensland,"Building 8156, The University of Queensland, Main Drive & Outer Ring Road, Gatton QLD 4343",152.3350726,-27.55140366,,,University of Queensland Gatton Veterinary Hospital carpark,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Cairns Regional Council,"Pier Point Road, Cairns QLD 4870",145.7788731,-16.92045651,,,Lagoon car park (between the Esplanade and Pier Point Rd),,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Rockhamption Regional Council,"189 Alma St, Rockhampton City QLD 4700",150.5134619,-23.38227211,,,Alma St carpark of council building.,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Gold Coast Airport,"1 Eastern Ave, Bilinga 4225",153.5152736,-28.16419699,,,"Gold Coast Airport. Carparks near northbound second entrance off Gold Coast Highway, near amenities",,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Queensland Government,North Shore Hamilton,153.0836111,-27.44449167,,,"Eat St carpark, near roundabout at end of Macarthur Ave. Ultimate location will be at a new park created by closure of Curtin Ave West, close to Kingsford Smith Dr and Gateway Motorway (from 2019).",,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Fraser Coast Regional Council,"102 Lennox St, Maryborough 4650",152.6991534,-25.53982619,,,"Lennox St (near Alice St), perpendicular car parks in front of government building",,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Bundaberg Regional Council,"1/3 Crescent St, Childers 4660",152.2788755,-25.23560702,,,"Crescent St, new dedicated carpark created near off-street caravan parking",,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Mackay Regional Council,"1 Gregory St, Mackay 4740",149.1852379,-21.13971112,,,Council owned Carpark cnr Gregory and River Sts,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Whitsunday Regional Council,"80 Santa Barbara Parade, Bowen QLD 4805",148.2480204,-20.01660114,,,"Santa Barbara Pde, near tourist info building and toilets.",,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Cassowary Coast Regional Council,"Morris St, Tully QLD 4854",145.9244323,-17.93486278,,,"Parking in council carpark cnr Writ Ln/Morris St, near playground",,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Gladstone Regional Council,"39 Blomfield St, Miriam Vale 4677",151.5601492,-24.32778446,,,"Blomfield St, On-street perpendicular parking just north of Alf Larson Park",,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
James Cook University,"1 James Cook Dr, Douglas QLD 4814",146.7587996,-19.32382549,,,"James Cook University, near Supermarket",,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
"Caltex Charlton Travel Centre, Warrego Highway","10810 Warrego Hwy, Charlton 4350",151.8501711,-27.5202159,,,"Caltex Charlton Travel Centre, Warrego Hwy",,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
"Noosa Shire Council, Queensland Rail","34 Elm St, Cooroy 4563",152.911429,-26.418047,,,Cooroy Train Station carpark,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Springfield Land Corporation,"4 David Henry Way, Springfield Central QLD 4300",152.8997222,-27.68194444,,,Carpark on David Henry Way,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.0697681,-33.84589758,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.669841,-32.90277958,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.293163,-32.77392928,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.4429263,-34.4495405,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.7005415,-34.77593897,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,146.5497492,-34.74647702,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.2948011,-34.31187813,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,147.2030598,-33.92342503,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,149.5866089,-33.41861309,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.1726385,-33.13737585,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.6099153,-32.24969442,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,152.3814491,-32.09970764,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.9273942,-31.09046673,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.1756837,-35.70858089,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,149.101057,-33.28433645,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,152.9338323,-29.68836648,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.7363904,-29.73857928,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,153.5560183,-28.63545725,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,149.8431557,-36.67336146,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.3338306,-34.82298325,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.1609403,-33.47772722,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,147.3171672,-35.71674293,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.2509306,-30.9781504,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,144.8428368,-34.50896936,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,152.8290614,-31.45824656,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,146.9143513,-36.0837322,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,149.27955,-31.27837,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.6942786,-33.8341739,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.6111657,-34.1680675,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,143.5646291,-34.63962676,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.9121914,-34.84111757,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,147.5387137,-35.11242691,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.8669152,-32.05026446,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,149.585035,-32.59295024,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,152.0187674,-29.0572088,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.6684939,-30.51129377,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.6195201,-36.41597995,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,145.725109,-35.354835,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.3878911,-30.95275221,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.117789,-30.020733,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.2080001,-33.85912996,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.9629963,-32.65371782,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.1826494,-33.79746203,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.1759629,-33.95144309,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.2087242,-33.86926096,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.1768202,-35.70874057,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.2151087,-33.90407538,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.4184774,-33.29816166,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,148.4512318,-36.44543132,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.2986953,-33.7288363,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.2237462,-33.68912288,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,147.4611136,-35.15883855,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.0057501,-33.72935996,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.0712932,-33.85983723,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,150.8523591,-33.71136632,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,153.5632833,-28.87072009,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.0619297,-33.84900169,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
Unnamed Charge Station,NSW,151.1979458,-33.87092959,,,Imported from EV Charge Stations NSW dataset,,,,,,,,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
COA FLEET - PIE / BARTON #2,505 Barton Springs Rd,-97.7493,30.2569,Municipal,Municipal Parking,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
COA FLEET - PIE / ROOF 2,625 E 10th St,-97.7348,30.2696,Municipal,Municipal Fleet,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
HPI 3700 / 3900 SC 4,3900 N Capital of Texas Hwy,-97.808,30.3379,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
HPE AUSTIN / TXN04 A,14231 Tandem Blvd,-97.6901,30.4455,Workplace,High-Tech,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
NATIONAL INSTRU / 5&6,11500 N Mopac Expy,-97.7254,30.4087,Workplace,High-Tech,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
LADERA BEND / BUILDING 3,6585-6621 Jester Blvd,-97.8009,30.3712,Workplace,High-Tech,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
CZPROPERTIES / FLOOR 2 UNIT 1,1400 Lavaca St,-97.7426,30.2769,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
COA FLEET - PIE / TOOMEY #2,1501-1615 Toomey Rd,-97.7592,30.2637,Municipal,Municipal Fleet,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
CATHERINE / CATHERINE 1,300 Barton Springs Rd,-97.7478,30.2591,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / HOWSONBRCHLIBR2,2500 Exposition blvd,-97.7679,30.2984,Municipal,Library,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
HYATT PLACE / HP STATION 3,Presidential Blvd,-97.6646,30.2104,Hospitality,Hotel / Resort,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
PIE AE / HAMPTON LBRY1,5125 Convict Hill Rd,-97.855,30.2181,Municipal,Library,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
FOUNDATION COMM / JORDAN3,2724 Philomena St,-97.6948,30.2987,Multifamily Commercial,Apartment,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
COA / TWIN OAKS #1,1800 S 5th St,-97.7623,30.2489,Municipal,Library,,,,$4.17/month PIE members $2/hr Non-Members,,,,2.0,,,[9.6],,0,,,,,,,,,Unknown,30/05/2022
HPI 3700 / EV 2,3700 N Capital of Texas Hwy,-97.8062,30.3368,Workplace,General,,,,$4.17/month PIE members $2/hr Non-Members,,,,1.0,,,['unknown'],,0,,,,,,,,,Unknown,30/05/2022
