name,address,longitude,latitude,description,parking,pricing,contact,networks,total_plugs,renewable_power_supply,Plugs_CHAdeMO,Plugs_Tesla,Plugs_CCS_SAE,Plugs_J1772,Plugs_Type2,Plugs_Three_Phase,Plugs_Commando,Plugs_Wall_AU_NZ,Plugs_Caravan_Mains_Socket,Plugs_Other,power_outputs_kw,source,source_date
Chargefox Charging Station,"152-170 Campbell St, Hobart",147.3240464,-42.8754225,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,"152 Davey St, Hobart",147.3322083,-42.8813766,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,"27 Hunter St, Hobart",147.3354534,-42.881695,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"154-156 Collins St, Hobart",147.3270158,-42.8839582,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Electric Vehicle Charging Station,"1 Dunn Pl, Hobart",147.3326273,-42.8816576,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"10 Evans St, Hobart",147.337138,-42.880614,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"38 Bligh St, Rosny Park",147.3690233,-42.8645179,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"18 Hunter St, Hobart",147.3366348,-42.8821279,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"1 Tivoli Rd, Old Beach",147.2780893,-42.7510094,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"154-156 Collins St, Hobart",147.3272005,-42.88407249999999,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"Rokeby Rd, Howrah",147.4269764,-42.8871254,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"2064 Huon Hwy, Grove",147.0855022,-42.9876384,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Tesla Destination Charger,"380 Pirates Bay Dr, Eaglehawk Neck",147.9285579,-43.0097359,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
Chargefox Charging Station,"15 Church St, Geeveston",146.9268247,-43.1634306,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,Google_API,22/08/2022
