,0,1,2,3,4,5
0,144.536133,148.623047,-40.513799,-43.802819,Google_API,22/08/2022
1,142.998047,146.953125,-35.880149,-39.155622,Google_API,22/08/2022
2,146.975098,150.908203,-34.542762,-35.880149,Google_API,22/08/2022
3,148.502197,152.720947,-31.765537,-34.542762,Google_API,22/08/2022
4,151.33667,153.621826,-24.507143,-29.735762,Google_API,22/08/2022
5,141.416016,146.524658,-14.232438,-19.041349,Google_API,22/08/2022
6,129.122314,137.263184,-10.941192,-15.474857,Google_API,22/08/2022
7,114.44458,120.81665,-28.574874,-35.119909,Google_API,22/08/2022
8,136.538086,140.998535,-32.10119,-36.129002,Google_API,22/08/2022
9,146.521912,147.612305,-19.043945,-22.897683,Google_API,22/08/2022
10,147.601318,148.721924,-19.673626,-22.897683,Google_API,22/08/2022
11,148.721924,149.633789,-20.735566,-22.897683,Google_API,22/08/2022
12,149.622803,150.897217,-22.065278,-24.517139,Google_API,22/08/2022
13,150.897217,152.050781,-23.443089,-24.507143,Google_API,22/08/2022
14,151.347656,153.314209,-29.745302,-30.675715,Google_API,22/08/2022
15,151.355896,153.086243,-30.678078,-31.765537,Google_API,22/08/2022
16,146.942139,150.172119,-35.862344,-37.900865,Google_API,22/08/2022
17,146.947632,147.903442,-37.900865,-38.608286,Google_API,22/08/2022
18,139.559326,142.998047,-36.137875,-37.361426,Google_API,22/08/2022
19,139.888916,142.998047,-37.361426,-38.074041,Google_API,22/08/2022
20,141.031494,142.998047,-38.074041,-38.659778,Google_API,22/08/2022
21,120.805664,124.343262,-30.334954,-34.016242,Google_API,22/08/2022
22,134.769287,136.5271,-32.10119,-34.948991,Google_API,22/08/2022
23,140.998535,142.992554,-35.880149,-36.137875,Google_API,22/08/2022
24,140.987549,146.986084,-32.110496,-35.880149,Google_API,22/08/2022
25,146.99707,148.491211,-31.756196,-34.542762,Google_API,22/08/2022
26,144.942627,149.611816,-22.887562,-24.527135,Google_API,22/08/2022
27,142.097168,146.524658,-19.041349,-22.887562,Google_API,22/08/2022
28,146.99707,151.33667,-24.507143,-31.756196,Google_API,22/08/2022
29,113.774414,116.103516,-21.575719,-28.555576,Google_API,22/08/2022
30,115.334473,119.707031,-20.488773,-21.575719,Google_API,22/08/2022
31,117.927246,121.948242,-19.828725,-20.488773,Google_API,22/08/2022
32,120.585937,121.948242,-19.165924,-19.808054,Google_API,22/08/2022
33,121.442871,124.277344,-16.003576,-19.145168,Google_API,22/08/2022
34,116.103516,120.827637,-21.575719,-28.594169,Google_API,22/08/2022
35,132.780762,134.868164,-15.474857,-29.305561,Google_API,22/08/2022
36,134.846191,136.582031,-28.786918,-32.082575,Google_API,22/08/2022
37,134.824219,142.097168,-18.999803,-21.7595,Google_API,22/08/2022
38,124.387207,126.101074,-30.353916,-33.008663,Google_API,22/08/2022
39,134.033203,134.846191,-29.32472,-33.413102,Google_API,22/08/2022
40,131.923828,134.01123,-30.259067,-32.49123,Google_API,22/08/2022
41,126.079102,129.023438,-30.353916,-32.379961,Google_API,22/08/2022
42,129.001465,131.923828,-30.297018,-32.063956,Google_API,22/08/2022
43,140.899658,141.416016,-16.130262,-19.01019,Google_API,22/08/2022
44,139.207764,140.888672,-17.308688,-19.01019,Google_API,22/08/2022
45,137.999268,139.196777,-16.488765,-18.989415,Google_API,22/08/2022
46,134.868164,137.999268,-15.464269,-19.01019,Google_API,22/08/2022
47,141.416016,143.745117,-10.552622,-14.221789,Google_API,22/08/2022
48,124.277344,129.133301,-13.678013,-16.014136,Google_API,22/08/2022
49,129.133301,132.769775,-15.474857,-19.082884,Google_API,22/08/2022
50,124.277344,129.133301,-16.003576,-19.165924,Google_API,22/08/2022
51,166.091309,171.760254,-44.119142,-47.368594,Google_API,22/08/2022
52,168.156738,171.760254,-41.409776,-44.119142,Google_API,22/08/2022
53,171.760254,174.462891,-40.245992,-44.103365,Google_API,22/08/2022
54,174.594727,177.121582,-39.89288,-41.705729,Google_API,22/08/2022
55,173.71582,178.571777,-37.439974,-39.909736,Google_API,22/08/2022
56,172.55127,176.000977,-34.270836,-37.439974,Google_API,22/08/2022
