,Location Name,Address,Status,Description,Nearest charging station,Plugs_wall_AU/NZ,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Type2,KW_50,KW_22,Location_category ,Car_parking,Score,Contact_info,charging_stations,payment,location,latitude,longitude,evstations_count,hospitals_count,parks_count,restaurants_count,malls_count,url
23,Parliament PI,"1 Parliament Square Off, Parliament Pl, Melbourne VIC 3002, Australia",Active,"Porsche Destination Chargers, 11kW. 2 stations on wall straight ahead after entrance.","Secure Parking (Southern Cross): 0.6km, Melbourne Marriott: 0.7km, Grand Hyatt Melbourne: 0.7km",0,0,0,0,0,2,0,1,Commercial,1,9.3,,2,p,"-37.8110789,144.9764385",-37.8110789,144.9764385,20,17,17,20,20,"https://www.google.com/maps/place/-37.8110789,144.9764385"
24,Pullman Melbourne,"192 Wellington Parade, Melbourne VIC 3002",Active,"Dining, Restrooms, Valet Parking, WiFi, Park, EV Parking, Lodging","Park Hyatt Melbourne: 0.8km,  Federation Square Car Park: 1.1km, Grand Hyatt Melbourne: 1.2km",0,0,0,2,0,0,0,1,Commercial,1,,61-394192000,2,p,"-37.81581134,144.9832392",-37.81581134,144.9832392,20,18,16,20,7,"https://www.google.com/maps/place/-37.81581134,144.9832392"
25,Port Melbourne,"46 Cook St, Port Melbourne VIC 3207, Australia",Active,"10A double power point next to rear access door to main retail space. Parking is difficult during trading hours because the power point is positioned along the drive thru lane of Hungry Jacks. Access after Hungry Jacks has ceased trading is a safer proposition, but this location can be still be useful as last resort with the help of an extension cord if you don't mind it being driven over and parking in the waiting bay alongside the drive-thru lane.
Location of pin is accurate.","Lorbek Luxury Cars: 0.3km, Middy's Port Melbourne: 0.8km",1,0,0,0,0,0,0,1,Public,0,,,1,p,"-37.82992222,144.9171103",-37.82992222,144.9171103,20,0,11,11,0,"https://www.google.com/maps/place/-37.82992222,144.9171103"
26,Port Melbourne,"30 Prohasky St, Port Melbourne VIC 3207, Australia",Active,GET Electric with 7 22kW GET electric vehicle chargers,"Middy's Port Melbourne: 0.7km, Coles express with co-located Hungry Jacks: 0.3km",0,0,0,0,0,7,0,1,Public,0,10.0,,7,0.31,"-37.83163355,144.9194251",-37.83163355,144.9194251,20,0,14,15,0,"https://www.google.com/maps/place/-37.83163355,144.9194251"
27,Port Melbourne,"327 Plummer St, Port Melbourne VIC 3207, Australia",Active,Download the GET Electric app to begin instant charging.,"Coles express with co-located Hungry Jacks: 0.5km, Yarra's Edge: 2.5km",0,0,0,0,0,3,0,1,Public,0,,61-467952975,3,0.2,"-37.83316274,144.9197754",-37.83316274,144.9197754,20,0,14,15,0,"https://www.google.com/maps/place/-37.83316274,144.9197754"
28,Port Melbourne,"525 Graham St, Port Melbourne VIC 3207, Australia",Active,"2x 7kw chargers.
BYO cable","Middy's Port Melbourne: 0.6km, Lorbek Luxury Cars: 1.1km",0,0,0,0,0,2,0,1,Public,0,10.0,61-392588442,2,0,"-37.8297164,144.9311229",-37.8297164,144.9311229,20,0,20,20,0,"https://www.google.com/maps/place/-37.8297164,144.9311229"
29,South Melbourne,"322 Coventry St, South Melbourne VIC 3205",Active,"Entry via Coventry Street, and located at the middle of the rooftop carpark (next to the lift). 2 x Type 2 (Mennekes) ports, BYO cable. No app required.","Coles South Melbourne: 0.3km, Instinct IT: 0.4km, Crown Metropol Melbourne: 0.7km",0,0,0,0,0,2,0,1,Commercial,0,8.0,61-392096295,2,0,"-37.83248694,144.9564174",-37.83248694,144.9564174,20,0,16,20,6,"https://www.google.com/maps/place/-37.83248694,144.9564174"
30,South Melbourne,"229 Coventry St, South Melbourne VIC 3205, Australia",Active,A 240v wall plug is in the back corner of the Level 1 carpark. Next to spot 60.,"Instinct IT: 0.2km, South Melbourne Market Rooftop Parking: 0.3km, Crown Metropol Melbourne: 0.8km",1,0,0,0,0,0,0,1,Public,0,,,1,p,"-37.82974328,144.960726",-37.82974328,144.960726,20,0,17,20,10,"https://www.google.com/maps/place/-37.82974328,144.960726"
31,South Melbourne,"214 Coventry street, south Melbourne",Active,Not sure if it is private or public,"Coles South Melbourne: 0.2km, Secure Parking: 0.7km, Crown Metropol Melbourne: 0.7km",0,0,0,1,0,0,1,0,Public,1,,61-391192552,1,,"-37.83103692,144.961768",-37.83103692,144.961768,20,0,18,20,7,"https://www.google.com/maps/place/-37.83103692,144.961768"
32,South Melbourne,"15-29 Bank Street, South Melbourne VIC 3205, Australia",Active,There are around four wall-plugs on each floor and a great location to get some extra juice when you park there for work.,"Wilson's Carpark: 0.6km, Instinct IT: 0.7km, Coles South Melbourne: 0.8km",21,0,0,0,0,0,0,1,Public,1,,61-396130000,21,p,"-37.83189437,144.9690271",-37.83189437,144.9690271,20,0,16,20,7,"https://www.google.com/maps/place/-37.83189437,144.9690271"
33,Queens Road,"1-3 Queens Road, Melbourne VIC 3004, Australia",Active,Several PowerPoints around the place.,"Secure Parking: 0.6km, Instinct IT: 1.1km, Coles South Melbourne: 1.2km",1,0,0,0,0,0,0,1,Public,1,,,1,p,"-37.83477276,144.9737461",-37.83477276,144.9737461,20,1,17,20,3,"https://www.google.com/maps/place/-37.83477276,144.9737461"
34,Queens Road,"67 Queens Rd, Melbourne VIC 3004",Active,Available at bays 23 & 24,"Prahran Square: 1.3km, The Prince Hotel: 1.4km",0,0,0,3,0,0,0,1,Commercial,1,,,3,p,"-37.84977063,144.9784513",-37.84977063,144.9784513,20,1,17,20,4,"https://www.google.com/maps/place/-37.84977063,144.9784513"
35,Port Melbourne,"2 Thackray Rd, Port Melbourne VIC 3207, Australia",Active,Middy�s Port Melbourne 25kW Delta DC Only available during store trading hours. Trading Hours Monday to Friday 6.00am - 5.00pm Saturdays 7.00am - 12.00pm,"Woolworths Fishermans Bend: 0.6km, Lorbek Luxury Cars: 0.7km",0,1,1,0,0,0,1,0,Public,0,10.0,,2,0.4,"-37.82377034,144.9265125",-37.82377034,144.9265125,20,0,11,11,3,"https://www.google.com/maps/place/-37.82377034,144.9265125"
36,South Wharf,"16 Normanby Road, South Wharf VIC 3006, Australia",Active,"PowerPoint on west wall , enter car park go left as far as you can. High up on wall. Several in the door 10 parking area","Crown Metropol Melbourne: 0.4km, Hyatt Centric Melbourne: 0.7km",3,0,0,0,0,0,0,1,Commercial,0,9.0,,3,p,"-37.82586889,144.9552364",-37.82586889,144.9552364,20,1,15,20,20,"https://www.google.com/maps/place/-37.82586889,144.9552364"
37,Southbank,"8 Whiteman Street, Southbank, Victoria, Australia, VIC 3006",Active,"Lodging, Dining, EV Parking, Restrooms, Shopping, WiFi","Melbourne Convention Exhibition Centre: 0.4km, Hyatt Centric Melbourne: 0.6km",0,0,0,1,0,0,0,1,Public,0,6.9,,1,,"-37.81609341,144.9584272",-37.81609341,144.9584272,20,2,16,20,20,"https://www.google.com/maps/place/-37.81609341,144.9584272"
38,Southbank,"70 City Rd, Southbank VIC 3006, Australia",Active,"2 x Porsche Destination Chargers, directly on the right after entry.","Holiday Inn Express Melbourne Southbank: 0.1km, The Arts Centre: 0.2km",0,0,0,0,0,2,0,1,Public,1,7.7,,2,0,"-37.82082443,144.9649806",-37.82082443,144.9649806,20,3,14,20,20,"https://www.google.com/maps/place/-37.82082443,144.9649806"
39,Southbank,"35-47 City Rd, Southbank VIC 3006, Australia",Active,"9 EV-Link chargers located on all levels of the car park (3 on each level). On the left parking spots of every level, near the lifts.","The Arts Centre: 0.1km, Wilson parking Eureka: 0.1km ",0,0,0,0,0,9,0,1,Public,0,,61-375055444,9,,"-37.82076345,144.9663122",-37.82076345,144.9663122,20,2,14,20,20,"https://www.google.com/maps/place/-37.82076345,144.9663122"
40,Southbank,2 Kavanagh St Southbank VIC 3006 Australia,Active,2 x EV plugs (J1772) that require no network card and are free to use for EV drivers.,"Holiday Inn Express Melbourne Southbank: 0.1km, Wilson Parking Eureka: 0.2km",0,0,0,0,2,0,0,1,Commercial,1,9.0,61-1300182183,2,p,"-37.82123242,144.9673592",-37.82123242,144.9673592,20,2,13,20,20,"https://www.google.com/maps/place/-37.82123242,144.9673592"
41,Downie St,"25 Downie St, Melbourne VIC 3000, Australia",Active,"Lodging, Restrooms, Dining, EV Parking","Rialto Car Park: 0.2km, Holiday Inn Express Melbourne Little Collins: 0.3km, Alto Hotel: 0.5km",0,0,0,0,0,2,0,1,Public,0,,,2,,"-37.82020302,144.9555652",-37.82020302,144.9555652,20,1,14,20,20,"https://www.google.com/maps/place/-37.82020302,144.9555652"
