,Location Name,Address,Status,Description,Nearest charging station,Plugs_wall_AU/NZ,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Type2,KW_50,KW_22,Location_category ,Car_parking,Score,Contact_info,charging_stations,payment,location,latitude,longitude,evstations_count,hospitals_count,parks_count,restaurants_count,malls_count,url
54,Lonsdale St,"300 Lonsdale St, Melbourne VIC 3000, Australia",Active,Melbourne Central Carpark P2. Outlet is located behind the pillar to the left of the lift.,"QV Melbourne - Car Park: 0.3km, 300 Latrobe Street - Wilson Car Park: 0.3km ",1,0,0,0,0,0,0,1,Public,1,,,1,p,"-37.81137439,144.9633783",-37.81137439,144.9633783,20,8,15,20,20,"https://www.google.com/maps/place/-37.81137439,144.9633783"
55,Latrobe Street,300 Latrobe Street Melbourne,Active,Only 10A wall socket available,"Melbourne Central Car Park: 0.3km, Queen Victoria Market - Underground Carpark: 0.3km",3,0,0,0,0,0,0,1,Public,0,,,3,p,"-37.81241851,144.95362",-37.81241851,144.95362,20,1,19,20,20,"https://www.google.com/maps/place/-37.81241851,144.95362"
56,West Melbourne,"45 Dudley St, West Melbourne VIC 3003, Australia",Active,"Motel with limited car parking. 10A PowerPoint/Powerboard at rear roller door, will need extension lead.","Flagstaff Car Park: 0.5km, Queen Victoria Market - Underground Carpark: 0.7km, Wilson Parking: 0.7km ",1,0,0,0,0,0,0,1,Public,0,,,1,,"-37.81010363,144.9510094",-37.81010363,144.9510094,20,3,18,20,20,"https://www.google.com/maps/place/-37.81010363,144.9510094"
57,Queen St,"460 Queen St, Melbourne VIC 3000, Australia",Active,12 x Schneider type 2 EV chargers located in B2 level BYO charging cable. Ticketless payment system and underground 500 car spaces total.,"300 Latrobe Street - Wilson Car Park: 0.3km, Secure Parking - 460 Lonsdale Street Car Park: 0.6km, Flagstaff Car Park: 0.6km",0,0,0,0,0,12,0,1,Public,0,10.0,,12,p,"-37.80782358,144.9581717",-37.80782358,144.9581717,20,10,12,20,20,"https://www.google.com/maps/place/-37.80782358,144.9581717"
58,Bourke St,"129 Bourke St, Melbourne VIC 3000, Australia",Active,"2 x Chargepoint J1772 (Type 1) chargers. Activate with RFID card and WAIT two mins, gently tug on the plug and eventually it will click and unlock. Vacuum services is available. Air and window cleaning is out of service. Operated by Juice Bar. ChargePoint card required. Officially known as 121 Exhibition Street but enter from Bourke Street.","Wilson Parking: 0.2km, Grand Hyatt Melbourne: 0.3km",0,0,0,0,2,0,0,1,Public,1,7.9,,1,p,"-37.81211268,144.9709222",-37.81211268,144.9709222,20,16,15,20,20,"https://www.google.com/maps/place/-37.81211268,144.9709222"
59,Russell St,"222 Russell St, Melbourne VIC 3000, Australia",Active,"2 x Porsche Destination Chargers (Type 2, 11kW AC). Entry level, bays 261 & 262.","QV Melbourne - Car Park: 0.1km,  Secure Parking (Southern Cross): 0.2km, Melbourne Marriott: 0.2km",0,0,0,0,0,2,0,1,Public,1,1.4,,2,,"-37.81129305,144.967822",-37.81129305,144.967822,20,10,12,20,20,"https://www.google.com/maps/place/-37.81129305,144.967822"
60,Lonsdale St,"180 Lonsdale Street, Melbourne VIC 3000, Australia",Active,Public Wilson Parking basement levels of QV - 180 Lonsdale Street. Levels B2 and B3 each have a number of 10A switched wall outlets� total number of sockets available unverified!,"Wilson Parking: 0.1km, Melbourne Marriott: 0.3km, Melbourne Central Carpark: 0.3km",3,0,0,0,0,0,0,1,Public,1,,,3,,"-37.81067877,144.9666047",-37.81067877,144.9666047,20,10,13,20,20,"https://www.google.com/maps/place/-37.81067877,144.9666047"
61,Lonsdale St,"59 Lonsdale St, Melbourne VIC 3000, Australia",Active,"2 x Tesla Destination Chargers (32A single phase). Turn right, down the ramp. Then on left hand side, two charging bays painted red.","Wilson Parking: 0.3km, Melbourne Marriott: 0.1km, Secure Parking (Southern Cross): 0.3km",1,0,0,2,0,0,0,1,Public,1,2.4,,3,,"-37.81017999,144.9705189",-37.81017999,144.9705189,20,17,15,20,20,"https://www.google.com/maps/place/-37.81017999,144.9705189"
62,Lonsdale St,"Corner Exhibition & Lonsdale St, Melbourne VIC 3000, Australia",Active,Valet parking required. HPWC is on level P4 near lifts. 1 X 32A single phase Tesla destination charger.,"Secure Parking (59 Lonsdale Street): 0.1km, Wilson Parking: 0.2km, QV Melbourne - Car Park: 0.3km",0,0,0,1,0,0,0,1,Commercial,0,,61-396623900,1,p,"-37.81005952,144.9696999",-37.81005952,144.9696999,20,15,14,20,20,"https://www.google.com/maps/place/-37.81005952,144.9696999"
63,St Kilda,"2 Acland St, St Kilda VIC 3182, Australia",Active,"Available to the public. GROUND floor as you enter first right. Porsche Destination Charging, 11kW Type 2 plugs cable provided. Tesla chargers are not in compatibility mode to charge other EVs.","Stokehouse St Kilda: 0.6km, Pullman Melbourne Albert Park: 1.4km, Prahran Square: 2.3km",0,0,0,2,0,2,0,1,Public,0,10.0,,4,p,"-37.86223596,144.9739984",-37.86223596,144.9739984,19,1,10,20,7,"https://www.google.com/maps/place/-37.86223596,144.9739984"
64,St Kilda,"30 Jacka Blvd, St Kilda VIC 3182, Australia",Active,"Dining, EV Parking, Park","The Prince Hotel: 0.6km, Pullman Melbourne Albert Park: 2.0km, Prahran Square: 2.7km ",0,0,0,0,0,1,0,1,Public,0,,,1,,"-37.86765039,144.9742931",-37.86765039,144.9742931,14,1,15,20,6,"https://www.google.com/maps/place/-37.86765039,144.9742931"
65,Church St,"650 Church St, Cremorne VIC 3121, Australia",Active,"EV Parking, Restrooms, Dining, Shopping, WiFi","Richmond Traders Coles: 1.6km, Prahran Square: 1.8km, Wilson's Carpark: 2.0km",0,0,0,4,0,0,1,0,Commercial,0,10.0,,4,p,"-37.83218295,144.996426",-37.83218295,144.996426,20,1,14,20,11,"https://www.google.com/maps/place/-37.83218295,144.996426"
66,Docklands,"78 Waterfront Way, Docklands VIC 3008, Australia",Active,Wall points (10 amp) on support poles throughout carpark.,"District Docklands Shopping - East Car Park: 0.1km, District Docklands Shopping - West Car Park: 0.2km, Flagstaff City Inn: 1.1km     ",1,0,0,0,0,0,0,1,Public,0,9.0,,1,,"-37.81254895,144.939394",-37.81254895,144.939394,20,0,20,20,8,"https://www.google.com/maps/place/-37.81254895,144.939394"
