,Location Name,Latitude,Longitude,Address,Status,Description,Nearest charging station,Plugs_wall_AU/NZ,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Type2,KW_50,KW_22,Location_category ,Car_parking,Score,Contact_info,charging_stations,payment
10,Tully,-17.93486278,145.9244323,"Morris St, Tully QLD 4854, Australia",Active,"Parking in council carpark cnr Writ Ln/Morris St, near playground","Townsville: 208km South, 
Cairns: 141km North",0,1,1,0,0,2,1,1,Public,0,5.6,61-1300480903,3,0.3
11,Miriam Vale,-24.32778446,151.5601492,"39 Blomfield St, Miriam Vale QLD 4677, Australia",Active,"Blomfield St, On-street perpendicular parking just north of Alf Larson Park",Colosseum Creek Roadhouse: 14.7km,0,1,1,0,0,2,1,1,Public,0,10.0,61-1300480903,3,0.2
12,Carmila,-21.90865281,149.4090921,"8 Music St, Carmila QLD 4739, Australia",Active,"Near Service Station, Carmila","Marlborough: 136km South, 
Mackay: 100km North",0,1,1,0,0,2,1,1,Public,0,10.0,61-1300480903,3,0.2
13,Townsville,-19.32382549,146.7587996,"4 James Cook Dr, Douglas QLD 4814, Australia",Active,"James Cook University, near Supermarket","Tony Ireland Stadium Riverway: 3.0km, Townsville Stadium: 4.6km, Mercure Townsville: 6.4km",0,1,1,0,0,2,1,1,Public,0,6.2,,3,0.2
14,Toowoomba,-27.5202159,151.8501711,"10783 Warrego Hwy, Charlton QLD 4350, Australia",Active,"Caltex Charlton Travel Centre, Warrego Hwy","Altitude Motel Apartments: 7.7km, Coles Glenvale: 8.1km, AC/DC Energy: 10km ",0,1,1,0,0,2,1,1,Public,0,1.0,,3,0.2
15,Cooroy,-26.418047,152.911429,"Cooroy Railway Station, Cooroy QLD 4563, Australia",Active,Cooroy Train Station carpark,"Cudgerie Homestead: 4.6km, Noosa Valley Manor B&B: 9.1km, Shell Service Station: 13.4km",0,1,1,0,0,2,1,1,Public,0,10.0,61-1300480903,3,0.2
16,Springfield,-27.68194444,152.8997222,"4 David Henry Way, Springfield Central QLD 4300, Australia",Active,Carpark on David Henry Way,"Orion Springfield Station: 0.7km, Brookwater Golf Course: 2.2km, Redbank Plaza: 9km",0,1,1,0,0,2,1,1,Public,1,9.3,61-1300480903,3,0.2
17,Yarraville,-37.81899541,144.8964976,"2/209 Hyde St, Yarraville VIC 3013",Active,"In carpark of Unit 2/209. If cars parked call phone or ask at the AAkonsult offices. Locked gates outside business hours, try calling the mobile number listed but as this is a business the chances of getting through depend on time of calling, (e.g. very late at night would not be a good time!).","Lorbek Luxury Cars: 2.5km, Middy's Port Melbourne: 2.7km",0,0,0,1,0,0,0,1,Public,0,,61-419944444,1,
18,Kensington,-37.79687512,144.926417,"72 Altona Street, Kensington VIC 3031",Active,BYO Type 2 Mennekes cable,"The Green Guys Group: 1.5km, District Docklands Shopping - West Carpark : 2 km",0,0,0,0,0,2,0,1,Public,0,,,2,0.3
19,Docklands,-37.81279364,144.9373902,"8-9 Star Circus, Docklands VIC 3008, Australia",Active,"Parking level 1 yellow, section D.","District Docklands Shopping - East Carpark: 0.2km, Flagstaff City Inn: 1.3km, The Green Guys Group: 1.4km",0,0,0,1,0,0,0,1,Commercial,0,8.0,,1,0
20,Docklands,-37.81209916,144.9392454,"90 Waterfront Way, Docklands VIC 3008, Australia",Active,"East car park, level 1, south end. Park and charge up to 90 min free when buying $10 at Woolworth. Max 11.5kW (3 phase x 16A x 240 voltage) EXTREMELY short cable. Just reaches to plug in point.","District Docklands Shopping - West Carpark: 0.2km, Flagstaff City Inn: 1km, The Green Guys Group: 1.3km",0,0,0,1,0,0,0,1,Commercial,0,10.0,,1,0
21,Carlton,-37.80216073,144.9671638,204-218 Lygon St Carlton Victoria 3053 Australia,Active,Station located on the right hand side as you enter Lygon Street Car Park. Charging is free with paid parking at $5 per hr. The Chargepoint charger has been replaced with a Type2 Ocular charger that opperates with the 'exploren' app. App is quick to install and register and opperates reliably. Good charging station,"Melbourne Museum: 0.6km, Melbourne Marriott: 0.9km ",0,0,0,0,0,1,0,1,Commercial,1,8.2,,1,p
22,Carlton,-37.80320151,144.9717566,"11 Nicholson St, Carlton VIC 3053, Australia",Active,Entry to the Melbourne Museum Cark Park is from either Nicholson Street or Rathdowne Street. Charging stations are on car park level P2. Free to use Delta chargers.,"Lygon Street Car Park: 0.6km, Melbourne Marriott: 0.7km, Wilson Parking: 0.9km",0,0,0,0,2,0,0,1,Commercial,1,8.4,61-1300130152,2,p
23,Parliament PI,-37.8110789,144.9764385,"1 Parliament Square Off, Parliament Pl, Melbourne VIC 3002, Australia",Active,"Porsche Destination Chargers, 11kW. 2 stations on wall straight ahead after entrance.","Secure Parking (Southern Cross): 0.6km, Melbourne Marriott: 0.7km, Grand Hyatt Melbourne: 0.7km",0,0,0,0,0,2,0,1,Commercial,1,9.3,,2,p
24,Pullman Melbourne,-37.81581134,144.9832392,"192 Wellington Parade, Melbourne VIC 3002",Active,"Dining, Restrooms, Valet Parking, WiFi, Park, EV Parking, Lodging","Park Hyatt Melbourne: 0.8km,  Federation Square Car Park: 1.1km, Grand Hyatt Melbourne: 1.2km",0,0,0,2,0,0,0,1,Commercial,1,,61-394192000,2,p
25,Port Melbourne,-37.82992222,144.9171103,"46 Cook St, Port Melbourne VIC 3207, Australia",Active,"10A double power point next to rear access door to main retail space. Parking is difficult during trading hours because the power point is positioned along the drive thru lane of Hungry Jacks. Access after Hungry Jacks has ceased trading is a safer proposition, but this location can be still be useful as last resort with the help of an extension cord if you don't mind it being driven over and parking in the waiting bay alongside the drive-thru lane.
Location of pin is accurate.","Lorbek Luxury Cars: 0.3km, Middy's Port Melbourne: 0.8km",1,0,0,0,0,0,0,1,Public,0,,,1,p
26,Port Melbourne,-37.83163355,144.9194251,"30 Prohasky St, Port Melbourne VIC 3207, Australia",Active,GET Electric with 7 22kW GET electric vehicle chargers,"Middy's Port Melbourne: 0.7km, Coles express with co-located Hungry Jacks: 0.3km",0,0,0,0,0,7,0,1,Public,0,10.0,,7,0.31
27,Port Melbourne,-37.83316274,144.9197754,"327 Plummer St, Port Melbourne VIC 3207, Australia",Active,Download the GET Electric app to begin instant charging.,"Coles express with co-located Hungry Jacks: 0.5km, Yarra's Edge: 2.5km",0,0,0,0,0,3,0,1,Public,0,,61-467952975,3,0.2
28,Port Melbourne,-37.8297164,144.9311229,"525 Graham St, Port Melbourne VIC 3207, Australia",Active,"2x 7kw chargers.
BYO cable","Middy's Port Melbourne: 0.6km, Lorbek Luxury Cars: 1.1km",0,0,0,0,0,2,0,1,Public,0,10.0,61-392588442,2,0
29,South Melbourne,-37.83248694,144.9564174,"322 Coventry St, South Melbourne VIC 3205",Active,"Entry via Coventry Street, and located at the middle of the rooftop carpark (next to the lift). 2 x Type 2 (Mennekes) ports, BYO cable. No app required.","Coles South Melbourne: 0.3km, Instinct IT: 0.4km, Crown Metropol Melbourne: 0.7km",0,0,0,0,0,2,0,1,Commercial,0,8.0,61-392096295,2,0
30,South Melbourne,-37.82974328,144.960726,"229 Coventry St, South Melbourne VIC 3205, Australia",Active,A 240v wall plug is in the back corner of the Level 1 carpark. Next to spot 60.,"Instinct IT: 0.2km, South Melbourne Market Rooftop Parking: 0.3km, Crown Metropol Melbourne: 0.8km",1,0,0,0,0,0,0,1,Public,0,,,1,p
31,South Melbourne,-37.83103692,144.961768,"214 Coventry street, south Melbourne",Active,Not sure if it is private or public,"Coles South Melbourne: 0.2km, Secure Parking: 0.7km, Crown Metropol Melbourne: 0.7km",0,0,0,1,0,0,1,0,Public,1,,61-391192552,1,
32,South Melbourne,-37.83189437,144.9690271,"15-29 Bank Street, South Melbourne VIC 3205, Australia",Active,There are around four wall-plugs on each floor and a great location to get some extra juice when you park there for work.,"Wilson's Carpark: 0.6km, Instinct IT: 0.7km, Coles South Melbourne: 0.8km",21,0,0,0,0,0,0,1,Public,1,,61-396130000,21,p
33,Queens Road,-37.83477276,144.9737461,"1-3 Queens Road, Melbourne VIC 3004, Australia",Active,Several PowerPoints around the place.,"Secure Parking: 0.6km, Instinct IT: 1.1km, Coles South Melbourne: 1.2km",1,0,0,0,0,0,0,1,Public,1,,,1,p
34,Queens Road,-37.84977063,144.9784513,"67 Queens Rd, Melbourne VIC 3004",Active,Available at bays 23 & 24,"Prahran Square: 1.3km, The Prince Hotel: 1.4km",0,0,0,3,0,0,0,1,Commercial,1,,,3,p
35,Port Melbourne,-37.82377034,144.9265125,"2 Thackray Rd, Port Melbourne VIC 3207, Australia",Active,Middy�s Port Melbourne 25kW Delta DC Only available during store trading hours. Trading Hours Monday to Friday 6.00am - 5.00pm Saturdays 7.00am - 12.00pm,"Woolworths Fishermans Bend: 0.6km, Lorbek Luxury Cars: 0.7km",0,1,1,0,0,0,1,0,Public,0,10.0,,2,0.4
36,South Wharf,-37.82586889,144.9552364,"16 Normanby Road, South Wharf VIC 3006, Australia",Active,"PowerPoint on west wall , enter car park go left as far as you can. High up on wall. Several in the door 10 parking area","Crown Metropol Melbourne: 0.4km, Hyatt Centric Melbourne: 0.7km",3,0,0,0,0,0,0,1,Commercial,0,9.0,,3,p
37,Southbank,-37.81609341,144.9584272,"8 Whiteman Street, Southbank, Victoria, Australia, VIC 3006",Active,"Lodging, Dining, EV Parking, Restrooms, Shopping, WiFi","Melbourne Convention Exhibition Centre: 0.4km, Hyatt Centric Melbourne: 0.6km",0,0,0,1,0,0,0,1,Public,0,6.9,,1,
38,Southbank,-37.82082443,144.9649806,"70 City Rd, Southbank VIC 3006, Australia",Active,"2 x Porsche Destination Chargers, directly on the right after entry.","Holiday Inn Express Melbourne Southbank: 0.1km, The Arts Centre: 0.2km",0,0,0,0,0,2,0,1,Public,1,7.7,,2,0
39,Southbank,-37.82076345,144.9663122,"35-47 City Rd, Southbank VIC 3006, Australia",Active,"9 EV-Link chargers located on all levels of the car park (3 on each level). On the left parking spots of every level, near the lifts.","The Arts Centre: 0.1km, Wilson parking Eureka: 0.1km ",0,0,0,0,0,9,0,1,Public,0,,61-375055444,9,
40,Southbank,-37.82123242,144.9673592,2 Kavanagh St Southbank VIC 3006 Australia,Active,2 x EV plugs (J1772) that require no network card and are free to use for EV drivers.,"Holiday Inn Express Melbourne Southbank: 0.1km, Wilson Parking Eureka: 0.2km",0,0,0,0,2,0,0,1,Commercial,1,9.0,61-1300182183,2,p
41,Downie St,-37.82020302,144.9555652,"25 Downie St, Melbourne VIC 3000, Australia",Active,"Lodging, Restrooms, Dining, EV Parking","Rialto Car Park: 0.2km, Holiday Inn Express Melbourne Little Collins: 0.3km, Alto Hotel: 0.5km",0,0,0,0,0,2,0,1,Public,0,,,2,
42,Flinders Ln,-37.81890714,144.9577073,"476 Flinders Ln, Melbourne VIC 3000, Australia",Active,"Entrance from Flinders Lane. One Type 2 Wallbox charger (with cable) in the Mercedes display to the left after you enter. Another Type 2 wall charger on level C (BYO cable, usually ICEd) and multiple 240V outlets you can use, all are free to use but you need to pay for parking (see photos for rates applicable April 2022).","Secure Parking (450 Flinders Lane): 0.1km, Hyatt Centric Melbourne: 0.2km",1,0,0,0,0,2,0,1,Public,1,,61-396175413,3,0
43,Flinders Ln,-37.81861176,144.9586537,"450 Flinders Ln, Melbourne VIC 3000, Australia",Active,"10 x AC charger (Type 2), varying number on each floor. The first 4 floors are public access via Secure Parking, floors 5-9 are for Deloitte Employees only. Feb 2022: the two chargers at level 2 now have a �reserved� sign up for ServiceNow employees.","Rialto Car Park: 0.1km, Holiday Inn Express Melbourne Little Collins: 0.3km, RACV City Club: 0.4km",0,0,0,0,0,10,0,1,Public,1,9.0,,10,p
44,Flinders St,-37.8180318,144.9640101,"300 Flinders St, Melbourne VIC 3000, Australia",Active,2 x Tesla Destination Chargers on Level 2.,"Wilson Parking Eureka: 0.4km, Secure Parking (450 Flinders Lane): 0.5km",0,0,0,2,0,0,0,1,Public,1,2.8,,2,p
45,Collins St,-37.81496609,144.9700935,"123 Collins St, Melbourne VIC 3000, Australia",Active,"Lodging, Dining, Shopping, Restrooms, EV Parking, WiFi, Park","ACDC Garage: 0.2km, Secure Parking (Southern Cross): 0.3km, Federation Square Car Park: 0.4km",0,0,0,1,0,0,0,1,Workplace,0,,,1,p
46,Flinders St,-37.81621089,144.9709391,"114-128 Flinders St, Melbourne VIC 3000, Australia",Active,"2 x Tesla AC 4kW chargers (Level 5); and 2 x Type 2 AC 4kW chargers (Level 6). Enter via Flinders Lane gets you directly to level 5, and turn right. Otherwise enter via Flinders St and keep going up until you reach level 5 and 6.","Grand Hyatt Melbourne: 0.2km, Federation Square Car Park: 0.2km",0,0,0,3,0,2,0,1,Public,1,4.7,,5,0
47,Russell St,-37.81180407,144.9677026,"Russell St, Melbourne, Victoria, 3000 Australia",Active,"Chargefox network, Charging free with parking entry, Enter car park from Russell St. Two SmartWallbox universal charging stations: one is located on the rooftop level (immediately on your right after entry), and the other is located on level 3. Look for the blue coloured concrete parking places. BYO cable required however cables can be purchased via jetcharge.com.au and collected onsite via parking management, please contact JET Charge on 1300 856 328 for help obtaining a cable - During business hours. Charging rates: 11kW via three phase or 3.5kW via single phase.","ACDC Garage: 0.2km, Grand Hyatt Melbourne: 0.4km",0,0,0,0,0,2,0,1,Commercial,1,10.0,,2,0
48,Collins St,-37.81780946,144.9552413,"589-599 Little Collins St, Melbourne VIC 3000, Australia",Active,3 chargers for guests. Enter main gates and charging bays are in front of the lifts as you proceed down the first ramp. Spots are tight.,"Alto Hotel: 0.2km, Rialto Car Park: 0.2km",0,0,0,0,0,3,0,1,Public,0,,61-390599059,3,0
49,Bourke St,-37.81638627,144.9547755,"636 Bourke St, Melbourne VIC 3000, Australia",Active,Enter via Langs Lane. Only available to Alto Hotel guests. Register for ChargePoint Card at chargepoint.com.au,"Holiday Inn Express Melbourne Little Collins: 0.2km, Wilson Parking: 0.2km, Flagstaff Car Park: 0.4km",2,0,0,3,1,0,0,1,Workplace,0,9.0,61-386085500,7,0
50,Bourke St,-37.81477906,144.956447,"542 Little Bourke St, Melbourne VIC 3000, Australia",Active,"North west corner of most levels, power point low on wall near fire hose reel","Flagstaff Car Park: 0.2km, Alto Hotel: 0.2km, RACV City Club: 0.3km",1,0,0,0,0,0,0,1,Public,0,,,1,p
51,Lonsdale St,-37.81343708,144.955934,"535 Little Lonsdale St, Melbourne VIC 3004, Australia",Active,"Dining, EV Parking, Lodging, Shopping, Restrooms, Park","Wilson Parking: 0.2km, Alto Hotel: 0.4km, RACV City Club: 0.4km",0,0,0,2,0,0,0,1,Public,1,10.0,,2,p
52,Bourke St,-37.81581182,144.9595123,"501 Bourke Street, Melbourne? VIC? 3000, Australia",Active,2 Tesla plus 2 Type 2 Socket charging stations located on level B1 near the members lift. Car park entry on Chancery Lane off Bourke Street or off Little Collins Street. 2nd charger spot is behind the down ramp. Installed by JET Charge and on Chargefox Network. Type 2 to Type 1 cables included. If you have a Type 2 car you need BYO cable.,"Wilson Parking: 0.3km, Secure Parking - 460 Lonsdale Street Car Park: 0.3km, Rialto Car Park: 0.4km",0,0,0,2,1,2,0,1,Public,1,6.8,61-1300518038,5,0
53,Lonsdale St,-37.8130787,144.9582143,"460 Lonsdale St, Melbourne VIC 3000, Australia",Active,Parking & Dining,"Flagstaff Car Park: 0.2km, Wilson Parking: 0.3km, RACV City Club: 0.3km",1,0,0,0,0,0,0,1,Public,1,,,1,p
54,Lonsdale St,-37.81137439,144.9633783,"300 Lonsdale St, Melbourne VIC 3000, Australia",Active,Melbourne Central Carpark P2. Outlet is located behind the pillar to the left of the lift.,"QV Melbourne - Car Park: 0.3km, 300 Latrobe Street - Wilson Car Park: 0.3km ",1,0,0,0,0,0,0,1,Public,1,,,1,p
55,Latrobe Street,-37.81241851,144.95362,300 Latrobe Street Melbourne,Active,Only 10A wall socket available,"Melbourne Central Car Park: 0.3km, Queen Victoria Market - Underground Carpark: 0.3km",3,0,0,0,0,0,0,1,Public,0,,,3,p
56,West Melbourne,-37.81010363,144.9510094,"45 Dudley St, West Melbourne VIC 3003, Australia",Active,"Motel with limited car parking. 10A PowerPoint/Powerboard at rear roller door, will need extension lead.","Flagstaff Car Park: 0.5km, Queen Victoria Market - Underground Carpark: 0.7km, Wilson Parking: 0.7km ",1,0,0,0,0,0,0,1,Public,0,,,1,
57,Queen St,-37.80782358,144.9581717,"460 Queen St, Melbourne VIC 3000, Australia",Active,12 x Schneider type 2 EV chargers located in B2 level BYO charging cable. Ticketless payment system and underground 500 car spaces total.,"300 Latrobe Street - Wilson Car Park: 0.3km, Secure Parking - 460 Lonsdale Street Car Park: 0.6km, Flagstaff Car Park: 0.6km",0,0,0,0,0,12,0,1,Public,0,10.0,,12,p
58,Bourke St,-37.81211268,144.9709222,"129 Bourke St, Melbourne VIC 3000, Australia",Active,"2 x Chargepoint J1772 (Type 1) chargers. Activate with RFID card and WAIT two mins, gently tug on the plug and eventually it will click and unlock. Vacuum services is available. Air and window cleaning is out of service. Operated by Juice Bar. ChargePoint card required. Officially known as 121 Exhibition Street but enter from Bourke Street.","Wilson Parking: 0.2km, Grand Hyatt Melbourne: 0.3km",0,0,0,0,2,0,0,1,Public,1,7.9,,1,p
59,Russell St,-37.81129305,144.967822,"222 Russell St, Melbourne VIC 3000, Australia",Active,"2 x Porsche Destination Chargers (Type 2, 11kW AC). Entry level, bays 261 & 262.","QV Melbourne - Car Park: 0.1km,  Secure Parking (Southern Cross): 0.2km, Melbourne Marriott: 0.2km",0,0,0,0,0,2,0,1,Public,1,1.4,,2,
60,Lonsdale St,-37.81067877,144.9666047,"180 Lonsdale Street, Melbourne VIC 3000, Australia",Active,Public Wilson Parking basement levels of QV - 180 Lonsdale Street. Levels B2 and B3 each have a number of 10A switched wall outlets� total number of sockets available unverified!,"Wilson Parking: 0.1km, Melbourne Marriott: 0.3km, Melbourne Central Carpark: 0.3km",3,0,0,0,0,0,0,1,Public,1,,,3,
61,Lonsdale St,-37.81017999,144.9705189,"59 Lonsdale St, Melbourne VIC 3000, Australia",Active,"2 x Tesla Destination Chargers (32A single phase). Turn right, down the ramp. Then on left hand side, two charging bays painted red.","Wilson Parking: 0.3km, Melbourne Marriott: 0.1km, Secure Parking (Southern Cross): 0.3km",1,0,0,2,0,0,0,1,Public,1,2.4,,3,
62,Lonsdale St,-37.81005952,144.9696999,"Corner Exhibition & Lonsdale St, Melbourne VIC 3000, Australia",Active,Valet parking required. HPWC is on level P4 near lifts. 1 X 32A single phase Tesla destination charger.,"Secure Parking (59 Lonsdale Street): 0.1km, Wilson Parking: 0.2km, QV Melbourne - Car Park: 0.3km",0,0,0,1,0,0,0,1,Commercial,0,,61-396623900,1,p
63,St Kilda,-37.86223596,144.9739984,"2 Acland St, St Kilda VIC 3182, Australia",Active,"Available to the public. GROUND floor as you enter first right. Porsche Destination Charging, 11kW Type 2 plugs cable provided. Tesla chargers are not in compatibility mode to charge other EVs.","Stokehouse St Kilda: 0.6km, Pullman Melbourne Albert Park: 1.4km, Prahran Square: 2.3km",0,0,0,2,0,2,0,1,Public,0,10.0,,4,p
64,St Kilda,-37.86765039,144.9742931,"30 Jacka Blvd, St Kilda VIC 3182, Australia",Active,"Dining, EV Parking, Park","The Prince Hotel: 0.6km, Pullman Melbourne Albert Park: 2.0km, Prahran Square: 2.7km ",0,0,0,0,0,1,0,1,Public,0,,,1,
65,Church St,-37.83218295,144.996426,"650 Church St, Cremorne VIC 3121, Australia",Active,"EV Parking, Restrooms, Dining, Shopping, WiFi","Richmond Traders Coles: 1.6km, Prahran Square: 1.8km, Wilson's Carpark: 2.0km",0,0,0,4,0,0,1,0,Commercial,0,10.0,,4,p
66,Docklands,-37.81254895,144.939394,"78 Waterfront Way, Docklands VIC 3008, Australia",Active,Wall points (10 amp) on support poles throughout carpark.,"District Docklands Shopping - East Car Park: 0.1km, District Docklands Shopping - West Car Park: 0.2km, Flagstaff City Inn: 1.1km     ",1,0,0,0,0,0,0,1,Public,0,9.0,,1,
