Year,Predicted Population
2022,26.411428570984015
2023,26.76428571373002
2024,27.117142856476022
2025,27.469999999222026
2026,27.82285714196803
2027,28.175714284714033
2028,28.528571427460037
2029,28.88142857020604
2030,29.234285712952044
2031,29.587142855698048
2032,29.93999999844405
