Unnamed: 0,Location Name,Latitude,Longitude,Town,Postal Code,City,Address,Plugs_Type2,Plugs_Three_Phase,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Caravan_Mains_Socket,Plugs_wall_AU/NZ,Power 1,charging_stations,Nearby EVStations,Hospitals,Parks,Restaurants,Malls,Supermarkets,Coffee,School
92,Holiday Inn Express Melbourne Little Collins,-37.817852,144.955291,N.A,3000,Melbourne,"589-599 Little Collins St, Melbourne VIC 3000, Australia",3,0,0,0,0,0,0,0,16.8,3,20,2,19,20,20,20,16,5
93,South Melbourne,-37.83103692,144.961768,N.A,3205,Melbourne,"214 Coventry street, south Melbourne",0,0,0,0,1,0,0,0,50,1,18,1,20,20,5,20,8,0
94,St Kilda,-37.86223596,144.9739984,N.A,3182,Melbourne,"2 Acland St, St Kilda VIC 3182, Australia",2,0,0,0,2,0,0,0,9.6,4,7,1,15,20,4,6,3,0
95,Flinders Hotel,-38.474449,145.019202,N.A,N.A,Melbourne,"23-31 Cook Street, Flinders, Victoria, Australia, VIC 3929",0,0,0,0,2,0,0,0,8,2,2,0,8,10,0,2,6,1
96,Rex Gorell Nissan,-38.16275,144.350693,N.A,3220,Geelong,"481 Latrobe Terrace Geelong VIC 3220, Australia",1,0,0,0,0,0,0,0,14.6,1,2,2,10,20,3,6,0,0
97,Penguin Parade Visitor's Centre,-38.505496,145.148488,Summerlands,3922,N.A,"995 Ventnor Road Summerlands VIC 3922, Australia",0,0,1,1,0,0,0,0,25,2,1,0,4,2,0,0,0,0
98,300 Latrobe Street - Wilson Car Park,-37.810021,144.960653,N.A,3000,Melbourne,300 Latrobe Street Melbourne ,0,0,0,0,0,0,0,3,45,3,20,5,19,20,20,20,12,3
99,Bob Morell Reserve,-38.163586,144.352507,N.A,3220,Geelong,"514 Moorabool St, South Geelong VIC 3220, Australia",0,0,0,0,0,0,0,4,50,4,1,1,14,20,3,9,0,1
100,Boundary Rd Parking Lot,-37.71912127,144.9615062,N.A,3058,Melbourne,"11 Boundary Rd, Coburg North VIC 3058, Australia",1,0,1,1,0,0,0,0,45,3,2,0,7,17,0,3,2,0
101,Stony point caravan park,-38.374257,145.221478,N.A,3919,Melbourne,"5 Stony Point Road, Crib Point VIC 3919, Australia",0,0,0,0,0,0,0,4,50,4,0,0,3,0,0,0,0,0
102,Camberwell Supercharger,-37.828606,145.05643,N.A,3126,Melbourne,"793 Burke Road , Camberwell, VIC, Australia, 3124",0,0,0,0,6,0,0,0,120,6,0,0,10,20,1,11,12,3
103,Burwood Brickworks,-37.848953,145.133898,N.A,3128,Melbourne,"70 Middleborough Road, Burwood East VIC 3151, Australia",4,0,0,0,0,0,0,0,19,4,1,0,9,20,4,8,1,0
104,Shell Taylors Lakes,-37.69657,144.78212,N.A,3038,Melbourne,"Coles Express 410 Melton Highway, Taylors Lakes VIC 3038, Australia",0,0,4,4,0,0,0,0,350,8,2,0,4,20,4,6,1,0
105,Chelsea Swansea Road Car Park,-38.054795,145.115952,N.A,3196,Melbourne,"1 Swansea Rd, Chelsea 3196, Australia",0,0,4,4,0,0,0,0,50.065,8,1,0,9,20,1,3,5,2
106,Lonsdale St,-37.81137439,144.9633783,N.A,3000,Melbourne,"300 Lonsdale St, Melbourne VIC 3000, Australia",0,0,0,0,0,0,0,1,24.2,1,17,6,20,20,20,20,17,5
107,Cooroy,-26.418047,152.911429,Cooroy,4563,N.A,"Cooroy Railway Station, Cooroy QLD 4563, Australia",2,0,1,1,0,0,0,0,50,3,1,1,5,14,0,3,6,4
108,Springvale Library,-37.957007,145.153146,N.A,3171,Melbourne,"9 Hillcrest Grove, Springvale VIC 3171, Australia",2,0,0,0,0,0,0,0,10.8,2,0,0,7,20,6,20,0,2
109,Lonsdale St,-37.8130787,144.9582143,N.A,3000,Melbourne,"460 Lonsdale St, Melbourne VIC 3000, Australia",0,0,0,0,0,0,0,1,24.2,1,20,3,18,20,20,20,10,3
110,Chargefox Charging Station,-36.631158,142.2229192,Horsham,3402,N.A,126 Baillie St,0,0,1,1,0,0,0,0,40,2.2,0,0,0,0,0,0,0,0
111,Hartley's Crocodile Adventures,-16.6597114,145.5663743,Wangetti,N.A,N.A,"Captain Cook Hwy, Wangetti QLD 4871, Australia",2,0,0,0,0,0,0,0,7,2.2,1,0,1,0,0,0,0,0
112,Chelsea Swansea Road Car Park,-38.05485257,145.1166042,N.A,3196,Melbourne,"1 Swansea Rd, Chelsea 3196, Australia",0.8,0,2,2,0,0,0,0,70.026,4.6,1,0,9,20,1,3,5,2
113,Flinders Ln,-37.81861176,144.9586537,N.A,3000,Melbourne,"450 Flinders Ln, Melbourne VIC 3000, Australia",10,0,0,0,0,0,0,0,19,10,20,3,15,20,20,20,18,5
114,AWM Greentech Geelong,-38.163929,144.411376,N.A,3224,N.A,"252-256 Portarlington Rd, Moolap, Victoria 3224",1,0,0,0,0,0,0,0,14.6,1,0,0,0,11,0,1,1,0
115,Bayside City Council,-37.959394,145.017704,N.A,3191,Melbourne,"76 Royal Ave, Sandringham VIC 3191, Australia",0,0,1,1,0,0,0,0,50,2,2,1,13,20,0,3,1,1
116,North Drive Office Complex,-37.909599,145.062347,N.A,3165,Melbourne,"236 E Boundary Rd, Bentleigh East VIC 3165, Australia",0,0,0,0,0,1,0,0,12.72,1,0,1,13,20,0,4,1,1
117,Holiday Inn Express Melbourne Southbank,-37.821895,144.966652,N.A,3006,Melbourne,"35-47 City Rd, Southbank VIC 3006, Australia",9,0,0,0,0,0,0,0,19,9,16,4,16,20,20,20,4,1
118,Carlton,-37.80216073,144.9671638,N.A,3053,Melbourne,204-218 Lygon St Carlton Victoria 3053 Australia,1,0,0,0,0,0,0,0,14.6,1,15,13,17,20,15,20,2,3
119,Sundowner Rockbank Caravan Park,-37.730067,144.659873,N.A,3335,Melbourne,"Rockbank VIC 3335, Australia",0,0,0,0,0,0,0,1,24.2,1,0,0,14,8,1,5,0,1
120,Club Delaray,-38.110037,145.336394,N.A,3978,Melbourne,"20 Alphey Road, Clyde North VIC 3978, Australia",1,0,0,0,0,0,0,0,14.6,1,1,0,20,7,1,2,1,0
121,Evie Charging Station,-36.37203068,143.6109526,Wedderburn,3518,N.A,Chapel St,0,0,1,1,0,0,0,0,40,2.2,0,0,0,0,0,0,0,0
122,Watergardens Shopping Centre,-37.699043,144.775876,N.A,3038,Melbourne,"399 Melton Highway, Taylors Lakes VIC 3038",0,0,0,0,3,0,0,0,22,3,2,0,4,20,4,7,10,0
123,Hume Villa Motor Inn,-37.696652,144.959707,N.A,3060,Melbourne,"1324 Sydney Rd, Fawkner VIC 3060, Australia",0,0,0,0,0,0,0,1,24.2,1,1,0,4,20,1,12,0,0
124,Tesla Destination Charger,-36.67605388,144.245049,Golden Square,N.A,Bendigo,371 High St,0,0,0,0,1,0,0,0,23.6,1,0,0,0,0,0,0,0,0
125,Rialto Car Park,-37.8191,144.957613,N.A,3000,Melbourne,"476 Flinders Ln, Melbourne VIC 3000, Australia",2,0,0,0,0,0,0,1,7,3,20,4,17,20,20,20,16,4
126,Evie Charging Station,-37.0506023,143.7418516,Maryborough,3465,N.A,Station St,0,0,1,1,0,0,0,0,40,2.2,1,4,13,20,1,13,4,0
127,Harrow Street Car Park,-37.821964,145.124448,N.A,3128,Melbourne,"3 John St, Box Hill VIC 3128, Australia",5,0,0,0,0,0,0,0,16,5,1,7,17,20,4,20,2,5
128,Docklands,-37.81209916,144.9392454,N.A,3008,Melbourne,"90 Waterfront Way, Docklands VIC 3008, Australia",0,0,0,0,1,0,0,0,15,1,14,0,20,20,5,16,6,3
129,Common Ground Project,-38.259646,144.276227,N.A,3217,N.A,"675 Anglesea Rd, Freshwater Creek VIC 3217, Australia",0,0,0,0,2,0,0,0,22,2,2,0,1,1,0,0,1,0
130,QESH Ayr,-19.5740619,147.4056813,N.A,4807,N.A,"133 Edwards St, Ayr QLD 4807, Australia",1,0,1,1,0,0,0,0,50,3.4,1,2,10,20,3,20,10,1
131,Moonee Ponds Supercharger,-37.76556152,144.9236774,N.A,3039,Melbourne,"665 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",0,0,0,0,6,0,0,0,158,5.6,4,0,7,20,2,12,9,0
