,Station Name,Address  1,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select,latitude,longitude,evstations_count,hospitals_count,parks_count,restaurants_count,url
242,COA FLEET - PIE / MEINARD #1,4393-4799 Meinardus Dr,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,NEMA 5-20R,240V,J1772,"30.211361, -97.752083",$4.17/month PIE members $2/hr Non-Members,40A,30.211361, -97.752083,7,0,3,20,"https://www.google.com/maps/place/30.211361, -97.752083"
243,PIE AE / PUBACCSVSCTRST2,9101 Exchange Dr,Austin,Texas,78710,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.338568, -97.66223",$4.17/month PIE members $2/hr Non-Members,40A,30.338568, -97.66223,4,0,3,7,"https://www.google.com/maps/place/30.338568, -97.66223"
244,PALOMA RIDGE / PALOMA BDG C #7,13620 N FM 620,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.477991, -97.77827",$4.17/month PIE members $2/hr Non-Members,40A,30.477991, -97.77827,5,0,4,11,"https://www.google.com/maps/place/30.477991, -97.77827"
245,COA / DOA - CONRAC1,3819 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Retail,J1772,240V,J1772,"30.204711, -97.666322",$4.17/month PIE members $2/hr Non-Members,30A,30.204711, -97.666322,0,0,1,20,"https://www.google.com/maps/place/30.204711, -97.666322"
246,FLORA / STATION 2,5406 Middle Fiskville Rd,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,J1772,240V,J1772,"30.316818, -97.714835",$4.17/month PIE members $2/hr Non-Members,40A,30.316818, -97.714835,15,0,6,20,"https://www.google.com/maps/place/30.316818, -97.714835"
247,DSMCUT / EVSE06 FLOOR L2,501-573 E 15th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Healthcare,J1772,240V,J1772,"30.275229, -97.734575",$4.17/month PIE members $2/hr Non-Members,40A,30.275229, -97.734575,20,2,11,20,"https://www.google.com/maps/place/30.275229, -97.734575"
248,ENDEAVOR REG / 2500 BEE CAVES2,2500 Bee Caves Rd.,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.267346, -97.783448",$4.17/month PIE members $2/hr Non-Members,40A,30.267346, -97.783448,8,0,8,8,"https://www.google.com/maps/place/30.267346, -97.783448"
249,GIBSON FLATS / STATION1,1219 S Lamar Blvd,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,240V,J1772,"30.254007, -97.762023",$4.17/month PIE members $2/hr Non-Members,40A,30.254007, -97.762023,20,0,12,20,"https://www.google.com/maps/place/30.254007, -97.762023"
250,PALOMA RIDGE / PALOMA BDG C #6,13620 N FM 620,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.477861, -97.7787",$4.17/month PIE members $2/hr Non-Members,40A,30.477861, -97.7787,6,0,4,11,"https://www.google.com/maps/place/30.477861, -97.7787"
251,HPI 3700 / 3900 SC #2,3900 N Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.337882, -97.807765",$4.17/month PIE members $2/hr Non-Members,40A,30.337882, -97.807765,3,0,0,5,"https://www.google.com/maps/place/30.337882, -97.807765"
252,PIE AE / ZILKER PARK PH1,2201 William Barton Dr,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parks and Recreation,J1772,240V,J1772,"30.264456, -97.771382",$4.17/month PIE members $2/hr Non-Members,40A,30.264456, -97.771382,20,0,15,20,"https://www.google.com/maps/place/30.264456, -97.771382"
253,CTM / CTM,1124 IH 35,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,J1772,240V,J1772,"30.244744, -97.735798",$4.17/month PIE members $2/hr Non-Members,40A,30.244744, -97.735798,20,1,16,20,"https://www.google.com/maps/place/30.244744, -97.735798"
254,8611 MOPAC LLC / MOPAC 1,8611 Mopac Service Rd,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.373296, -97.739942",$4.17/month PIE members $2/hr Non-Members,40A,30.373296, -97.739942,7,0,3,15,"https://www.google.com/maps/place/30.373296, -97.739942"
255,AMD GO GREEN / AMD P100 LG,7171 Southwest Pkwy,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.250807, -97.861761",$4.17/month PIE members $2/hr Non-Members,40A,30.250807, -97.861761,8,0,0,5,"https://www.google.com/maps/place/30.250807, -97.861761"
256,DSMCUT / EVSE03 FLOOR L5,501-573 E 15th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Healthcare,J1772,240V,J1772,"30.275274, -97.734552",$4.17/month PIE members $2/hr Non-Members,40A,30.275274, -97.734552,20,2,11,20,"https://www.google.com/maps/place/30.275274, -97.734552"
257,PIE AE / PUB-HEBCONGRESS,2400-2424 S Congress Ave,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.238689, -97.753858",$4.17/month PIE members $2/hr Non-Members,40A,30.238689, -97.753858,14,0,9,20,"https://www.google.com/maps/place/30.238689, -97.753858"
258,FOUNDRY / STATION 2,310 Comal St,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.261097, -97.727847",$4.17/month PIE members $2/hr Non-Members,40A,30.261097, -97.727847,20,0,20,20,"https://www.google.com/maps/place/30.261097, -97.727847"
259,PIE AE / PUB ACC EVIEW1,3401 Webberville Rd,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.268116, -97.706104",$4.17/month PIE members $2/hr Non-Members,40A,30.268116, -97.706104,13,0,6,20,"https://www.google.com/maps/place/30.268116, -97.706104"
260,CITY VIEW / STATION1,1250 S Capital of Texas Hwy,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.280698, -97.824024",$4.17/month PIE members $2/hr Non-Members,40A,30.280698, -97.824024,6,0,7,10,"https://www.google.com/maps/place/30.280698, -97.824024"
261,NATIONAL INSTRU / 15&16;,11500 N Mopac Expy,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.408822, -97.725196",$4.17/month PIE members $2/hr Non-Members,40A,30.408822, -97.725196,20,0,7,20,"https://www.google.com/maps/place/30.408822, -97.725196"
262,FLORA / STATION 1,5406 Middle Fiskville Rd,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,J1772,240V,J1772,"30.316671, -97.714957",$4.17/month PIE members $2/hr Non-Members,40A,30.316671, -97.714957,15,0,6,20,"https://www.google.com/maps/place/30.316671, -97.714957"
263,RPP GARAGE / ISLAND GW,12301 Research Blvd,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,J1772,240V,J1772,"30.428017, -97.754379",$4.17/month PIE members $2/hr Non-Members,40A,30.428017, -97.754379,3,0,2,17,"https://www.google.com/maps/place/30.428017, -97.754379"
264,PIE AE / RIO REMOVED SCA,1212 Rio Grande St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,NEMA 5-20R,240V,J1772,"30.277252, -97.747261",$4.17/month PIE members $2/hr Non-Members,40A,30.277252, -97.747261,20,1,19,20,"https://www.google.com/maps/place/30.277252, -97.747261"
265,WALLERCREEKSIDE / CREEKSIDE1,102-104 E 50th St,Austin,Texas,78751,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,J1772,--,--,"30.315229, -97.724395",$4.17/month PIE members $2/hr Non-Members,40A,30.315229, -97.724395,16,2,6,20,"https://www.google.com/maps/place/30.315229, -97.724395"
266,DOMAIN / RIGHT STATION,11501 Alterra Pkwy,Austin,Texas,78758,1,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,--,--,"30.401174, -97.719445",$4.17/month PIE members $2/hr Non-Members,40A,30.401174, -97.719445,20,0,5,20,"https://www.google.com/maps/place/30.401174, -97.719445"
267,AUSTIN / 400 - 3,400 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.26505, -97.74849",$4.17/month PIE members $2/hr Non-Members,40A,30.26505, -97.74849,20,1,20,20,"https://www.google.com/maps/place/30.26505, -97.74849"
268,ENDEAVOR REG / LEVEL 3 - #3,4301 Bull Creek Rd,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,J1772,240V,J1772,"30.317747, -97.755004",$4.17/month PIE members $2/hr Non-Members,40A,30.317747, -97.755004,7,1,6,12,"https://www.google.com/maps/place/30.317747, -97.755004"
269,FROST / 3,515 Congress Ave,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,J1772,240V,J1772,"30.267548, -97.742316",$4.17/month PIE members $2/hr Non-Members,40A,30.267548, -97.742316,20,2,20,20,"https://www.google.com/maps/place/30.267548, -97.742316"
270,COA / NEWCENTRALLIB3,710 W Cesar Chavez St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,J1772,240V,J1772,"30.266102, -97.751688",$4.17/month PIE members $2/hr Non-Members,40A,30.266102, -97.751688,20,1,20,20,"https://www.google.com/maps/place/30.266102, -97.751688"
271,FOUNDATION COMM / JORDAN2,2724 Philomena St,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.298662, -97.694714",$4.17/month PIE members $2/hr Non-Members,40A,30.298662, -97.694714,8,1,12,20,"https://www.google.com/maps/place/30.298662, -97.694714"
272,COA FLEET - PIE / ROOF5,612 E 9th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,J1772,240V,J1772,"30.269395, -97.735644",$4.17/month PIE members $2/hr Non-Members,40A,30.269395, -97.735644,20,2,17,20,"https://www.google.com/maps/place/30.269395, -97.735644"
273,PIE AE / PUBGABLESPRESS1,1313 W 6th St,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,J1772,240V,J1772,"30.273141, -97.759947",$4.17/month PIE members $2/hr Non-Members,40A,30.273141, -97.759947,20,0,20,20,"https://www.google.com/maps/place/30.273141, -97.759947"
274,AVIATION / 4TH FLOOR,3201 Presidential Blvd,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parks and Recreation,J1772,240V,J1772,"30.204614, -97.669503",$4.17/month PIE members $2/hr Non-Members,40A,30.204614, -97.669503,13,0,0,20,"https://www.google.com/maps/place/30.204614, -97.669503"
275,RIDGE OFFICE / THE RIDGE GW,6805 Wood Hollow Dr,Austin,Texas,78731,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.350591, -97.754534",$4.17/month PIE members $2/hr Non-Members,40A,30.350591, -97.754534,3,1,8,15,"https://www.google.com/maps/place/30.350591, -97.754534"
276,MONOGRAM / PARKING 2-3,615 W 7th St,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,J1772,240V,J1772,"30.270562, -97.748959",$4.17/month PIE members $2/hr Non-Members,40A,30.270562, -97.748959,20,1,20,20,"https://www.google.com/maps/place/30.270562, -97.748959"
