Station Name,Address  1,Address  2,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Subcategory,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
COA FLEET - PIE / BARTON #2,505 Barton Springs Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,Municipal Parking,J1772,240V,J1772,"30.256936, -97.749284",$4.17/month PIE members $2/hr Non-Members,40A
COA FLEET - PIE / ROOF 2,625 E 10th St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Municipal,Municipal Fleet,NEMA 5-20R,240V,J1772,"30.2696, -97.73477",$4.17/month PIE members $2/hr Non-Members,40A
HPI 3700 / 3900 SC 4,3900 N Capital of Texas Hwy,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.337935, -97.808041",$4.17/month PIE members $2/hr Non-Members,40A
HPE AUSTIN / TXN04 A,14231 Tandem Blvd,,Austin,Texas,78728,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,High-Tech,J1772,240V,J1772,"30.445476, -97.690074",$4.17/month PIE members $2/hr Non-Members,40A
NATIONAL INSTRU / 5&6,11500 N Mopac Expy,,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,High-Tech,J1772,240V,J1772,"30.408705, -97.725377",$4.17/month PIE members $2/hr Non-Members,40A
LADERA BEND / BUILDING 3,6585-6621 Jester Blvd,,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,High-Tech,J1772,240V,J1772,"30.371215, -97.800887",$4.17/month PIE members $2/hr Non-Members,40A
CZPROPERTIES / FLOOR 2 UNIT 1,1400 Lavaca St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.276924, -97.74264",$4.17/month PIE members $2/hr Non-Members,40A
COA FLEET - PIE / TOOMEY #2,1501-1615 Toomey Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,Municipal Fleet,NEMA 5-20R,240V,J1772,"30.263716, -97.759239",$4.17/month PIE members $2/hr Non-Members,40A
CATHERINE / CATHERINE 1,300 Barton Springs Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.259096, -97.747775",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / HOWSONBRCHLIBR2,2500 Exposition blvd,,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,Library,J1772,240V,J1772,"30.298396, -97.767903",$4.17/month PIE members $2/hr Non-Members,40A
HYATT PLACE / HP STATION 3,Presidential Blvd,,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Hospitality,Hotel / Resort,J1772,240V,J1772,"30.210387, -97.664586",$4.17/month PIE members $2/hr Non-Members,40A
