Station Name,Address  1,Address  2,City,State,Postal Code,No. of Ports,Pricing Policy,Usage Access,Category,Subcategory,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,New Georeferenced Column,Pricing ,Power Select
PIE AE / HAMPTON LBRY1,5125 Convict Hill Rd,,Austin,Texas,78749,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,Library,J1772,240V,J1772,"30.218091, -97.855",$4.17/month PIE members $2/hr Non-Members,40A
FOUNDATION COMM / JORDAN3,2724 Philomena St,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.298681, -97.6948",$4.17/month PIE members $2/hr Non-Members,40A
COA / TWIN OAKS #1,1800 S 5th St,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,Library,J1772,240V,J1772,"30.248932, -97.762283",$4.17/month PIE members $2/hr Non-Members,40A
HPI 3700 / EV 2,3700 N Capital of Texas Hwy,,Austin,Texas,78746,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,--,--,"30.336797, -97.806151",$4.17/month PIE members $2/hr Non-Members,40A
AUSTIN / AUSTIN 200 2,200 W Cesar Chavez St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,High-Tech,J1772,240V,J1772,"30.26445, -97.746142",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / PUBWYNDHAMGARD1,1600-1628 Woodward St,,Austin,Texas,78741,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.222774, -97.74635",$4.17/month PIE members $2/hr Non-Members,40A
FOUNDATION COMM / STATION 01,11015 four points dr,,Austin,Texas,78726,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.39921, -97.846895",$4.17/month PIE members $2/hr Non-Members,40A
COA FLEET - PIE / FLOOR 4,900 N Interstate Hwy 35,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,Municipal Fleet,J1772,240V,J1772,"30.269044, -97.73428",$4.17/month PIE members $2/hr Non-Members,40A
NATIONAL INSTRU / 17&18;,11500 N Mopac Expy,,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,High-Tech,J1772,240V,J1772,"30.408534, -97.727744",$4.17/month PIE members $2/hr Non-Members,40A
SCHOOL / LANIER1,1201 Payton gin rd.,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Education,High School / Other,J1772,240V,J1772,"30.360173, -97.709582",$4.17/month PIE members $2/hr Non-Members,40A
HANOVER / L7,110 San Antonio St,,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,Apartment,J1772,--,--,"30.265166, -97.749131",$4.17/month PIE members $2/hr Non-Members,40A
ENDEAVOR REG / DELLANA LN 1,2602 Dellana Ln,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,General,J1772,240V,J1772,"30.268309, -97.783776",$4.17/month PIE members $2/hr Non-Members,40A
CITY VIEW / STATION2,1120 S Capital of Texas Hwy,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.283044, -97.824902",$4.17/month PIE members $2/hr Non-Members,40A
AVIATION / 2ND FLOOR L,3201 Presidential Blvd,,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Airport,J1772,240V,J1772,"30.20473, -97.669397",$4.17/month PIE members $2/hr Non-Members,40A
SALTILLO / BLOCK 2,1011 E 5th St,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.263955, -97.732721",$4.17/month PIE members $2/hr Non-Members,
RPP GARAGE / ISLAND 2,12301 Research Blvd,,Austin,Texas,78759,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,--,--,"30.427967, -97.754411",$4.17/month PIE members $2/hr Non-Members,40A
16 / OAKVILLE APTS,7011 W Parmer Ln,,Austin,Texas,78729,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.450758, -97.749282",$4.17/month PIE members $2/hr Non-Members,40A
HPI 3700 / 3900 SC #1,3900 N Capital of Texas Hwy,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.337898, -97.807867",$4.17/month PIE members $2/hr Non-Members,40A
AMD GO GREEN / P100 FL3 LEFT,7171 Southwest Pkwy,,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.250807, -97.861696",$4.17/month PIE members $2/hr Non-Members,40A
PARMER AUSTIN / PIC #2,13011c McCallen Pass,,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,High-Tech,J1772,240V,J1772,"30.409607, -97.659318",$4.17/month PIE members $2/hr Non-Members,40A
HPI 3700 / EV 4,3700 N Capital of Texas Hwy,,Austin,Texas,78746,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,--,--,"30.336723, -97.806259",$4.17/month PIE members $2/hr Non-Members,40A
ENDEAVOR REG / 901 E 6TH ST 4,901 E 6th St,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,General,J1772,240V,J1772,"30.265013, -97.733449",$4.17/month PIE members $2/hr Non-Members,40A
LADERA BEND / GATED GARAGE 2,7300 Ranch Rd 2222,,Austin,Texas,78730,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,High-Tech,J1772,240V,J1772,"30.372159, -97.80166",$4.17/month PIE members $2/hr Non-Members,40A
HANOVER / L5,110 San Antonio St,,Austin,Texas,78701,1,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Multifamily Commercial,Apartment,J1772,--,--,"30.265299, -97.749118",$4.17/month PIE members $2/hr Non-Members,40A
PARMER AUSTIN / STATION PIC 4,509 E Howard Ln,,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,High-Tech,J1772,240V,J1772,"30.411955, -97.652813",$4.17/month PIE members $2/hr Non-Members,
PIE AE / PUB-CENTRALMKTS,4465-4475 S Lamar Blvd,,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.232256, -97.798438",$4.17/month PIE members $2/hr Non-Members,40A
RAINEY STREET / MILLENNIUM 01,91 Rainey St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.260803, -97.737765",$4.17/month PIE members $2/hr Non-Members,40A
PALOMA RIDGE / PALOMA BDG C #3,13620 N FM 620,,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.477716, -97.779045",$4.17/month PIE members $2/hr Non-Members,40A
AVIATION / 5TH FLOOR,3201 Presidential Blvd,,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Parks and Recreation,,J1772,240V,J1772,"30.204665, -97.669632",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / PUBPEARSONH LN1,400 Center Ridge Dr,,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.417411, -97.664204",$4.17/month PIE members $2/hr Non-Members,40A
AISD PAC / AISD PAC #1,Mueller Blvd,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,High School / Other,J1772,240V,J1772,"30.305454, -97.702666",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / RUTHERFORD #8,1520 Rutherford Ln,,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,Municipal Workplace,J1772,240V,J1772,"30.337751, -97.680756",$4.17/month PIE members $2/hr Non-Members,40A
ENDEAVOR REG / 901 E 6TH ST 2,901 E 6th St,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,General,J1772,240V,J1772,"30.265007, -97.733526",$4.17/month PIE members $2/hr Non-Members,40A
ENCINO STATIONS / ARM EMPLOYEES,5707 Southwest Pkwy,,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,General,J1772,240V,J1772,"30.243704, -97.846168",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / MACC STATION 2,600 River St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,Municipal Workplace,J1772,240V,J1772,"30.25848, -97.73948",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / RIO2 REMOVED SC,1212 Rio Grande St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,NEMA 5-20R,240V,J1772,"30.277239, -97.747215",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / NWRECCENTER 1,2913 Marilyn Dr,,Austin,Texas,78757,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.33403, -97.751448",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / PUBACCSOAUSTIN1,5517 Manchaca Rd,,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.216019, -97.796332",$4.17/month PIE members $2/hr Non-Members,30A
ST. JOHNS WEST / JOHNS E,601 W St Johns Ave,,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.3378, -97.714764",$4.17/month PIE members $2/hr Non-Members,40A
REPUBLICSQUARE / GABLES REPUB2,217B W 4th St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.26679, -97.74565",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / PUBCHASEESCAL1,4301 Westbank Dr,,Austin,Texas,78746,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,NEMA 5-20R,240V,J1772,"30.27567, -97.817127",$4.17/month PIE members $2/hr Non-Members,40A
CHAMPION OFFICE / EV #1,6433 Champion Grandview Way,,Austin,Texas,78750,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,Commercial,J1772,240V,J1772,"30.363141, -97.793613",$4.17/month PIE members $2/hr Non-Members,40A
FLATIRON DOMAIN / FLATIRON DOM 1,10727 Domain Dr,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.393731, -97.725579",$4.17/month PIE members $2/hr Non-Members,30A
SCHOOL / TRAVIS2,1211 E Oltorf St.,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Education,High School / Other,J1772,240V,J1772,"30.232206, -97.743837",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / PUBACCPINNACLE2,7748 Hwy 290 W,,Austin,Texas,78736,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,NEMA 5-20R,240V,J1772,"30.23143, -97.883171",$4.17/month PIE members $2/hr Non-Members,40A
AMBEROAKS-AE / AMBER 1,9001 Amberglen Blvd,,Austin,Texas,78729,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.470002, -97.766435",$4.17/month PIE members $2/hr Non-Members,40A
COA FLEET - PIE / MEINARD #2,4393-4799 Meinardus Dr,,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,Municipal Fleet,NEMA 5-20R,240V,J1772,"30.211357, -97.752083",$4.17/month PIE members $2/hr Non-Members,40A
FOUNDRY / STATION 4,310 Comal St,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.261084, -97.727822",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / CONVENTION CTR1,111 Congress Ave,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.263755, -97.743423",$4.17/month PIE members $2/hr Non-Members,40A
CEDARHILLS-AE / CEDARHILL 1,4100 W Slaughter Ln,,Austin,Texas,78749,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.189638, -97.856428",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / HOWSONBRCHLIBR1,2500 Exposition Blvd,,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,Library,J1772,240V,J1772,"30.298412, -97.767959",$4.17/month PIE members $2/hr Non-Members,40A
YETI RAMBLERS / EVSE #1,7601 Southwest Pkwy,William Cannon,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.256412, -97.871799",$4.17/month PIE members $2/hr Non-Members,40A
AXO GROUP LLC / AUSTIN CHARGE,601-699 Brushy St,,Austin,Texas,78702,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.266047, -97.733139",$4.17/month PIE members $2/hr Non-Members,40A
COA / DOA - CONRAC2,3819 Presidential Blvd,,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Retail,Car Rental / Car Share,J1772,240V,J1772,"30.204655, -97.666451",$4.17/month PIE members $2/hr Non-Members,40A
B AUSTIN / STATION 1,6700 Manchaca Rd,,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.206406, -97.807047",$4.17/month PIE members $2/hr Non-Members,40A
BRANDYWINE AUST / FOUR POINTS 1,11120 4 Points Dr,,Austin,Texas,78726,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.405365, -97.84813",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / CONVENTION CTR2,111 Congress Ave,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.263746, -97.743476",$4.17/month PIE members $2/hr Non-Members,40A
BUILDING 7 EVCS / STATION1,909 Reinli St,,Austin,Texas,78751,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,Condominium,J1772,240V,J1772,"30.318426, -97.71069",$4.17/month PIE members $2/hr Non-Members,40A
7700 PARMER / 7700 PARMER 2,7700 W PARMER LN,,Austin,Texas,78729,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,High-Tech,J1772,240V,J1772,"30.458594, -97.7526",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / PUBACCHIGHLAND1,5930 Middle Fiskville Rd,,Austin,Texas,78752,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.322654, -97.712743",$4.17/month PIE members $2/hr Non-Members,40A
WHITLEY MAIN / PIE-M WHITLEY,301 Brazos St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,Condominium,J1772,240V,J1772,"30.265199, -97.742194",$4.17/month PIE members $2/hr Non-Members,40A
COA FLEET - PIE / FLOOR 4 ADA,625 E 10th St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,Municipal Fleet,NEMA 5-20R,240V,J1772,"30.2696, -97.734679",$4.17/month PIE members $2/hr Non-Members,40A
COA / LOT J SW,10137 Hotel Dr,,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Workplace,General,J1772,240V,J1772,"30.207559, -97.661039",$4.17/month PIE members $2/hr Non-Members,40A
HPI 3700 / EV 6,4339 N Capital of Texas Hwy,,Austin,Texas,78746,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,--,--,"30.336616, -97.8076",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / MACC STATION 1,600 River St.,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Municipal,Municipal Workplace,J1772,240V,J1772,"30.258523, -97.739467",$4.17/month PIE members $2/hr Non-Members,40A
ACC-AE / RIO GRANDE GAR2,824 W 12th St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,University / College,J1772,240V,J1772,"30.276423, -97.749389",$4.17/month PIE members $2/hr Non-Members,40A
ENCINO STATIONS / STATION 1,5707 Southwest Pkwy,,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.243726, -97.845725",$4.17/month PIE members $2/hr Non-Members,40A
FOUNDATION COMM / JORDAN4,2724 Philomena St,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.298859, -97.694978",$4.17/month PIE members $2/hr Non-Members,40A
DEVLOPER / TRAMMELLCROW5,San Antonio St,2nd street,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.265885, -97.748891",$4.17/month PIE members $2/hr Non-Members,40A
THE MEDVE GROUP / ARTS S AUSTIN,400 W St Elmo Rd,,Austin,Texas,78745,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.221064, -97.770408",$4.17/month PIE members $2/hr Non-Members,40A
TR DOMAIN 11 / STATION 1,11920 Alterra Pkwy,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,General,J1772,240V,J1772,"30.405714, -97.71939",$4.17/month PIE members $2/hr Non-Members,30A
PIE AE / CITY HALL STAT1,400 W 2nd St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.264942, -97.746925",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / ERCOT 1,7620 Metro Center Dr,,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,NEMA 5-20R,240V,J1772,"30.2165, -97.691795",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / PALMER STATION1,736-820 Barton Springs Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,NEMA 5-20R,240V,J1772,"30.259287, -97.751956",$4.17/month PIE members $2/hr Non-Members,40A
HIDAUSTIN / STATION 1,611 Center Ridge Dr,,Austin,Texas,78753,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.414119, -97.667009",$4.17/month PIE members $2/hr Non-Members,40A
SAS / SAMSUNG 6,12100 samsung blvd,,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.377439, -97.639693",$4.17/month PIE members $2/hr Non-Members,40A
AVIATION / 2ND FLOOR R,3201 Presidential Blvd,,Austin,Texas,78719,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Airport,J1772,240V,J1772,"30.204572, -97.669392",$4.17/month PIE members $2/hr Non-Members,30A
PIE AE / PUB ACC NRIDGE2,Campus Dr,,Austin,Texas,78758,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.40429, -97.705587",$4.17/month PIE members $2/hr Non-Members,40A
AMD GO GREEN / P300 FL2,6825 Rialto Blvd,,Austin,Texas,78735,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Workplace,High-Tech,J1772,240V,J1772,"30.249626, -97.860776",$4.17/month PIE members $2/hr Non-Members,40A
FROST / 2,401 Congress,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Commercial with restricted access,Parking,Commercial,J1772,240V,J1772,"30.267047, -97.742012",$4.17/month PIE members $2/hr Non-Members,40A
GIBSON FLATS / STATION 2,1219 S Lamar Blvd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.254054, -97.761959",$4.17/month PIE members $2/hr Non-Members,40A
BURNET FLATS / BURNET FLATS G1,5453 Burnet Rd,,Austin,Texas,78756,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.330046, -97.739251",$4.17/month PIE members $2/hr Non-Members,40A
NATIONAL INSTRU / 19&20;,11500 N Mopac Expy,,Austin,Texas,78759,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,High-Tech,J1772,240V,J1772,"30.40854, -97.72767",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / PALMER STATION8,846-888 Barton Springs Rd,,Austin,Texas,78704,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.259864, -97.752661",$4.17/month PIE members $2/hr Non-Members,40A
PIE AE / PUBGABLES 5TH 2,1611 W 5th St,,Austin,Texas,78703,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Parking,Commercial,J1772,240V,J1772,"30.274388, -97.764731",$4.17/month PIE members $2/hr Non-Members,40A
GALLERIA OAKS / GALLERIA OAKS 1,3927 Ranch Rd 620 S,,Austin,Texas,78738,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.313121, -97.946493",$4.17/month PIE members $2/hr Non-Members,40A
MUELLER MARKET / MUELLER ST7,1801 E 51st St,,Austin,Texas,78723,1,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,--,--,"30.300934, -97.699428",$4.17/month PIE members $2/hr Non-Members,30A
COA FLEET - PIE / RUTHERFORD #9,1520 Rutherford Ln,,Austin,Texas,78754,2,$4.17/month PIE members $2/hr Non-Members,"Public (Municipal, as in library, street, etc)",Municipal,Municipal Fleet,NEMA 5-20R,240V,J1772,"30.335875, -97.679382",$4.17/month PIE members $2/hr Non-Members,40A
AUSTIN HQ / STATION 1,4200 Smith School Dr,,Austin,Texas,78744,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.192647, -97.714329",$4.17/month PIE members $2/hr Non-Members,40A
AISD PAC / AISD PAC #4,1301-1603 E 51st St,,Austin,Texas,78723,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Education,High School / Other,J1772,240V,J1772,"30.305269, -97.702269",$4.17/month PIE members $2/hr Non-Members,40A
MONOGRAM / PARKING 4-5,615 W 7th St,,Austin,Texas,78701,2,$4.17/month PIE members $2/hr Non-Members,Multi-family residential,Multifamily Commercial,Apartment,J1772,240V,J1772,"30.270567, -97.748906",$4.17/month PIE members $2/hr Non-Members,40A
ENDEAVOR REG / STATION2,11001 Lakeline Blvd,,Austin,Texas,78717,2,$4.17/month PIE members $2/hr Non-Members,Commercial with unrestricted access,Workplace,General,J1772,240V,J1772,"30.479702, -97.793993",$4.17/month PIE members $2/hr Non-Members,40A
