,No. of Ports,Usage Access,Category,Port 1: Connector Type,Voltage (V),Port 2: Connector Type,Power Select,evstations_count,hospitals_count,parks_count,restaurants_count,Clusters,cluster_type
79,2,1,8,0,1,1,2,20,1,20,20,0,Dense
80,2,2,3,0,1,1,2,8,0,3,20,1,Normal
81,2,0,8,0,1,1,1,20,0,7,20,1,Normal
82,2,1,5,0,1,1,2,20,1,20,20,2,Sparse
83,2,1,8,1,1,1,2,4,0,1,18,2,Sparse
84,2,1,5,1,1,1,2,20,1,18,20,1,Normal
85,2,1,8,0,1,1,2,9,0,2,20,2,Sparse
86,2,1,8,0,1,1,2,5,0,2,7,1,Normal
87,2,1,5,0,1,1,1,13,0,0,20,0,Dense
88,2,1,5,0,1,1,2,20,1,4,12,1,Normal
89,2,0,8,0,1,1,2,8,0,0,5,0,Dense
90,2,0,5,0,1,1,2,20,2,20,20,2,Sparse
91,2,1,3,0,1,1,2,20,0,12,20,2,Sparse
92,2,2,3,0,1,1,2,6,0,5,20,0,Dense
93,2,1,8,0,1,1,2,20,0,9,20,2,Sparse
94,2,1,5,0,1,1,2,20,1,17,20,1,Normal
95,2,1,5,0,1,1,2,20,0,19,20,1,Normal
96,2,1,8,0,1,1,2,6,2,6,20,2,Sparse
97,1,1,8,0,0,0,1,9,1,20,20,2,Sparse
98,2,3,4,1,1,1,2,5,1,2,17,0,Dense
99,2,1,8,0,1,1,2,3,0,2,0,0,Dense
100,2,1,0,0,1,1,2,12,1,15,20,0,Dense
101,2,2,3,0,1,1,2,20,1,20,20,2,Sparse
102,2,1,8,0,1,1,2,5,0,1,20,2,Sparse
103,2,0,5,0,1,1,2,20,0,18,20,0,Dense
104,2,1,2,0,1,1,2,4,0,3,8,1,Normal
105,2,1,8,0,1,1,2,5,0,4,10,2,Sparse
106,2,1,4,0,1,1,2,20,2,20,20,1,Normal
107,2,0,5,0,1,1,2,20,2,20,20,2,Sparse
108,2,1,8,0,1,1,2,20,0,9,20,2,Sparse
109,2,1,3,0,1,1,2,8,0,0,5,2,Sparse
110,2,2,3,0,1,1,2,8,2,12,20,2,Sparse
111,2,3,5,0,1,1,2,12,2,11,20,2,Sparse
112,2,2,3,0,1,1,2,13,1,7,20,2,Sparse
113,2,1,5,0,1,1,2,7,2,2,15,2,Sparse
114,1,1,8,0,0,0,2,7,9,11,20,2,Sparse
115,2,1,7,0,1,1,1,8,0,1,20,0,Dense
116,2,2,3,0,1,1,2,9,0,6,20,2,Sparse
117,2,1,8,0,1,1,2,20,0,7,20,2,Sparse
118,2,1,0,0,1,1,2,12,1,14,20,0,Dense
119,2,0,8,0,1,1,2,7,1,6,12,0,Dense
120,1,2,3,0,0,0,2,8,0,5,12,1,Normal
121,2,1,2,0,1,1,2,12,0,1,20,2,Sparse
122,1,1,7,0,0,0,2,10,1,20,20,2,Sparse
123,2,1,5,0,1,1,2,20,1,17,20,1,Normal
124,2,0,8,0,1,1,2,7,0,2,14,1,Normal
125,2,1,3,0,1,1,2,7,0,0,5,1,Normal
126,2,1,8,0,1,1,2,20,1,20,20,0,Dense
127,2,0,8,0,1,1,2,8,0,8,8,0,Dense
128,2,0,8,0,1,1,2,8,0,0,5,0,Dense
129,2,0,8,0,1,1,2,7,1,6,12,0,Dense
130,1,3,5,0,0,0,2,20,2,20,20,1,Normal
131,2,2,3,0,1,1,2,20,1,17,20,1,Normal
132,2,1,5,0,1,1,2,20,0,19,20,1,Normal
133,2,1,7,0,1,1,1,2,2,1,20,2,Sparse
134,1,1,8,0,0,0,2,3,0,0,6,2,Sparse
135,2,0,8,0,1,1,2,8,0,8,8,0,Dense
136,2,2,3,0,1,1,2,20,2,20,20,1,Normal
137,2,1,8,0,1,1,2,20,1,20,20,0,Dense
138,2,1,5,0,1,1,2,20,1,4,13,1,Normal
139,2,1,3,0,1,1,2,4,0,2,20,1,Normal
140,2,1,5,0,1,1,2,6,0,4,8,2,Sparse
141,2,1,8,0,1,1,2,4,0,2,5,2,Sparse
142,2,1,8,0,1,1,2,20,0,20,20,2,Sparse
143,2,1,8,0,1,1,2,20,2,17,20,0,Dense
144,2,1,5,0,1,1,2,12,0,1,20,2,Sparse
145,2,0,8,0,1,1,2,7,1,6,12,0,Dense
146,2,0,4,0,1,1,2,1,0,3,3,0,Dense
147,2,1,3,0,1,1,2,6,0,5,8,1,Normal
148,2,1,8,0,1,1,2,20,0,7,20,2,Sparse
149,2,1,8,0,1,1,2,20,1,20,20,0,Dense
150,2,1,8,0,1,1,2,5,0,3,7,2,Sparse
151,1,1,7,0,0,0,2,2,2,1,20,2,Sparse
152,1,1,8,0,0,0,2,6,0,1,3,0,Dense
153,2,1,8,0,1,1,2,4,1,2,8,1,Normal
154,2,0,8,0,1,1,2,7,1,6,12,0,Dense
155,2,0,8,0,1,1,2,20,1,20,20,0,Dense
156,2,1,5,0,1,1,2,11,0,6,20,1,Normal
157,1,1,8,0,0,0,2,3,0,0,6,2,Sparse
158,2,0,8,0,1,1,2,7,0,2,14,1,Normal
159,2,1,8,0,1,1,2,20,1,14,20,0,Dense
160,2,1,5,0,1,1,2,10,1,2,8,2,Sparse
161,2,3,6,0,1,1,2,4,0,4,8,1,Normal
162,2,0,5,0,1,1,2,20,2,20,20,0,Dense
163,2,1,0,0,1,1,2,20,1,18,20,0,Dense
164,2,1,8,0,1,1,2,3,0,1,19,1,Normal
165,2,1,8,0,1,1,2,5,0,1,0,2,Sparse
166,2,0,4,0,1,1,2,1,0,3,3,0,Dense
167,2,1,8,0,1,1,2,5,1,0,8,2,Sparse
168,2,3,4,0,1,1,2,20,1,20,20,0,Dense
169,2,1,5,1,1,1,2,4,0,5,11,1,Normal
170,2,1,8,0,1,1,2,20,2,19,20,0,Dense
171,2,3,5,0,1,1,2,20,0,10,20,1,Normal
172,2,1,1,0,1,1,2,20,2,11,20,0,Dense
173,2,1,1,0,1,1,2,20,2,11,20,0,Dense
174,2,1,5,0,1,1,2,5,1,4,17,1,Normal
175,2,0,8,0,1,1,2,20,2,18,20,0,Dense
176,2,1,5,0,1,1,2,19,0,8,20,1,Normal
177,2,1,8,0,1,1,2,6,0,4,11,2,Sparse
178,2,1,5,0,1,1,2,5,1,4,17,1,Normal
179,2,2,3,0,1,1,2,20,0,6,20,2,Sparse
180,2,1,5,0,1,1,2,20,0,20,20,2,Sparse
181,2,1,5,1,1,1,2,2,0,0,4,1,Normal
182,2,1,5,0,1,1,2,7,2,2,15,2,Sparse
183,2,3,4,0,1,1,2,20,1,20,20,0,Dense
184,2,1,8,0,1,1,2,5,0,2,7,1,Normal
185,2,3,0,0,1,1,2,5,0,3,16,1,Normal
186,2,1,5,0,1,1,2,20,1,20,20,2,Sparse
187,2,1,3,0,1,1,2,20,0,20,20,2,Sparse
188,1,1,8,0,0,0,2,3,0,0,6,2,Sparse
189,2,2,3,0,1,1,2,8,0,5,9,2,Sparse
190,2,1,5,0,1,1,2,12,0,1,20,2,Sparse
191,2,1,8,0,1,1,2,6,2,5,20,1,Normal
192,2,1,5,0,1,1,2,11,1,17,20,1,Normal
193,2,2,3,0,1,1,2,20,0,20,20,1,Normal
194,2,1,5,0,1,1,2,20,1,4,13,0,Dense
195,2,1,5,0,1,1,2,6,0,4,8,2,Sparse
196,2,0,8,0,1,1,2,20,1,20,20,0,Dense
197,1,1,8,0,0,0,2,8,0,7,20,2,Sparse
198,2,1,8,0,1,1,2,20,0,2,20,1,Normal
199,2,2,3,0,1,1,2,17,2,12,20,1,Normal
200,2,1,5,0,1,1,1,13,0,0,20,0,Dense
201,2,1,8,0,1,1,2,8,2,5,12,2,Sparse
202,2,3,5,0,1,1,2,20,1,17,20,1,Normal
203,2,1,5,0,1,1,2,12,0,1,20,2,Sparse
204,2,1,8,0,1,1,2,8,0,0,5,0,Dense
205,2,0,5,0,1,1,2,20,1,18,20,0,Dense
206,2,1,8,0,1,1,2,3,0,1,2,1,Normal
207,2,1,5,0,1,1,2,20,1,18,20,1,Normal
208,2,3,4,1,1,1,2,5,1,2,17,0,Dense
209,2,1,8,0,1,1,2,20,2,17,20,0,Dense
210,2,1,8,0,1,1,2,8,0,0,5,0,Dense
211,2,1,5,0,1,1,2,12,0,1,16,2,Sparse
212,2,1,8,0,1,1,2,5,0,4,9,2,Sparse
213,2,1,3,0,1,1,1,7,0,0,5,1,Normal
214,2,1,8,0,1,1,2,5,0,4,11,2,Sparse
215,2,1,8,0,1,1,2,1,0,8,17,2,Sparse
216,2,3,4,1,1,1,2,9,0,4,20,0,Dense
217,2,1,5,0,1,1,2,13,0,0,20,0,Dense
218,2,1,8,0,1,1,2,20,2,18,20,0,Dense
219,2,1,8,0,1,1,2,5,0,2,8,1,Normal
220,2,1,8,0,1,1,2,9,0,3,20,2,Sparse
221,2,1,8,0,1,1,2,4,0,4,20,1,Normal
222,2,3,4,0,1,1,2,12,0,0,20,0,Dense
223,2,1,0,0,1,1,2,20,0,2,20,1,Normal
224,2,3,0,0,1,1,2,15,0,6,20,1,Normal
225,2,2,3,0,1,1,2,4,0,1,20,0,Dense
226,2,1,8,0,1,1,2,4,0,3,5,2,Sparse
227,2,3,5,1,1,1,2,7,3,7,9,1,Normal
228,2,2,3,0,1,1,2,11,0,2,20,1,Normal
229,2,3,4,1,1,1,2,5,1,2,17,0,Dense
230,2,1,5,0,1,1,2,9,0,5,7,1,Normal
231,1,0,8,0,0,0,2,20,0,5,20,0,Dense
232,2,1,8,0,1,1,2,4,2,2,6,1,Normal
233,2,0,8,0,1,1,2,7,1,6,12,0,Dense
234,2,1,8,0,1,1,2,13,2,9,20,0,Dense
235,2,1,3,0,1,1,2,6,0,3,20,1,Normal
236,2,1,5,1,1,1,2,11,1,6,20,1,Normal
237,2,0,8,0,1,1,2,20,1,20,20,0,Dense
238,2,0,5,0,1,1,2,5,1,4,18,0,Dense
239,2,1,8,1,1,1,2,12,0,16,5,1,Normal
