"Region","Locality","Operator","Owner","DC or AC","kW","Connectors","Num_installed","Num_in_progress","Address","Long","Lat","EECA funded"
"Northland","Northland","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"2 North Park Drv, Kaitaia 0410, NZ",173.2603855,-35.0980168,"Yes"
"Gisborne","Gisborne","ChargeNet NZ","Eastland Energy Solutions Limited","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"20 Rata St, Te Araroa 4082",178.369271,-37.6338931,"Yes"
"Waikato","Huntly","WEL Networks Ltd","WEL Networks Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",2,0,"20 Tumate Mahuta Dr, Huntly",175.1582326,-37.5650425,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"22 Rapuwai Lane, Tekapo 7999",170.4758336,-44.0029623,"Yes"
"Waikato","Rototuna","WEL Networks Ltd","WEL Networks Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",2,0,"23 Horsham Downs Road, Flagstaff",175.2726145,-37.7322433,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"236 Karori Rd, Wellington 6012",174.7381456,-41.284381,"Yes"
"Gisborne","Gisborne","ChargeNet NZ","Eastland Energy Solutions Limited","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"25 Waitangi Street, Tokomaru Bay 4079",178.3144158,-38.1302652,"Yes"
"Otago","Dunedin","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"2501 Papatowai Highway, Papatowai 9586",169.4689119,-46.5576532,"Yes"
"Tasman","Tasman","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"270 High St, Motueka 7120, NZ",173.0106029,-41.1144352,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"28 Whitemans Rd, Upper Hutt 5019",175.0117326,-41.1485484,"Yes"
"Waikato","Hamilton","WEL Networks Ltd","WEL Networks Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",2,0,"3 Fergy Place, Rototuna North, Hamilton 3210",175.257585760048,-37.7224127829775,"Yes"
"Wellington","Johnsonville","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",4,0,"34 Moorefield Road, Johnsonville, Wellington 6037",174.8047695,-41.2229042,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"345 Great South Rd, Takanini 2112, NZ",174.9426816,-37.0743532,"Yes"
"Gisborne","Morere","ChargeNet NZ","Eastland Energy Solutions Limited","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"3968 State Highway 2, Morere, Wairoa 4078, New Zealand",177.7915458,-38.9865976,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"4126 Far N Rd, Pukenui 0484",173.11876,-34.8158421,"Yes"
"Northland","Northland","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",2,0,"42 Port Rd, Whangarei 0110, NZ",174.3308865,-35.7312689,"Yes"
"Gisborne","Tolaga Bay","ChargeNet NZ","Eastland Energy Solutions Limited","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"43 Cook Street, Tolaga Bay, Gisborne 4077, New Zealand",178.296546,-38.3726568,"Yes"
"Hawke's Bay","Hawke's Bay","ChargeNet NZ","Eastland Energy Solutions Limited","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"43 Moana Drive, Mahia 4198",177.8739626,-39.0803701,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"45 Mull St, Glenorchy 9372",168.3858437,-44.8493797,"Yes"
"West Coast","West Coast","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"47 Broadway, Reefton 7830, NZ",171.8662509,-42.1198243,"Yes"
"Waikato","Hamilton","WEL Networks Ltd","WEL Networks Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",2,0,"551 Anglesea Street, Hamilton",175.286377835335,-37.7936206972454,"Yes"
"Waikato","Hamilton","WEL Networks Ltd","WEL Networks Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",2,0,"58 Anglesea St, Hamilton",175.2865306,-37.7944069,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"6 Medway St, Wellington 6023",174.7728418,-41.3346805,"Yes"
"Wellington","Wellington","MERIDIAN ENERGY LIMITED","MERIDIAN ENERGY LIMITED","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"611 Marine Drive, Eastbourne 5013",174.9074187,-41.2803606,"No"
"West Coast","West Coast","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"63 Cron Street, Franz Joseph Glacier 7886",170.1845917,-43.3841839,"Yes"
"Otago","Otago","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"64 Hillside Rd, Dunedin 9012, NZ",170.5009209,-45.8919269,"Yes"
"Southland","Southland","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"66 Main Road, Tuatapere 9620, NZ",167.6894114,-46.1358218,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"69 Lakewood Ave, Wellington 6037",174.8080851,-41.2027944,"Yes"
"Southland","Southland","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"70 Leven St, Invercargill 9810, NZ",168.3454438,-46.4084977,"Yes"
"Northland","Northland","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"8 Kilnac Ln, Waipapa 0295, NZ",173.9192554,-35.21056,"Yes"
"Gisborne","Gisborne","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"80 Customhouse St, Gisborne 4010, NZ",178.0257565,-38.6710431,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"93-97 Mana Esplanade, Porirua 5026",174.8686014,-41.0942541,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"98 Evans St, Timaru 7910",171.2375615,-44.3830998,"Yes"
"Marlborough","Nelson and Marlborough","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"Cnr Kinross and Redwood Streets, Blenheim 7201, NZ",173.9603549,-41.5149643,"Yes"
"Waikato","Waikato","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"Cnr Rora and Alexandra St, Te Kuiti 3910",175.1619324,-38.3317195,"Yes"
"Bay of Plenty","Mt Maunganui","ChargeNet NZ","Foodstuffs North Island Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"Cnr Tweed St & Maunganui Rd, Mt. Maunganui, Bay of Plenty",176.1989377,-37.6538618,"Yes"
"Canterbury","Timaru","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"Cnr Victoria and Browne St, Timaru 7910, NZ",173.268864,-35.118102,"Yes"
"Waikato","Huka Falls","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",0,1,"Karetoto Road, Waikato",176.0921681,-38.6350854,"Yes"
"Southland","Southland","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"Mair Rd, Curio Bay 9884, NZ",169.0827436,-46.6647543,"No"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",2,0,"Manchester Street , Wellington 6021",174.7865845,-41.3210788,"Yes"
"Canterbury","Fortrose","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"Moray Tce, Fortrose",168.795896,-46.571653,"Yes"
"Canterbury","Christchurch","ChargeNet NZ","The Warehouse Ltd","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS, DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",2,0,"Rolleston Dr, Christchurch 7614, NZ",172.3795743,-43.5985802,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"State Highway 1, Waitiki Landing 0484, NZ",172.839956,-34.5178944,"Yes"
"Otago","Dunedin","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Water St, Dunedin 9016, NZ",170.5028188,-45.8787241,"No"
"Otago","Okawa","ChargeNet NZ","ChargeNet NZ","DC",25,"DC 25 kW CHAdeMO, DC 25 kW Type 2 CCS",1,0,"1 Main Road, Owaka 9546, New Zealand",169.659753,-46.45065,"Yes"
"Otago","Shotover Jet, Queenstown","ChargeNet NZ","Ngai Tahu Tourism Ltd","DC",25,NA,0,2,"3 Arthurs Point Rd, Arthurs Point",168.6714804,-44.9870695,"Yes"
