"Region","Locality","Operator","Owner","DC or AC","kW","Connectors","Num_installed","Num_in_progress","Address","Long","Lat","EECA funded"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"19 Percy Street, Warkworth 0910",174.6666316,-36.3987983,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"19 Ross Pl, Lawrence 9532",169.6867352,-45.9130564,"Yes"
"Canterbury","Christchurch","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"2 Mounter Ave, Christchurch 8051",172.6224287,-43.4596969,"Yes"
"Waikato","Mokau","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",0,1,"2 Rerenga Street, Mokau",174.619,-38.698,"Yes"
"Canterbury","Christchurch","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"2 Southbrook Rd, Rangiora 7400, NZ",172.5992704,-43.3251999,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","Network Waitaki","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"2 Sutherland Road, Omarara 9412",169.9665037,-44.4887929,"Yes"
"Manawatu-Whanganui","Pahiatua","ChargeNet NZ","Tararua District Council","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"2 Wakeman St, Pahiatua 4910, NZ",175.842403,-40.452043,"Yes"
"Auckland","New Lynn","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"2/6 Crown Lynn Place, New Lynn, Auckland",174.6854043,-36.9112475,"Yes"
"Waikato","Hampton Downs","WEL Networks Ltd","WEL Networks Ltd","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"20 Hampton Downs Road, Hampton Downs",175.080300240821,-37.3545575081454,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"202-224 Lincoln Rd, Auckland 0610",174.6295424,-36.8580313,"No"
"Hawke's Bay","Hawke's Bay","ChargeNet NZ","Unison Networks Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"206 Dickens St, Napier 4110",176.9146956,-39.4923514,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"207 Te Koha Rd, Auckland 2013",174.9104026,-36.9312641,"No"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"207 Union St, Milton 9220, NZ",169.964334,-46.1164212,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"209 Kepa Rd, Mission Bay 1070",174.8286404,-36.8610902,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"21 Bath St, Levin 5510, NZ",175.2833293,-40.6231792,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"21 Browns Rd, Middlemarch 9597",170.1162273,-45.5083192,"Yes"
"Auckland","Auckland","Vector","Vector","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"21 Hobson St,Auckland,1010",174.7619327,-36.8454225,"No"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"22 Jedburgh St, Roxburgh 9500",169.3158559,-45.5422248,"Yes"
"Marlborough","Nelson and Marlborough","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"2226 State Highway 1, Blenheim 7202, NZ",173.961872,-41.4601202,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"23 Charlotte Street, Balclutha 9230",169.7380643,-46.2373566,"Yes"
"Taranaki","Taranaki","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"23 Napier St, Opunake 4616, NZ",173.8605506,-39.4542745,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"24 Queen St, Upper Hutt 5018",175.0702431,-41.1234266,"No"
"Canterbury","Canterbury","ChargeNet NZ","Alpine Energy Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"26A North Street, Timaru 7910",171.2534966,-44.4006057,"No"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"270 Crozier St, Pirongia 3802, NZ",175.200118,-37.991691,"Yes"
"Tasman","Tasman","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"271 High St, Motueka 7120, NZ",173.0122184,-41.114676,"No"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"27A Mountain View Rd, Culverden 7392",172.8476129,-42.7743235,"Yes"
"Tasman","Tasman","ChargeNet NZ","Network Tasman Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"280 Queen Street, Richmond 7020, NZ",173.1839498,-41.3381143,"No"
"Otago","Otago","ChargeNet NZ","Network Waitaki","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"29 London St, Hampden 9410",170.8170596,-45.3242131,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"29 State Highway 12, Opononi 0473, NZ",173.3910409,-35.5050796,"Yes"
"Southland","Southland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"293 Great North Road, Winton 9720",168.3255971,-46.1416982,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"2A The Mall, Cromwell 9310",169.1972962,-45.0365052,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"3 Butler Road, Kerikeri 0230",173.9465938,-35.2290597,"Yes"
"Canterbury","Castle Hill","ChargeNet NZ","Orion New Zealand Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"3 Castle Hill Dr, Castle Hill 7580",171.715379,-43.208364,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"3 Dixon Street, Masterton 5810",175.6664929,-40.9481901,"Yes"
"Otago","Otago","ChargeNet NZ","Network Waitaki","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"3 Eden St, Oamaru 9400",170.9726449,-45.097053,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"3 Station St, Tirau 3410, NZ",175.7584077,-37.9783097,"No"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"30 Ayr St, Ohakune 4625, NZ",175.3999183,-39.4172863,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"30 Sanday Street, Palmerston 9430",170.7159351,-45.4852286,"Yes"
"Auckland","Auckland","Vector","Vector","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"30 Walters Road,Takanini,Auckland,2112",174.9321534,-37.0490147,"No"
"Otago","Queenstown","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"302 Hawthorne Drive, Frankton, Queenstown 9300",168.73,-45.014,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"31 Charlemont St East, Ranfurly 9332",170.0976454,-45.1282053,"Yes"
"Bay of Plenty","Bay of Plenty","ChargeNet NZ","Horizon Networks","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"30 Quay Street, Whakatane 3120, NZ",176.9991679,-37.9500232,"No"
"Canterbury","Christchurch","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"31 Sewell Street , Kaiapoi 7630",172.6599608,-43.3818618,"Yes"
"Auckland","Auckland","Vector","Vector","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",2,0,"322 Pakuranga Rd,Pakuranga Heights,Auckland,2010",174.8962253,-36.9023622,"No"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"327 Ferguson St, Palmerston North",175.6122768,-40.3598068,"Yes"
"Bay of Plenty","Rangitiaki","ChargeNet NZ","Unison Networks Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"3281 State Highway 5, Iwitahi 3379",176.369708,-38.878762,"No"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"33 South Terrace, Darfield 7510",172.1118946,-43.48998,"Yes"
"Hawke's Bay","Hawke's Bay","ChargeNet NZ","Centralines Ltd","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"34 Russell St, Waipukurau 4200",176.5551743,-39.9940562,"Yes"
"Canterbury","Christchurch","ChargeNet NZ","Orion New Zealand Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"346 Halswell Rd, Christchurch 8025",172.5658362,-43.5805752,"Yes"
"Auckland","Devonport","ChargeNet NZ","Foodstuffs North Island Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"35 Bartley Terrace Devonport Auckland",174.7965894,-36.829532,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"35 Kenny Street, Waihi 3610, NZ",175.8395211,-37.3927368,"Yes"
"Auckland","Auckland","Vector","Vector","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"356/320 Great South Rd,Greenlane,Auckland,1051",174.793534,-36.8896834,"No"
"Gisborne","Gisborne","ChargeNet NZ","Eastland Energy Solutions Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"37 Gladstone Rd, Gisborne 4010",178.027634,-38.6672549,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"37 Klinac Laned, Waipapa 0295, NZ",173.917318,-35.2108614,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"374 Victoria Ave, Whanganui 4500",175.0414516,-39.9262135,"Yes"
"Waikato","Hamilton","WEL Networks Ltd","WEL Networks Ltd","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"4 Caro St, Hamilton",175.28128105207,-37.7883439028825,"Yes"
"Southland","Southland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"4 Irk St, Gore 9710",168.9427662,-46.0991582,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"4 Lee St, Whitianga 3510",175.7039639,-36.8344268,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"4 Seddon St, Cheviot 7310, NZ",173.2729746,-42.8127454,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"4 State Highway 1, Kawakawa 0210",174.065402,-35.3797398,"No"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"4 Wanaka Street, Whangarei 0112",174.3217681,-35.6845534,"No"
"Canterbury","Christchurch","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"40 Moorhouse Ave, Christchurch 8011",172.6221965,-43.5404781,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","Electricity Ashburton Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"41 Bridge Street, Rakaia 7710",172.0257846,-43.7558181,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"42 Aorangi St, Feilding 4702",175.5695923,-40.2281705,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"42 Ardmore St, Wanaka 9305",169.1388927,-44.6938335,"No"
"Canterbury","Little River","ChargeNet NZ","Orion New Zealand Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"4235A Christchurch Akaroa Road, Little River 7591",172.790497,-43.770308,"No"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"427 Wellington Rd, Marton 4710",175.3795246,-40.0764598,"Yes"
"Waikato","Raglan","WEL Networks Ltd","WEL Networks Ltd","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"43 Bow St, Raglan",174.870311446816,-37.8002868100065,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"43 Fitzherbert Street, Featherston 5710",175.3256111,-41.1171207,"No"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"44 Northumberland St, Tapanui 9522",169.2617326,-45.9431434,"Yes"
"Waikato","Coromandel","ChargeNet NZ","Thames Coromandel District Council","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"44 Woollams Avenue, Coromandel",175.4985886,-36.7590457,"Yes"
"Auckland","Auckland","ChargeNet NZ","Continental Cars","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"45 - 65 Wairau Road, Auckland 0627",174.7462876,-36.7788809,"No"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"45 Waharoa Rd, Matamata 3400, NZ",175.7696198,-37.8032614,"Yes"
"Bay of Plenty","Bay of Plenty","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"476 Cameron Road, Tauranga 3110",176.1616638,-37.6965399,"Yes"
"West Coast","West Coast","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"5 Adderley Street, Westport 7825, NZ",171.5987557,-41.7580048,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"505 Mackay Street, Thames 3500",175.5435599,-37.1391078,"No"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"51 West End, Kaikoura 7300",173.6818508,-42.4011808,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"53 May Rd, Auckland 1041",174.7343314,-36.908683,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"53 Rora St, Te Kuiti 3910",175.1630594,-38.3324049,"Yes"
"Southland","Southland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"54 Gore St, Bluff 9814",168.3452769,-46.5995511,"Yes"
"Taranaki","Taranaki","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"54 Princes St, Hawera 4610",174.2837788,-39.5909557,"Yes"
"Hawke's Bay","Hawke's Bay","ChargeNet NZ","Unison Networks Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"5464 State Highway 2, Putorino 4181, NZ",176.9981486,-39.108209,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"6 Cavendish Drive, Auckland 2104",174.880734,-36.9878442,"Yes"
"Southland","Southland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"6 Mokonui Street, Te Anau 9600",167.7127698,-45.4161062,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"6 Tokoroa Rd, Tairua 3508",175.8501488,-37.0007568,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"60 Hutt Rd, Lower Hutt 5012",174.8688766,-41.2227976,"Yes"
"Waikato","Waikato","ChargeNet NZ","Drive EV Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"60 Tuwharetoa St, Taupo 3330",176.0725336,-38.6889269,"Yes"
"Bay of Plenty","Bay of Plenty","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"6-14 Islington Street, Kawerau 3127",176.7019247,-38.0849538,"Yes"
"Bay Of Plenty","Murupara","ChargeNet NZ","Eastland Energy Solutions Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"62 Pine Drive, Murupara 3025",176.7089,-38.45426,"Yes"
"West Coast","West Coast","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"63 Cron Street, Franz Joseph Glacier 7886",170.1845917,-43.3841839,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO",1,0,"6336b Mangawharariki Road, Mangaweka 4797",175.7880515,-39.8096194,"No"
"Gisborne","Gisborne","ChargeNet NZ","Eastland Energy Solutions Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"6522 Matawai Road, Matawai 4095",177.5350082,-38.3571574,"Yes"
"Auckland","Auckland","Vector","Vector","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"67 Auckland Road,Auckland,Warkworth,0910",174.6595391,-36.4089552,"No"
"Marlborough","Nelson and Marlborough","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"68 Main Rd, Havelock 7100, NZ",173.7668437,-41.2777245,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"7 Criterion Street, Bulls 4818",175.3855742,-40.174875,"No"
"Auckland","Pukekohe","Counties Power","Counties Power","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"7 Seddon Lane, Pukekohe",174.90182,-37.1998359,"Yes"
"Bay of Plenty","Bay of Plenty","ChargeNet NZ","Trust Horizon","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"70 Bridge Street, Opotiki 3122, NZ",177.2833199,-38.0126608,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"73 Queen St, Cambridge 3434",175.4678474,-37.8915803,"Yes"
"Marlborough","Nelson and Marlborough","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"7326 State Highway 1, Ward 7285, NZ",174.1307674,-41.8292879,"Yes"
"Hawke's Bay","Hawke's Bay","ChargeNet NZ","Eastland Energy Solutions Limited","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"75 Queen St, Wairoa 4108",177.4216611,-39.0343291,"Yes"
"Tasman","Nelson and Marlborough","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"75 Vanguard St, Nelson 7010, NZ",173.2773678,-41.2758907,"Yes"
"Canterbury","Christchurch","ChargeNet NZ","Orion New Zealand Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"77 Gerald St, Lincoln 7674",172.473668,-43.6422817,"Yes"
"Taranaki","Taranaki","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"78 Courtenay St, New Plymouth 4310",174.0757525,-39.0580468,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"78 Rongotai Rd, Wellington 6022",174.7964823,-41.3183505,"Yes"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"79/89-97 Thames St, Morrinsville 3300, NZ",175.5225516,-37.6598084,"Yes"
"Wellington","Wellington","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"7D Wellington Rd, Paekakariki 5034, NZ",174.951216,-40.9875713,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"80 State Highway 73, Arthurs Pass 7875",171.563088,-42.941842,"Yes"
"Tasman","Nelson and Marlborough","ChargeNet NZ","Network Tasman Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"81 Trafalgar Street, Nelson 7010, NZ",173.284786,-41.270097,"No"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"86 Hillside Rd, Dunedin 9012",170.499025,-45.8925435,"Yes"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"88 Dent St, Whangarei 0110, NZ",174.325472,-35.7254108,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"9 Athol St, Queenstown 9300, NZ",168.6618081,-45.030925,"No"
"Northland","Northland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"9 Coopers Dr, Coopers Beach 0420, NZ",173.5093917,-34.9921631,"No"
"Hawke's Bay","Hawke's Bay","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"9 Gloucester St, Napier 4112",176.8620115,-39.5251237,"Yes"
"Waikato","Hamilton","WEL Networks Ltd","WEL Networks Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"9 Melody Lane, Hamilton East",175.308828634049,-37.778014543995,"Yes"
"Otago","Otago","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"9 Thompson St, Alexandra 9320",169.394599,-45.2561577,"No"
"Canterbury","Christchurch","ChargeNet NZ","Orion New Zealand Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"92 Rolleston Drive, Rolleston 7614",172.3825412,-43.5968657,"Yes"
"Canterbury","Canterbury","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"98 Evans St, Timaru 7910",171.23771,-44.38446,"Yes"
"Wellington","Wellington","ChargeNet NZ","Contact Energy Ltd","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Barnett Street, Wellington 6011",174.7835258,-41.2908391,"No"
"Waikato","Waikato","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Bridge Street, Tokoroa 3420, NZ",175.8661263,-38.2195058,"Yes"
"Taranaki","Taranaki","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Chester Street, Waverley 4510",174.6350499,-39.7605871,"Yes"
"Auckland","Auckland","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",1,0,"Clarence St, Auckland 0624",174.7954805,-36.8299416,"Yes"
"Manawatu-Whanganui","Manawatu-Whanganui","ChargeNet NZ","ChargeNet NZ","DC",50,"DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS, DC 50 kW CHAdeMO, DC 50 kW Type 2 CCS",2,0,"Clyde St, Foxton 4814",175.2806889,-40.4717718,"Yes"
