Distribution zone,"Supply charge($ per day)",Usage charge structure,Residential,Small Business
AusNet Services,1.3354,Block 2 (> 1020 kWh during a quarter),0.3617,0.3945
CitiPower,1.1673,Anytime,0.2575,0.2529
Jemena,1.2105,Anytime,0.3054,0.3182
Powercor,1.3163,Anytime,0.3045,0.2797
United Energy,1.0955,Anytime,0.2884,0.2742
