name,latitude,longitude,address
Melbourne Airport (MEL),-37.669714,144.848484,"Departure Dr (Tullamarine Fwy), Tullamarine VIC 3045"
Crown Metropol,-37.825752,144.957646,"8 Whiteman St, Southbank VIC 3006"
The Marriott,-37.813697,144.939285,"43 Waterfront Way, Docklands VIC 3008"
Oaks on Collins,-37.817726,144.95812,"480 Collins St, Melbourne VIC 3000"
Crowne Plaza Melbourne,-37.822657,144.955432,"1-5 Spencer St, Melbourne VIC 3008"
Brady Hotels Central Melbourne,-37.809184,144.962597,"30 Little La Trobe St, Melbourne VIC 3000"
Atlantis Hotel,-37.813623,144.951923,"300 Spencer St, Melbourne VIC 3000"
Movenpick Hotel Melbourne on Spencer,-37.817416,144.953678,"160 Spencer, Melbourne VIC 3000"
InterContinental Melbourne the Rialto,-37.818307,144.957832,"495 Collins St, Melbourne VIC 3000"
DoubleTree by Hilton Hotel Melbourne - Flinders Street,-37.817864,144.965467,"270 Flinders St, Melbourne VIC 3000"
QT Melbourne,-37.813366,144.968103,"133 Russell St, Melbourne VIC 3000"
The Olsen,-37.837921,144.995628,"637-641 Chapel St (Daly St), South Yarra VIC 3141"
Arise Australia 108,-37.823209,144.963959,"70 Southbank Bvd, Southbank VIC 3006"
Four Points by Sheraton Melbourne Docklands,-37.815203,144.938022,"18 Pearl River Rd, Docklands VIC 3008"
Space Hotel,-37.807516,144.966031,"380 Russell St, Melbourne VIC 3000"
Hotel Ibis Melbourne,-37.806974,144.961167,"15-21 Therry St, Melbourne VIC 3000"
Park Hyatt Melbourne,-37.811439,144.976472,"1 Parliament Square Off Parliament Pl, Melbourne VIC 3002"
Pan Pacific Melbourne,-37.825058,144.9509,"2 Convention Centre Pl, South Wharf VIC 3006"
Oaks on Market,-37.817864,144.960659,"60 Market St (Flinders Ln), Melbourne VIC 3000"
Melbourne Central YHA,-37.820617,144.955709,"562 Flinders St (Spencer St), Melbourne VIC 3000"
Qantas International Business Lounge,-37.668348,144.846179,"Melbourne International Airport, Melbourne Airport VIC 3045"
MGallery by Sofitel,-37.888313,145.081985,"1341 Dandenong Rd, Chadstone VIC 3148"
Experience Bella Hotel Apartments,-37.826013,144.959636,"250 City Rd, Melbourne VIC 3006"
Travelodge Hotel Melbourne Docklands,-37.818604,144.949862,"66 Aurora Ln, Docklands VIC"
Rendezvous Grand Hotel,-37.81826,144.96338,"328 Flinders St, Melbourne VIC 3000"
The Hotel Windsor,-37.812059,144.973175,"111 Spring St, Melbourne VIC 3000"
Next Hotel Melbourne,-37.81347,144.97031,"103 Little Collins St, Melbourne VIC 3000"
Como Historic House & Garden,-37.838078,145.003864,"Cnr Williams Rd & Lechlade Ave, South Yarra VIC 3141"
Emirates Lounge,-37.66983,144.849011,"Terminal 2, Tullamarine VIC 3043"
Summerhill Hotel,-37.725639,145.026892,"830 Plenty Rd, Reservoir VIC 3073"
Voco,-37.812051,144.960932,"374 Lonsdale, Melbourne VIC"
Imperial Hotel,-37.811266,144.972647,"2-8 Bourke St, Melbourne VIC 3000"
Citadines on Bourke Melbourne,-37.812741,144.969309,"131-135 Bourke St, Melbourne VIC 3000"
Sage Melbourne Ringwood,-37.814365,145.230698,"211 Maroondah Hwy, Ringwood VIC 3134"
Laird Hotel,-37.805271,144.993214,"149 Gipps St, Abbotsford VIC 3067"
Exford Hotel,-37.811746,144.967357,"199 Russell St, Melbourne VIC 3000"
Village Belle Hotel,-37.869533,144.980944,"202 Barkly St (Smith St), St Kilda VIC 3182"
Charles Dickens Tavern Melbourne,-37.815833,144.964599,"290 Collins St, Melbourne VIC 3000"
Imagine Marco,-37.826542,144.96247,"42-48 Balston St, Southbank VIC 3006"
Dorset Gardens Hotel,-37.803035,145.289379,"335 Dorset Rd, Croydon VIC 3136"
Nightcap at Sandown Park Hotel,-37.948952,145.172618,"Cnr Corrigan Rd & Princes Hwy (at Corrigan Rd.), Noble Park VIC 3174"
Nightcap at York on Lilydale,-37.795669,145.360758,"138 York Rd, Mount Evelyn VIC 3796"
Pine Grove Hotel,-37.992941,145.412952,"Stoney Creek Rd, Beaconsfield Upper VIC 3808"
Blackburn Hotel,-37.817033,145.15182,"111 Whitehorse Rd, Blackburn VIC 3130"
Ferntree Gully Hotel,-37.889284,145.297301,"1130 Burwood Hwy, Ferntree Gully VIC 3156"
Old England Hotel,-37.758022,145.068858,"459 Lower Heidelberg Rd, Heidelberg VIC 3084"
Greensborough Motor Inn,-37.719115,145.081054,"245 Greensborough Hwy (Yallambie), Greensborough VIC 3085"
Quest Dandenong Central,-37.988511,145.210816,"2-10 Walker St, Dandenong VIC 3175"
Tower Hotel,-37.824389,145.049104,"686 Burwood Rd, Hawthorn East VIC 3123"
Glenferrie Hotel,-37.822708,145.034534,"324 Burwood Rd, Hawthorn VIC 3122"
Yarra Gables Motel,-37.663948,145.513044,"55 Maroondah Hwy, Healesville VIC 3777"
Yering Gorge Cottages,-37.700446,145.344955,"215 Victoria Rd, Yering VIC 3770"
Quest Hawthorn,-37.823582,145.035405,"616 Glenferrie Rd, Hawthorn VIC 3122"
Grandview Hotel,-37.783116,145.01721,"429 Heidelberg Rd, Fairfield VIC 3078"
Hyatt Place Caribbean park,-37.915423,145.217437,"38 Dalmore Dr, Scoresby VIC 3179"
Quest Bundoora,-37.682368,145.073384,"40 Janefield Dr, Bundoora VIC 3083"
Elizabethan Lodge,-37.799543,145.142437,"604-610 Middleborough Rd, Melbourne VIC 3130"
Camberwell Serviced Apartment Hotel,-37.827146,145.052142,"85 Camberwell Rd, Hawthorn East VIC 3123"
Olinda Guest House,-37.844597,145.362851,"20 Stanley St, Olinda VIC 3788"
Dixiglen Farm,-37.609444,145.41478,"1607 Melba Hwy, Dixons Creek VIC 3775"
Park Avenue Accommodation Group Glen Waverley,-37.877001,145.169856,"21 Fairhills Pde, Glen Waverley VIC 3150"
Carolin's Organic Farm,-37.983162,145.470412,"68 Downey Rd, VIC 3808"
Chifley Doveton,-38.002626,145.249426,"1 Doveton Ave, Eumemmerring VIC 3177"
Peninsula Hot Springs,-38.407054,144.842674,"140 Springs Ln, Fingal VIC 3939"
Flinders Hotel,-38.473644,145.016992,"Cook St (Wood St), Flinders VIC 3929"
North Pier Hotel,-38.448197,145.241318,"5 The Esplanade (Findlay Street), Cowes VIC 3922"
Seahorse Motel,-38.450553,145.244667,"29-31 Chapel St, Cowes VIC 3922"
Lynbrook Hotel,-38.04356,145.251381,"550 S Gippsland Hwy (Cnr Commercial Drive), Lynbrook VIC 3975"
Moorabbin Airport,-37.976349,145.09401,"Moorabbin Airport, Mentone VIC 3194"
Quest Hotel,-37.952776,145.079796,"3 Byng Ave, Heatherton VIC 3202"
Dingley International Hotel,-37.979278,145.112566,"334-348 Boundary Rd, Dingley VIC 3172"
Portsea Hotel,-38.319842,144.714647,"3746 Point Nepean Rd, Portsea VIC 3944"
Prince Mark Motor Inn,-38.000295,145.234812,"4 Power Rd, Doveton VIC 3177"
Beretta's Langwarrin Hotel,-38.151989,145.195108,"220 Cranbourne-Frankston Rd (Union Rd.), Frankston VIC 3910"
Mornington on Tanti,-38.22627,145.048107,"917 Nepean Hwy, Mornington VIC 3931"
Frankston Motel,-38.17597,145.139679,"233 Frankston-Flinders Rd, Frankston VIC 3199"
Nepean Country Club,-38.398122,144.870647,"205 Browns Rd, Boneo VIC 3939"
Ramada Resort Phillip Island,-38.4723,145.24225,"2128 Phillip Island Rd, Cowes VIC 3922"
Hotel Sorrento,-38.336626,144.742215,"5-15 Hotham Rd, Sorrento VIC 3943"
Elsternwick Hotel,-37.883443,144.99615,"259 Brighton Rd (at Glenhuntly Rd), Elwood VIC 3184"
Woodman Estate,-38.283443,145.123858,"136 Graydens Rd, Moorooduc VIC 3933"
Oceanic Sorrento,-38.343897,144.731767,"234 Ocean Beach Rd, Sorrento VIC 3943"
Silverleaves,-38.453069,145.271687,"4 Bruce Rd, Cowes VIC 3922"
Arthur Phillip Motor Inn,-38.460175,145.239232,"Cnr Thompson Ave & Redwood Dr, Cowes VIC 3922"
Quarters at Flinders Hotel,-38.474516,145.019516,"23-31 Cook St (Wood Street), Flinders VIC 3929"
Mcleod Eco Farm,-38.367618,145.444778,"McLeod Rd, French Island VIC 3921"
Eastcliff Cottage,-38.336427,144.733964,"881 Melbourne Rd, Sorrento VIC 3943"
Mornington Peninsula Holiday Accommodation,-38.217258,145.037434,"28 Main St, Mornington VIC 3931"
Seaford Beach Cabin Park,-38.120852,145.125181,"257 Nepean Hwy, Seaford VIC 3198"
Seascape Dromana,-38.33738,144.97772,"21 Callas St, Dromana VIC 3936"
Manna Heights Bed & Breakfast,-38.348661,144.97307,"17 Jackson Way, Dromana VIC 3936"
Meadowood B&B,-38.384896,145.0186,"22 Beaulieu Rd, Red Hill VIC 3937"
Orchard Keepers,-38.392829,145.044861,"17 Paringa Rd, VIC 3937"
Capel Sound Escapes - Westend Apartment,-38.364029,144.876155,"1635 Point Nepean Rd, VIC 3940"
