name,latitude,longitude,address
Taylors Hill Village,-37.71079,144.740961,"Taylors Hill Bvd, Taylors Hill VIC 3037"
Delahey Village,-37.726145,144.780768,"Taylors Rd (at Taylors Rd), Delahey VIC 3037"
TSG Westfield Geelong,-38.146505,144.362627,"95 Malop St, Geelong VIC 3220"
Home Consortium Braybrook,-37.778286,144.850845,"330 Ballarat Rd, Braybrook VIC 3019"
Western Gateway Centre,-37.824166,144.881989,"377 Williamstown Rd, Yarraville VIC 3013"
Braybrook Shopping Centre,-37.781713,144.86413,"227 Ballarat Rd, Braybrook VIC 3019"
The Centreway Deli,-37.7333,144.866667,"13 Centreway (Wyong St), VIC 3033"
Niddrie Central Lotto,-37.737655,144.892671,"383 Keilor Rd, Essendon VIC 3040"
Wantirna Mall,-37.847272,145.233171,"348 Mountain Hwy, Wantirna VIC 3152"
Jackson Court Shopping Centre,-37.787907,145.148824,"898 Doncaster Rd, Doncaster East VIC 3109"
University Hill Town Centre,-37.682189,145.070707,"2 Janefield Dr, Bundoora VIC 3083"
St Helena Market Place,-37.684972,145.135786,"214 Aqueduct Rd, St Helena VIC 3088"
Springvale Central,-37.951101,145.151804,"268-274 Springvale Rd, Springvale VIC 3171"
Lilydale Marketplace,-37.760038,145.348654,"33-45 Hutchinson St, Lilydale VIC 3140"
Springvale Shopping Centre,-37.950585,145.150998,"46-58 Buckingham Ave, Springvale VIC 3171"
Mountain Gate Shopping Centre,-37.883837,145.275515,"1880 Ferntree Gully Rd, Ferntree Gully VIC 3156"
Wellington Village Shopping Centre,-37.928176,145.252392,"1100 Wellington Rd, Rowville VIC 3178"
Stockland the Pines,-37.76204,145.16873,"181 Reynolds Rd, Doncaster East VIC 3109"
Chirnside Park Shopping Centre,-37.757159,145.312863,"239-241 Maroondah Hwy, Chirnside Park VIC 3116"
Endeavour Hills Shopping Centre,-37.976771,145.259229,"Cnr Heatherton Rd & Matthew Flinders Ave (At Matthew Flinders Ave.), Endeavour Hills VIC 3802"
Ringwood Square Shopping Centre,-37.815785,145.221608,"59-65 Maroondah Hwy (at whitehorse rd), Ringwood VIC 3134"
Merrindale Shopping Centre,-37.814397,145.287548,"Dorset Rd, Croydon South VIC 3136"
Stud Park Shopping Centre,-37.92055,145.236729,"Cnr Stud & Fulham Rds (at Fulham Rd.), Rowville VIC 3178"
Heathmont Village,-37.828651,145.24616,"Canterbury Rd, Heathmont VIC 3135"
Dentist Boronia,-37.862428,145.286772,"5-7 Chandler Rd, Boronia VIC 3155"
Greensborough Plaza,-37.702811,145.102598,"25 Main St, Greensborough VIC 3088"
Studfield Shopping Strip,-37.860206,145.240338,"217 Stud Rd, Wantirna South VIC 3152"
Mitcham Shopping Centre,-37.815556,145.192553,"Britannia Mall & Victoria Ave, Mitcham VIC 3132"
Healesville Walk Shopping Centre,-37.652781,145.518235,"251 Maroondah Hwy, Healesville VIC 3777"
Scoresby Village,-37.898469,145.231778,"Ferntree Gully Rd (Dandenong Valley Hwy), Scoresby VIC 3179"
Brentford Square,-37.837321,145.184441,"500 Canterbury Rd, Forest Hill VIC 3131"
Macedon Plaza Pharmacy,-37.773044,145.113476,"325 Manningham Rd, Templestowe Lower VIC 3107"
Village Avenue Shops,-37.781839,145.109546,"Village Ave (High Street), Doncaster VIC 3108"
Dandenong Plaza,-37.986715,145.217419,"Cnr Mccrae & Walker Sts, Dandenong VIC 3175"
Burwood Brickworks Shopping Centre,-37.849063,145.133823,"70 Middleborough Rd, Burwood VIC 3151"
Wheelers Hill Shopping Centre,-37.910003,145.189387,"Jells Rd, Wheelers Hill VIC 3150"
Greythorn Village,-37.788671,145.096728,"Doncaster Rd, Balwyn North VIC 3104"
Brandon Park Shopping Centre,-37.905417,145.162608,"Ferntree Gully Rd, Wheelers Hill VIC 3150"
Polaris 3083 Town Centre,-37.712952,145.047804,"1140 Plenty Rd (Jalileo Gwy), Bundoora VIC 3083"
The Terrace Shopping Centre,-37.978164,145.2614,"2 Raymond McMahon Bvd, Endeavour Hills VIC 3802"
Langwarrin Plaza,-38.142468,145.209149,"385 Cranbourne-Frankston Rd, Langwarrin VIC 3910"
Centro Mornington,-38.21861,145.039465,"78 Barkly St, Mornington VIC 3931"
The Avenue Village Shopping Centre,-38.085855,145.317424,"Cnr William Thwaites Bvd & Thompsons Rd, Cranbourne North VIC 3977"
Woolworths,-38.152987,145.165641,"Karingal Hub, Cnr Cranbourne Rd & Karingal Dr, Frankston VIC 3199"
Mornington Village Shopping Centre,-38.223527,145.040623,"241 Main St, Mornington VIC 3931"
Mornington Town Centre,-38.221115,145.039365,"Main St, Mornington VIC 3931"
Carrum Downs Regional Shopping Centre,-38.101952,145.185093,"100 Hall Rd, Carrum Downs VIC 3201"
Centro Somerville,-38.224473,145.170012,"49 Eramosa Rd, Somerville VIC 3912"
Somerville Plaza Travel,-38.224215,145.17227,"17 Eramosa Rd, Somerville VIC 3912"
Frankston Home Maker Centre,-38.148614,145.137852,"87 Cranbourne Rd, Frankston VIC 3199"
Beach Street Pharmacy,-38.147664,145.145116,"227 Beach St, Frankston VIC 3199"
Bayside Shopping Centre,-38.140933,145.124636,"28 Beach St, Frankston VIC 3199"
Rosebud Plaza,-38.361034,144.891611,"37 McCombe St, Rosebud VIC 3939"
Clarinda Shopping Centre,-37.940957,145.103846,"67 Bourke Rd, Melbourne VIC 3169"
McCrae Plaza,-38.35138,144.922628,"739 Point Nepean Rd, Rosebud VIC 3938"
The Local Village,-38.088637,145.182846,"1095 Frankston-Dandenong Rd, Carrum Downs VIC 3201"
Chelsea Beach Arcade,-38.053175,145.116186,"426 Nepean Hwy, Chelsea VIC 3196"
Parkmore Shopping Centre,-37.992725,145.173129,"317 Cheltenham Rd, Keysborough VIC 3173"
Cranbourne Homemaker Center,-38.082426,145.276515,"Cnr S Gippsland Hwy & Thompsons Rd (Thompsons Rd), Cranbourne VIC 3977"
Thompson Parkway Shopping Centre,-38.081531,145.277938,"Thompsons Rd, Cranbourne North VIC 3977"
Shopping on Clyde,-38.118847,145.320139,"280 Berwick-Cranbourne Rd, Cranbourne East VIC 3977"
The Beaumaris Concourse,-37.985743,145.033617,"Reserve Rd, Beaumaris VIC 3193"
