name,address,postcode,latitude,longitude,networks,total_plugs,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw
Paradigm Hill Winery,"26 Merricks Road Merricks VIC 3916, Australia",3916,-38.385929,145.071771,['Tesla Destination'],1,0,0,0,0,1,0,,0,0,,[22.0]
Greenvale Woolworths,"200 James Mirams Dr, Roxburgh Park VIC 3064, Australia",3064,-37.616294,144.914873,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
King Henry Arts Cafe,"320 Mount Dandenong Tourist Rd Sassafras VIC 3787, Australia",3787,-37.868948,145.351181,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Brunswick EV Hub,"15 Edward St, Brunswick VIC 3056, Australia",3056,-37.773851,144.961886,['Chargefox'],6,2,2,0,0,0,0,,2,0,,"[50.0, 'unknown']"
Huberts Estate,"10 St Huberts Rd, Coldstream VIC 3770, Australia",3770,-37.697017,145.415698,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Botanic Ridge Village,"10 Hummingbird Dr, Botanic Ridge VIC 3977, Australia",3977,-38.150115,145.290458,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
EVolution HQ,"Unit 32, 231 Osborne Avenue, Clayton South VIC 3169, Australia",3169,-37.942988,145.11844,['EVUp'],4,1,1,0,0,0,0,,2,0,,"[20.0, 22.0]"
dingley reserve ,"Dingley Reserve, Dingley Village VIC 3172, Australia",3172,-37.984056,145.137319,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Woolworths Heidelberg,"451 Lower Heidelberg Rd, Heidelberg VIC 3084, Australia",3084,-37.758997,145.068632,['Chargefox'],16,0,0,0,0,0,0,,16,0,,['unknown']
Bayside City Council,"76 Royal Ave, Sandringham VIC 3191, Australia",3191,-37.959394,145.017704,['Chargefox'],2,1,1,0,0,0,0,,0,0,,[50.0]
Cranbourne Home (Out Of Service),"2 Lesdon Ave, Cranbourne VIC 3977, Australia",3977,-38.087041,145.279599,['EVUp'],2,0,0,0,0,0,0,,2,0,,[22.0]
Porsche Centre Brighton,"855 Nepean Hwy, Bentleigh VIC 3204, Australia",3204,-37.925691,145.027893,['Non-networked'],1,0,1,0,0,0,0,,0,0,,['unknown']
Knox Civic Centre,"511 Burwood Hwy, Wantirna South VIC 3152, Australia",3152,-37.871723,145.245056,['Chargefox'],2,0,0,0,0,0,0,,2,0,,['unknown']
Eltham Leisure Centre,"40 Brougham St, Eltham VIC 3095, Australia",3095,-37.722925,145.142426,['Chargefox'],4,0,0,0,0,0,0,,4,0,,[7.0]
Altona Gate Shopping Centre,"124-134 Millers Rd, Altona North VIC 3025, Australia",3025,-37.827587,144.848241,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
Berwick Nissan,"6-10 Kangan Dr, Berwick VIC 3806",3806,-38.040047,145.343384,['Non-networked'],1,0,0,0,0,0,0,,1,0,,['unknown']
Ten Minutes by Tractor,"1333 Mornington-Flinders Rd, Main Ridge VIC 3928, Australia",3928,-38.394641,144.994231,['Tesla Destination'],2,0,0,0,0,2,0,,0,0,,[22.0]
Eldridge Estate Winery,"120 Arthurs Seat Road, Red Hill VIC 3937, Australia",3937,-38.372182,145.018678,"['Tesla Destination', 'EVUp']",2,0,0,0,0,1,0,,1,0,,"['unknown', 22.0]"
Lakeside Villas at Crittenden Estate,"25 Harrisons Rd, Dromana VIC 3936, Australia",3936,-38.335276,145.018981,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Armstrong Creek East Community Hub,"46-70 Central Boulevard, Armstrong Creek VIC 3217, Australia",3217,-38.231922,144.368965,['Chargefox'],6,0,0,0,0,0,0,,6,0,,['unknown']
Coles - Cobblebank Village,"211 Ferris Rd, Melton South VIC 3338, Australia",3338,-37.713815,144.601847,['Non-networked'],2,0,0,0,0,0,0,,2,0,,['unknown']
Sorrento Hotel,"1 Esplanade, Sorrento VIC 3943, Australia",3943,-38.338316,144.743447,['Non-networked'],1,0,0,0,0,0,0,,0,1,,['unknown']
