barrels08,charge120,charge240,city08,city08U,cityE,comb08,comb08U,combE,drive,engId,eng_dscr,fuelCost08,fuelType,fuelType1,ghgScore,highway08,highway08U,highwayE,hlv,hpv,id,lv2,lv4,make,model,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UHighway,VClass,year,youSaveSpend,baseModel,tCharger,sCharger,atvType,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr
0.096,0.0,3.5,85,85.4,39.0,84,83.7887,40.0,Front-Wheel Drive,504,SIDI,900,Electricity,Electricity,10,82,81.9,41.0,0,0,35960,0,22,Mercedes-Benz,B-Class Electric Drive,0,90,87,89.0,0.0,85.0,0.0,Automatic (A1),122.0,117.0,Midsize Cars,2015,4750,B-Class Electric Drive,,,EV,132 kW AC Induction,MBX,,0.0,
0.0768,0.0,3.6,110,110.04,31.0,105,104.7718,32.0,Front-Wheel Drive,116,,700,Electricity,Electricity,10,99,98.98,34.0,14,90,35970,0,0,Ford,Focus Electric,0,0,76,79.7573,0.0,71.5259,0.0,Automatic (A1),157.2,141.4,Compact Cars,2015,5750,Focus,,,EV,107 kW AC PMSM,FMX,,0.0,
0.0911999999999999,0.0,12.0,88,87.9,38.0,89,88.8,38.0,Rear-Wheel Drive,1,,850,Electricity,Electricity,10,90,90.1,37.0,26,94,35980,0,0,Tesla,Model S (85 kW-hr battery pack),0,0,265,262.7,0.0,266.8,0.0,Automatic (A1),110.4,113.2,Large Cars,2015,5000,Model S,,,EV,270 kW AC Induction (85 kW-hr battery pack),TSL,standard charger,4.75,80 amp dual charger
0.0911999999999999,0.0,12.0,86,86.0,39.0,89,89.3,38.0,4-Wheel Drive,4,,850,Electricity,Electricity,10,94,93.7,36.0,26,94,35994,0,0,Tesla,Model S AWD (85 kW-hr battery pack),0,0,242,233.5,0.0,253.2,0.0,Automatic (A1),117.8,128.4,Large Cars,2014,5000,Model S,,,EV,180 and 350 kW AC Induction (85 kW-hr battery pack),TSL,standard charger,4.75,80 amp dual charger
0.0863999999999999,0.0,12.0,89,89.3714,38.0,93,92.9112,36.0,All-Wheel Drive,4,,800,Electricity,Electricity,10,98,97.6374,35.0,26,94,36008,0,0,Tesla,Model S AWD - P85D,0,0,253,242.3,0.0,265.5,0.0,Automatic (A1),121.1,132.3,Large Cars,2015,5250,Model S,,,EV,164 (front) 350 (rear) (85 kW-hr battery pack),TSL,standard charger,4.75,80 amp dual charger
0.0815999999999999,0.0,12.0,95,95.3056,35.0,100,99.8433,34.0,All-Wheel Drive,5,,750,Electricity,Electricity,10,106,106.0124,32.0,26,94,36009,0,0,Tesla,Model S AWD - 85D,0,0,270,257.1,0.0,285.3,0.0,Automatic (A1),126.4,140.6,Large Cars,2015,5500,Model S,,,EV,140 (front) 140 (rear) (85 kW-hr battery pack),TSL,standard charger,4.75,80 amp dual charger
0.0648,0.0,4.0,137,137.48,25.0,124,124.3601,27.0,Rear-Wheel Drive,100,,600,Electricity,Electricity,10,111,111.37,30.0,0,0,36016,0,15,BMW,i3 BEV,0,84,81,89.0,0.0,71.6,0.0,Automatic (A1),196.4,159.1,Subcompact Cars,2015,6250,i3,,,EV,125 kW AC Induction,BMX,,0.0,
0.0839999999999999,0.0,10.0,94,94.4056,36.0,95,95.4404,35.0,Rear-Wheel Drive,2,,800,Electricity,Electricity,10,97,96.714,35.0,26,94,36017,0,0,Tesla,Model S (60 kW-hr battery pack),0,0,208,205.7,0.0,210.7,0.0,Automatic (A1),118.6,121.5,Large Cars,2015,5250,Model S,,,EV,225 kW AC Induction (60 kW-hr battery pack),TSL,standard charger,3.75,80 amp dual charger
0.072,0.0,7.0,126,126.3678,27.0,112,112.2077,30.0,Rear-Wheel Drive,141,,700,Electricity,Electricity,10,99,98.6914,34.0,13,85,36023,0,0,Mitsubishi,i-MiEV,0,0,62,68.5545,0.0,54.8184,0.0,Automatic (A1),180.5254,140.9876,Subcompact Cars,2016,5750,i-MiEV,,,EV,49 kW DCPM,MTX,,0.0,
0.0791999999999999,0.0,12.0,101,100.8098,33.0,101,101.2486,33.0,All-Wheel Drive,6,,750,Electricity,Electricity,10,102,101.79,33.0,26,94,36126,0,0,Tesla,Model S AWD - 70D,0,0,240,242.8,0.0,246.4,0.0,Automatic (A1),133.7,135.0,Large Cars,2015,5500,Model S,,,EV,140 (front) 140 (rear) (70 kW-hr battery pack),TSL,standard charger,4.75,80 amp dual charger
0.0768,0.0,4.0,120,119.6,28.1744,105,105.3754,31.9856,Front-Wheel Drive,37,,700,Electricity,Electricity,10,92,92.0,36.6438,0,0,36553,0,19,Kia,Soul Electric,0,97,93,103.6,0.0,79.7,0.0,Automatic (A1),170.9,131.4,Small Station Wagons,2016,5750,Soul,,,EV,81 kW AC PMSM,KMX,,0.0,
0.0815999999999999,0.0,12.0,95,95.3056,35.0,100,99.8433,34.0,All-Wheel Drive,7,,750,Electricity,Electricity,10,106,106.0124,32.0,26,94,36786,0,0,Tesla,Model S AWD - 90D,0,0,270,257.1,0.0,285.3,0.0,Automatic (A1),126.4,140.6,Large Cars,2015,5500,Model S,,,EV,140 (front) 140 (rear) (90 kW-hr battery pack),TSL,standard charger,4.75,80 amp dual charger
0.0863999999999999,0.0,12.0,89,89.3714,38.0,93,92.9112,36.0,All-Wheel Drive,8,,800,Electricity,Electricity,10,98,97.6374,35.0,26,94,36787,0,0,Tesla,Model S AWD - P90D,0,0,253,242.3,0.0,265.5,0.0,Automatic (A1),121.1,132.3,Large Cars,2015,5250,Model S,,,EV,164 (front) 350 (rear) (90 kW-hr battery pack),TSL,standard charger,4.75,80 amp dual charger
