barrels08,charge120,charge240,city08,city08U,cityE,comb08,comb08U,combE,drive,engId,eng_dscr,fuelCost08,fuelType,fuelType1,ghgScore,highway08,highway08U,highwayE,hlv,hpv,id,lv2,lv4,make,model,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UHighway,VClass,year,youSaveSpend,baseModel,tCharger,sCharger,atvType,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr
0.1296,0.0,8.0,62,61.9,55.0,62,62.0,54.0,Front-Wheel Drive,1,,1200,Electricity,Electricity,-1,62,62.0,54.0,0,0,31893,0,0,Azure Dynamics,Transit Connect Electric Van/Wagon,0,0,56,56.7812,0.0,55.6759,0.0,Automatic (A1),88.4,88.6,Special Purpose Vehicle 2WD,2012,3250,Transit Connect Electric Van/Wagon,,,EV,52 kW AC Induction,AZD,,0.0,
0.0815999999999999,0.0,7.0,106,0.0,32.0,99,0.0,34.0,Front-Wheel Drive,901,,750,Electricity,Electricity,-1,92,0.0,37.0,23,90,32154,0,0,Nissan,Leaf,0,0,73,77.165,0.0,67.316,0.0,Automatic (A1),151.5,131.3,Midsize Cars,2012,5500,Leaf,,,EV,80 kW DCPM,NSX,,0.0,
0.0791999999999999,0.0,5.0,107,106.733,32.0,102,101.822,33.0,Rear-Wheel Drive,100,,750,Electricity,Electricity,-1,96,96.4011,35.0,0,0,32276,6,0,BMW,Active E,86,0,94,0.0,0.0,0.0,0.0,Automatic (A1),152.4758,137.7159,Subcompact Cars,2011,5500,Active E,,,EV,125 kW AC Induction,BMX,,0.0,
0.1104,0.0,6.0,77,77.2,44.0,73,72.7,46.0,Front-Wheel Drive,1,,1050,Electricity,Electricity,-1,68,67.9,50.0,0,0,32277,0,14,CODA Automotive,CODA,0,72,88,93.555,0.0,93.555,0.0,Automatic (A1),110.3,97.0,Subcompact Cars,2012,4000,CODA,,,EV,100 kW DCPM,CDA,,0.0,
0.0768,0.0,4.0,110,110.048,31.0,105,104.758,32.0,Front-Wheel Drive,300,,700,Electricity,Electricity,-1,99,98.9461,34.0,14,90,32278,0,0,Ford,Focus Electric,0,0,76,79.7573,0.0,71.5259,0.0,Automatic (variable gear ratios),157.2,141.4,Compact Cars,2012,5750,Focus,,,EV,107 kW AC Induction,FMX,,0.0,
0.0911999999999999,0.0,12.0,88,87.9,38.0,89,88.8,38.0,Rear-Wheel Drive,1,,850,Electricity,Electricity,-1,90,90.1,37.0,26,94,32557,0,0,Tesla,Model S,0,0,265,262.69,0.0,266.78,0.0,Automatic (A1),110.4,113.2,Large Cars,2012,5000,Model S,,,EV,260 kW AC Induction,TSL,,0.0,
0.0768,0.0,4.0,110,110.048,31.0,105,104.7587,32.0,Front-Wheel Drive,242,,700,Electricity,Electricity,10,99,98.9461,34.0,14,90,33024,0,0,Ford,Focus Electric,0,0,76,79.7573,0.0,71.5259,0.0,Automatic (A1),157.2114,141.3516,Compact Cars,2013,5750,Focus,,,EV,107 kW AC PMSM,FMX,,0.0,
0.0696,0.0,4.0,132,131.8861,26.0,118,118.142,29.0,Front-Wheel Drive,6,,650,Electricity,Electricity,10,105,104.7943,32.0,0,0,33265,0,21,Honda,Fit EV,0,91,82,89.81,0.0,73.56,0.0,Automatic (A1),188.4087,149.7062,Small Station Wagons,2013,6000,Fit,,,EV,92 kW DCPM,HNX,,0.0,
0.0768,0.0,6.0,122,121.66,28.0,107,106.9856,32.0,Rear-Wheel Drive,705,,700,Electricity,Electricity,10,93,93.24,36.0,0,0,33305,0,0,smart,fortwo electric drive convertible,0,0,68,75.81,0.0,59.09,0.0,Automatic (A1),173.8,133.2,Two Seaters,2013,5750,fortwo,,,EV,55 kW DCPM,MBX,,0.0,
0.0768,0.0,6.0,122,121.66,28.0,107,106.9856,32.0,Rear-Wheel Drive,704,,700,Electricity,Electricity,10,93,93.24,36.0,0,0,33306,0,0,smart,fortwo electric drive coupe,0,0,68,75.81,0.0,59.09,0.0,Automatic (A1),173.8,133.2,Two Seaters,2013,5750,fortwo,,,EV,55 kW DCPM,MBX,,0.0,
0.0672,0.0,4.0,138,138.304,24.0,121,120.913,28.0,Front-Wheel Drive,21,,650,Electricity,Electricity,10,105,104.8056,32.0,4,73,33307,0,0,Scion,iQ EV,0,0,38,42.4,0.0,31.62,0.0,Automatic (variable gear ratios),197.5771,149.7223,Minicompact Cars,2013,6000,iQ,,,EV,,TYX,,0.0,
