Armidale,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,54,42,77,236,63,57,68,29,16,16,29,60,85,60,90,88,98,13,109,125,107,59,135,57,
Total kilowatt hours charged (kWH),,,,1198,843,1625,4469,1381,1048,1302,631,355,269,537,1066,1493,1066,1665,1584,2063,230,2136,2283,2423,1260,3064,1200,
"Average energy used per charging session (kWH)
",,,,22,20,21,19,22,18,19,22,22,17,19,18,18,18,18,18,21,18,20,18,23,21,23,21,
Average time taken to charge (min),,,,38,35,37,35,40,36,39,37,35,35,35,35,31,35,32,32,39,31,39,34,40,39,40,41,
Average SOC,,,,,,,,,,40,42,42,42,42,42,42,,42,41,42,47,44,45,42,35,41,41,
Average EOC,,,,,,,,,,81,81,81,81,81,81,81,,81,81,81,87,81,81,78,82,84,83,
Jerilderie,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,3,42,11,10,7,3,2,2,1,8,17,8,25,21,16,22,22,19,30,25,31,26,
Total kilowatt hours charged (kWH),,,,,,104,930,309,264,213,54,26,26,27,265,394,265,562,462,473,493,441,452,803,793,694,705,
" Average energy used per charging session (kWH)
 ",,,,,,35,22,28,28,31,18,13,13,27,33,23,33,22,22,30,22,20,23,27,32,22,27,
Average time taken to charge (min),,,,,,60,44,45,58,58,58,35,35,35,35,43,35,42,42,53,37,36,46,45,53,38,45,
Average SOC,,,,,,,,,,38,38,44,44,43,43,43,,43,43,43,36,44,48,46,43,53,43,
Average EOC,,,,,,,,,,85,85,81,81,80,80,86,,86,86,86,80,74,84,84,88,87,87,
Coonamble,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,
Total charge sessions ,,,,,,,,,,,,,,,22,12,22,26,23,44,13,7,5,6,2,5,2,
Total kilowatt hours charged (kWH),,,,,,,,,,,,,,,447,269,447,453,391,748,418,169,153,98,44,155,38,
" Average energy used per charging session (kWH)
 ",,,,,,,,,,,,,,,20,22,20,17,17,17,33,24,30,16,22,31,19,
Average time taken to charge (min),,,,,,,,,,,,,,,40,42,40,40,40,40,49,36,55,21,3,55,3,
Average SOC,,,,,,,,,,,,,,,40,40,,40,40,40,44,43,39,70,36,39,36,
Average EOC,,,,,,,,,,,,,,,86,86,,86,86,86,86,81,83,77,37,83,83,
