start_date,station_name,charging_time_hh_mm_ss,energy_kwh,address_1,address_2,city,state_province,zip_postal_code,fee,model_number,latitude,longitude,geopoint,location
2022-03-31T23:55:44Z,TOWN OF CARY / DT DECK P2 (2),02:34:03,9.417,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385),POINT(-78.779701 35.785385)
2022-03-30T22:31:38Z,TOWN OF CARY / DT DECK P2 (2),01:23:33,8.708,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385),POINT(-78.779701 35.785385)
2022-03-30T17:09:49Z,TOWN OF CARY / BOND PARK BH,01:13:00,4.394,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-30T13:41:38Z,TOWN OF CARY / DT DECK P2 (2),01:14:07,6.926,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385),POINT(-78.779701 35.785385)
2022-03-30T13:15:23Z,TOWN OF CARY / BOND PARK BH,00:31:06,1.725,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-30T13:32:27Z,TOWN OF CARY / TOWN HALL-PWH,00:00:00,0.0,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215),POINT(-78.778816 35.789215)
2022-03-29T21:31:34Z,TOWN OF CARY / BOND PARK BH,00:11:05,1.213,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-29T15:54:48Z,TOWN OF CARY / DT DECK P2 (2),03:13:45,10.66,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385),POINT(-78.779701 35.785385)
2022-03-28T14:08:13Z,TOWN OF CARY / DT DECK P2 (2),05:39:42,34.995,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385),POINT(-78.779701 35.785385)
2022-03-28T20:25:01Z,TOWN OF CARY / BOND PARK BH,01:02:45,6.763,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-28T14:05:29Z,TOWN OF CARY / DT DECK P2 (2),01:18:36,6.707,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385),POINT(-78.779701 35.785385)
2022-03-28T13:15:21Z,TOWN OF CARY / DT DECK P2 (1),02:02:50,6.868,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.779411 35.785446),POINT(-78.779411 35.785446)
2022-03-26T23:07:41Z,TOWN OF CARY / BOND PARK BH,00:48:37,5.845,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-26T20:11:37Z,TOWN OF CARY / DT DECK P2 (2),02:14:20,14.08,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385),POINT(-78.779701 35.785385)
2022-03-26T18:59:15Z,TOWN OF CARY / BOND PARK BH,00:30:19,3.274,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-26T13:14:34Z,TOWN OF CARY / BOND PARK BH,00:58:48,3.375,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-25T21:14:58Z,TOWN OF CARY / DT DECK P2 (1),02:38:52,10.225,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.779411 35.785446),POINT(-78.779411 35.785446)
2022-03-24T21:28:28Z,TOWN OF CARY / TOWN HALL-PWH,00:43:00,2.551,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215),POINT(-78.778816 35.789215)
2022-03-22T20:20:29Z,TOWN OF CARY / TOWN HALL-PWH,00:45:16,4.612,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215),POINT(-78.778816 35.789215)
2022-03-21T17:44:46Z,TOWN OF CARY / BOND PARK BH,02:08:23,13.51,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-20T15:59:16Z,TOWN OF CARY / DT DECK P2 (1),02:55:11,9.003,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.779411 35.785446),POINT(-78.779411 35.785446)
2022-03-20T19:45:25Z,TOWN OF CARY / BOND PARK BH,03:06:43,9.944,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-20T19:22:07Z,TOWN OF CARY / BOND PARK BH,03:45:26,26.489,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303),POINT(-78.825554 35.781303)
2022-03-20T16:54:12Z,TOWN OF CARY / DT DECK P2 (2),00:41:35,4.312,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385),POINT(-78.779701 35.785385)
2022-03-19T15:32:59Z,TOWN OF CARY / DT DECK P2 (2),03:41:14,22.694,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385),POINT(-78.779701 35.785385)
2022-03-19T23:26:32Z,TOWN OF CARY / TOWN HALL-PWH,00:48:12,2.419,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215),POINT(-78.778816 35.789215)
