Organisation_Name,Service_Station_Location,Latitude,Longitude
Place Management NSW,"Argyle St & Harrington St,The Rocks NSW 2000,AUSTRALIA",-33.85912996,151.2080001
Srinivasa Fuels PTY LTD,"403 Tarean Street,Karuah NSW 2324,AUSTRALIA",-32.65371782,151.9629963
"Telsa Motors Australia, PTY LTD","22 Victor Street,Chatswood NSW 2067,AUSTRALIA",-33.79746203,151.1826494
"Telsa Motors Australia, PTY LTD","Terminal 3, Sydney Domestic Airport, Shiers Ave,Mascot NSW 2020,AUSTRALIA",-33.95144309,151.1759629
"Telsa Motors Australia, PTY LTD","135 King Street,Sydney NSW 2000,AUSTRALIA",-33.86926096,151.2087242
"Telsa Motors Australia, PTY LTD","2 Beach Road,Batesman Bay NSW 2536,AUSTRALIA",-35.70874057,150.1768202
"Telsa Motors Australia, PTY LTD","2A Todman Avenue,Kensington NSW 2033,AUSTRALIA",-33.90407538,151.2151087
"Telsa Motors Australia, PTY LTD","3/1-2 Joule Pl,Tuggerah NSW 2259,AUSTRALIA",-33.29816166,151.4184774
"Telsa Motors Australia, PTY LTD","1650 Alpine Wy,Lake Crackenback NSW 2627,AUSTRALIA",-36.44543132,148.4512318
"Telsa Motors Australia, PTY LTD","1 Violet,Katoomba NSW 2780,AUSTRALIA",-33.7288363,150.2986953
"Telsa Motors Australia, PTY LTD","287 Mona Vale Rd,Terry Hills NSW 2084,AUSTRALIA",-33.68912288,151.2237462
"Telsa Motors Australia, PTY LTD","Don Kendall Dr,Wagga Wagga NSW 2651,AUSTRALIA",-35.15883855,147.4611136
"Telsa Motors Australia, PTY LTD","1 Eric Felton St,Castle Hill NSW 2154,AUSTRALIA",-33.72935996,151.0057501
"Telsa Motors Australia, PTY LTD","250-318 PARRAMATTA RD,HOMEBUSH WEST NSW 2140,AUSTRALIA",-33.85983723,151.0712932
"Telsa Motors Australia, PTY LTD","75 Townson Rd,Schofields NSW 2762,AUSTRALIA",-33.71136632,150.8523591
"Telsa Motors Australia, PTY LTD","46 Tamar,Ballina NSW 2478,AUSTRALIA",-28.87072009,153.5632833
"Telsa Motors Australia, PTY LTD","1 Edwin Flack Dr,Sydney Olympic Park NSW 2127,AUSTRALIA",-33.84900169,151.0619297
WILSON PARKING AUSTRALIA 1992 PTY LTD,"Wilson Parking Harbourside, 50 Murray St,Pyrmont NSW 2009,AUSTRALIA",-33.87092959,151.1979458
