start_date,station_na,charging_t,energy_kwh,address_1,address_2,city,state_prov,zip_postal,fee,model_numb,latitude,longitude,location
2022-02-19T21:07:59Z,TOWN OF CARY / BOND PARK BH,1:35:00,8.532,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-18T20:11:36Z,TOWN OF CARY / DT DECK P2 (2),0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-02-18T17:08:58Z,TOWN OF CARY / BOND PARK BH,2:05:03,13.358,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-18T03:28:42Z,TOWN OF CARY / DT DECK P2 (2),1:58:58,11.989,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-02-17T19:06:59Z,TOWN OF CARY / BOND PARK BH,0:42:39,2.078,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-17T13:53:39Z,TOWN OF CARY / BOND PARK BH,2:17:49,16.738,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-16T18:14:30Z,TOWN OF CARY / BOND PARK BH,2:01:15,13.703,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-16T15:52:47Z,TOWN OF CARY / BOND PARK BH,1:15:21,5.982,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-14T20:58:09Z,TOWN OF CARY / DT DECK P3 WEST,0:00:00,0,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
2022-02-14T18:15:39Z,TOWN OF CARY / TOWN HALL-PWH,2:18:12,7.507,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-13T15:04:23Z,TOWN OF CARY / BOND PARK BH,0:25:04,3.031,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-13T12:26:45Z,TOWN OF CARY / BOND PARK BH,1:47:44,6.304,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-13T01:04:08Z,TOWN OF CARY / DT DECK P2 (2),3:55:33,24.654,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.7797010000 35.7853850000)
2022-02-12T20:00:50Z,TOWN OF CARY / BOND PARK BH,1:39:39,6.389,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-12T19:08:47Z,TOWN OF CARY / BOND PARK BH,0:36:24,0.915,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-12T17:59:30Z,TOWN OF CARY / BOND PARK BH,0:39:26,4.789,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.8255540000 35.7813030000)
2022-02-12T16:14:19Z,TOWN OF CARY / TOWN HALL-PWH,2:02:18,11.333,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-11T13:21:39Z,TOWN OF CARY / TOWN HALL-PWH,3:01:56,16.42,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-11T19:35:22Z,TOWN OF CARY / TOWN HALL-PWH,0:00:00,0,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-10T17:56:22Z,TOWN OF CARY / TOWN HALL-PWH,0:43:26,2.933,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.7788160000 35.7892150000)
2022-02-10T16:07:27Z,TOWN OF CARY / DT DECK P3 WEST,1:57:32,6.355,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.7792820000 35.7852820000)
