Created;Station ID;Station name;Start time;Stop time;Duration;Energy (Wh);Plug type;Cumulative energy (Wh);Colonna1
01/01/2019 01.47;1100;Puutarhakatu 4;01/01/2019 01.47;01/01/2019 01.47;1;0;AC;0;0
01/01/2019 14.40;1100;Puutarhakatu 4;01/01/2019 14.40;01/01/2019 15.44;64;3270;AC;3270;3065.625
02/01/2019 07.34;1140;Hämeenkatu 8;02/01/2019 07.34;02/01/2019 11.55;262;6460;AC;9730;1479.389313
02/01/2019 09.30;1100;Puutarhakatu 4;02/01/2019 09.30;02/01/2019 11.07;97;4880;AC;14610;3018.556701
02/01/2019 13.06;1100;Puutarhakatu 4;02/01/2019 13.06;02/01/2019 13.22;17;870;AC;15480;3070.588235
02/01/2019 13.34;3022;Turun linja-autoasema;02/01/2019 13.34;02/01/2019 14.26;52;2560;AC;18040;2953.846154
02/01/2019 13.36;1100;Puutarhakatu 4;02/01/2019 13.36;02/01/2019 16.58;203;6580;AC;24620;1944.827586
02/01/2019 14.28;1086;Turun linja-autoasema;02/01/2019 14.28;02/01/2019 14.28;1;0;AC;24620;0
02/01/2019 14.32;1138;Hämeenkatu 8;02/01/2019 14.32;02/01/2019 15.01;29;1600;AC;26220;3310.344828
02/01/2019 14.34;1086;Turun linja-autoasema;02/01/2019 14.34;04/01/2019 17.10;3037;0;AC;26220;0
02/01/2019 16.09;1126;ABC Tammisilta;02/01/2019 16.09;02/01/2019 16.37;28;10513;DC;36733;22527.85714
02/01/2019 17.23;1126;ABC Tammisilta;02/01/2019 17.23;02/01/2019 17.31;9;5611;DC;42344;37406.66667
02/01/2019 17.33;1126;ABC Tammisilta;02/01/2019 17.33;02/01/2019 17.41;8;5709;DC;48053;42817.5
02/01/2019 18.59;1100;Puutarhakatu 4;02/01/2019 18.59;03/01/2019 13.13;1094;78700;AC;126753;4316.270567
02/01/2019 19.41;3023;Turun linja-autoasema;02/01/2019 19.41;02/01/2019 20.49;69;25510;DC;152263;22182.6087
03/01/2019 05.05;3022;Turun linja-autoasema;03/01/2019 05.05;03/01/2019 11.46;401;27043;AC;179306;4046.334165
03/01/2019 08.07;1140;Hämeenkatu 8;03/01/2019 08.07;03/01/2019 11.57;231;6450;AC;185756;1675.324675
03/01/2019 09.12;1138;Hämeenkatu 8;03/01/2019 09.12;03/01/2019 09.12;1;0;AC;185756;0
03/01/2019 11.57;3022;Turun linja-autoasema;03/01/2019 11.57;03/01/2019 12.15;19;619;AC;186375;1954.736842
03/01/2019 12.11;2652;Puistokatu 10;03/01/2019 12.11;03/01/2019 13.47;97;0;AC;186375;0
03/01/2019 12.18;3022;Turun linja-autoasema;03/01/2019 12.18;03/01/2019 12.21;4;0;AC;186375;0
03/01/2019 12.22;3022;Turun linja-autoasema;03/01/2019 12.22;03/01/2019 12.29;8;0;AC;186375;0
03/01/2019 12.31;3022;Turun linja-autoasema;03/01/2019 12.31;03/01/2019 12.33;3;0;AC;186375;0
03/01/2019 12.35;3022;Turun linja-autoasema;03/01/2019 12.35;03/01/2019 12.39;5;31;AC;186406;372
03/01/2019 13.08;3022;Turun linja-autoasema;03/01/2019 13.08;03/01/2019 13.11;3;0;AC;186406;0
03/01/2019 15.09;2501;Stedingkinkatu 2;03/01/2019 15.09;03/01/2019 17.39;151;0;AC;186406;0
03/01/2019 15.53;4667;Logomo;03/01/2019 15.53;03/01/2019 15.55;3;0;AC;186406;0
03/01/2019 18.53;3022;Turun linja-autoasema;03/01/2019 18.53;03/01/2019 20.21;89;17202;AC;203608;11596.85393
03/01/2019 19.19;2652;Puistokatu 10;03/01/2019 19.19;03/01/2019 19.25;7;0;AC;203608;0
03/01/2019 21.00;3023;Turun linja-autoasema;03/01/2019 21.00;03/01/2019 21.01;1;113;DC;203721;6780
03/01/2019 21.02;3023;Turun linja-autoasema;03/01/2019 21.02;03/01/2019 21.19;18;7232;DC;210953;24106.66667
03/01/2019 22.00;1126;ABC Tammisilta;03/01/2019 22.00;03/01/2019 23.09;70;34300;DC;245253;29400
04/01/2019 07.53;1140;Hämeenkatu 8;04/01/2019 07.53;04/01/2019 12.09;256;5710;AC;250963;1338.28125
04/01/2019 08.07;1138;Hämeenkatu 8;04/01/2019 08.07;04/01/2019 12.24;258;6300;AC;257263;1465.116279
04/01/2019 08.10;2501;Stedingkinkatu 2;04/01/2019 08.10;04/01/2019 10.57;168;0;AC;257263;0
04/01/2019 08.34;1100;Puutarhakatu 4;04/01/2019 08.34;04/01/2019 12.14;220;6790;AC;264053;1851.818182
04/01/2019 12.00;3022;Turun linja-autoasema;04/01/2019 12.00;04/01/2019 12.36;37;2123;AC;266176;3442.702703
04/01/2019 12.31;1140;Hämeenkatu 8;04/01/2019 12.31;04/01/2019 15.26;175;4910;AC;271086;1683.428571
04/01/2019 13.50;1100;Puutarhakatu 4;04/01/2019 13.50;04/01/2019 17.45;236;5790;AC;276876;1472.033898
04/01/2019 16.38;4667;Logomo;04/01/2019 16.38;04/01/2019 17.31;54;2950;AC;279826;3277.777778
04/01/2019 17.11;2652;Puistokatu 10;04/01/2019 17.11;04/01/2019 18.55;104;5210;AC;285036;3005.769231
04/01/2019 17.28;4666;Logomo;04/01/2019 17.28;04/01/2019 21.39;252;3550;AC;288586;845.2380952
04/01/2019 18.38;6435;Turun Messukeskus;04/01/2019 18.38;04/01/2019 19.01;24;1419;AC;290005;3547.5
04/01/2019 18.57;1140;Hämeenkatu 8;04/01/2019 18.57;04/01/2019 19.58;61;3280;AC;293285;3226.229508
04/01/2019 19.24;1138;Hämeenkatu 8;04/01/2019 19.24;04/01/2019 21.55;152;6440;AC;299725;2542.105263
04/01/2019 19.38;3023;Turun linja-autoasema;04/01/2019 19.38;04/01/2019 19.38;1;39;DC;299764;2340
04/01/2019 19.39;3023;Turun linja-autoasema;04/01/2019 19.39;04/01/2019 20.24;45;19722;DC;319486;26296
05/01/2019 10.04;2653;Puistokatu 10;05/01/2019 10.04;05/01/2019 12.06;123;0;AC;319486;0
05/01/2019 11.33;3022;Turun linja-autoasema;05/01/2019 11.33;05/01/2019 11.34;1;0;AC;319486;0
05/01/2019 12.11;1086;Turun linja-autoasema;05/01/2019 12.11;05/01/2019 16.00;230;24350;AC;343836;6352.173913
05/01/2019 12.51;1100;Puutarhakatu 4;05/01/2019 12.51;05/01/2019 14.15;84;4580;AC;348416;3271.428571
05/01/2019 13.03;1126;ABC Tammisilta;05/01/2019 13.03;05/01/2019 13.34;31;12309;DC;360725;23823.87097
05/01/2019 13.48;3022;Turun linja-autoasema;05/01/2019 13.48;05/01/2019 13.53;5;19;AC;360744;228
05/01/2019 14.21;3022;Turun linja-autoasema;05/01/2019 14.21;05/01/2019 14.24;3;0;AC;360744;0
05/01/2019 15.18;2653;Puistokatu 10;05/01/2019 15.18;05/01/2019 16.11;54;2510;AC;363254;2788.888889
05/01/2019 16.32;1086;Turun linja-autoasema;05/01/2019 16.32;05/01/2019 16.33;1;0;AC;363254;0
05/01/2019 16.33;1086;Turun linja-autoasema;05/01/2019 16.33;05/01/2019 21.00;268;4510;AC;367764;1009.701493
06/01/2019 10.01;2653;Puistokatu 10;06/01/2019 10.01;06/01/2019 13.37;217;0;AC;367764;0
06/01/2019 11.19;3023;Turun linja-autoasema;06/01/2019 11.19;06/01/2019 11.31;12;1876;DC;369640;9380
06/01/2019 11.31;3022;Turun linja-autoasema;06/01/2019 11.31;06/01/2019 13.09;98;5373;AC;375013;3289.591837
06/01/2019 13.54;1100;Puutarhakatu 4;06/01/2019 13.54;06/01/2019 18.09;255;64760;AC;439773;15237.64706
06/01/2019 14.20;3023;Turun linja-autoasema;06/01/2019 14.20;06/01/2019 14.46;26;5103;DC;444876;11776.15385
06/01/2019 15.29;3022;Turun linja-autoasema;06/01/2019 15.29;06/01/2019 15.51;23;1299;AC;446175;3388.695652
06/01/2019 16.24;2653;Puistokatu 10;06/01/2019 16.24;06/01/2019 17.12;49;0;AC;446175;0
06/01/2019 20.09;1100;Puutarhakatu 4;06/01/2019 20.09;06/01/2019 20.10;2;0;AC;446175;0
06/01/2019 20.11;1100;Puutarhakatu 4;06/01/2019 20.11;06/01/2019 23.06;175;4090;AC;450265;1402.285714
06/01/2019 20.59;1140;Hämeenkatu 8;06/01/2019 20.59;06/01/2019 21.11;12;450;AC;450715;2250
07/01/2019 07.44;1140;Hämeenkatu 8;07/01/2019 07.44;07/01/2019 11.32;228;6390;AC;457105;1681.578947
07/01/2019 08.47;1138;Hämeenkatu 8;07/01/2019 08.47;07/01/2019 14.38;352;8890;AC;465995;1515.340909
07/01/2019 08.49;1100;Puutarhakatu 4;07/01/2019 08.49;07/01/2019 09.24;36;2000;AC;467995;3333.333333
07/01/2019 09.18;4667;Logomo;07/01/2019 09.18;07/01/2019 10.12;55;2950;AC;470945;3218.181818
07/01/2019 10.56;1100;Puutarhakatu 4;07/01/2019 10.56;07/01/2019 11.50;54;8550;AC;479495;9500
07/01/2019 12.10;1126;ABC Tammisilta;07/01/2019 12.10;07/01/2019 12.33;23;5131;DC;484626;13385.21739
07/01/2019 12.23;1086;Turun linja-autoasema;07/01/2019 12.23;07/01/2019 16.28;246;8110;AC;492736;1978.04878
07/01/2019 13.35;1126;ABC Tammisilta;07/01/2019 13.35;07/01/2019 13.46;12;2516;DC;495252;12580
07/01/2019 14.15;1100;Puutarhakatu 4;07/01/2019 14.15;07/01/2019 14.34;20;0;AC;495252;0
07/01/2019 14.20;3022;Turun linja-autoasema;07/01/2019 14.20;07/01/2019 15.52;93;23477;AC;518729;15146.45161
07/01/2019 14.34;1100;Puutarhakatu 4;07/01/2019 14.34;07/01/2019 14.35;1;0;AC;518729;0
07/01/2019 15.59;1100;Puutarhakatu 4;07/01/2019 15.59;07/01/2019 18.07;129;6720;AC;525449;3125.581395
07/01/2019 16.02;2501;Stedingkinkatu 2;07/01/2019 16.02;07/01/2019 17.49;108;0;AC;525449;0
07/01/2019 17.39;6435;Turun Messukeskus;07/01/2019 17.39;07/01/2019 20.21;163;7976;AC;533425;2935.95092
07/01/2019 17.44;1126;ABC Tammisilta;07/01/2019 17.44;07/01/2019 17.49;6;2163;DC;535588;21630
07/01/2019 19.09;1138;Hämeenkatu 8;07/01/2019 19.09;07/01/2019 23.04;235;11710;AC;547298;2989.787234
07/01/2019 19.29;1140;Hämeenkatu 8;07/01/2019 19.29;07/01/2019 19.40;12;450;AC;547748;2250
08/01/2019 07.46;2500;Stedingkinkatu 2;08/01/2019 07.46;08/01/2019 09.04;79;0;AC;547748;0
08/01/2019 07.59;1140;Hämeenkatu 8;08/01/2019 07.59;08/01/2019 11.13;195;6360;AC;554108;1956.923077
08/01/2019 08.19;1100;Puutarhakatu 4;08/01/2019 08.19;08/01/2019 11.58;220;7910;AC;562018;2157.272727
08/01/2019 11.27;1140;Hämeenkatu 8;08/01/2019 11.27;08/01/2019 12.00;34;3550;AC;565568;6264.705882
08/01/2019 11.29;3023;Turun linja-autoasema;08/01/2019 11.29;08/01/2019 11.55;26;5176;DC;570744;11944.61538
08/01/2019 12.00;2653;Puistokatu 10;08/01/2019 12.00;08/01/2019 13.23;84;0;AC;570744;0
08/01/2019 12.36;3022;Turun linja-autoasema;08/01/2019 12.36;08/01/2019 13.42;66;3767;AC;574511;3424.545455
08/01/2019 13.24;1138;Hämeenkatu 8;08/01/2019 13.24;08/01/2019 14.33;70;3640;AC;578151;3120
08/01/2019 14.25;1140;Hämeenkatu 8;08/01/2019 14.25;08/01/2019 17.24;179;6850;AC;585001;2296.089385
08/01/2019 14.50;3022;Turun linja-autoasema;08/01/2019 14.50;08/01/2019 14.50;1;0;AC;585001;0
08/01/2019 14.53;1086;Turun linja-autoasema;08/01/2019 14.53;08/01/2019 16.39;107;2210;AC;587211;1239.252336
08/01/2019 16.52;2652;Puistokatu 10;08/01/2019 16.52;08/01/2019 19.11;139;0;AC;587211;0
08/01/2019 17.52;1100;Puutarhakatu 4;08/01/2019 17.52;08/01/2019 17.52;1;0;AC;587211;0
08/01/2019 17.55;1100;Puutarhakatu 4;08/01/2019 17.55;08/01/2019 19.45;110;28370;AC;615581;15474.54545
08/01/2019 19.10;1138;Hämeenkatu 8;08/01/2019 19.10;08/01/2019 19.36;26;1450;AC;617031;3346.153846
08/01/2019 19.58;1100;Puutarhakatu 4;08/01/2019 19.58;08/01/2019 21.58;121;0;AC;617031;0
09/01/2019 08.00;1140;Hämeenkatu 8;09/01/2019 08.00;09/01/2019 08.00;1;0;AC;617031;0
09/01/2019 08.01;1140;Hämeenkatu 8;09/01/2019 08.01;09/01/2019 12.14;253;6510;AC;623541;1543.873518
09/01/2019 08.19;1100;Puutarhakatu 4;09/01/2019 08.19;09/01/2019 12.18;240;7900;AC;631441;1975
09/01/2019 08.46;1138;Hämeenkatu 8;09/01/2019 08.46;09/01/2019 08.46;1;0;AC;631441;0
09/01/2019 08.46;1138;Hämeenkatu 8;09/01/2019 08.46;09/01/2019 12.04;199;7530;AC;638971;2270.351759
09/01/2019 11.23;3023;Turun linja-autoasema;09/01/2019 11.23;09/01/2019 12.04;42;5719;DC;644690;8170
09/01/2019 11.56;2653;Puistokatu 10;09/01/2019 11.56;09/01/2019 12.51;56;0;AC;644690;0
09/01/2019 12.59;3022;Turun linja-autoasema;09/01/2019 12.59;09/01/2019 13.00;1;0;AC;644690;0
09/01/2019 13.01;1086;Turun linja-autoasema;09/01/2019 13.01;09/01/2019 16.13;192;7400;AC;652090;2312.5
09/01/2019 14.22;2500;Stedingkinkatu 2;09/01/2019 14.22;09/01/2019 16.09;108;0;AC;652090;0
09/01/2019 17.01;2500;Stedingkinkatu 2;09/01/2019 17.01;09/01/2019 17.30;29;0;AC;652090;0
09/01/2019 17.23;1100;Puutarhakatu 4;09/01/2019 17.23;09/01/2019 20.03;161;5060;AC;657150;1885.714286
09/01/2019 18.01;2500;Stedingkinkatu 2;09/01/2019 18.01;09/01/2019 20.12;132;0;AC;657150;0
09/01/2019 18.09;1140;Hämeenkatu 8;09/01/2019 18.09;09/01/2019 18.46;38;3750;AC;660900;5921.052632
09/01/2019 21.11;2501;Stedingkinkatu 2;09/01/2019 21.11;09/01/2019 23.06;115;0;AC;660900;0
10/01/2019 07.25;1140;Hämeenkatu 8;10/01/2019 07.25;10/01/2019 12.33;309;3900;AC;664800;757.2815534
10/01/2019 08.10;1138;Hämeenkatu 8;10/01/2019 08.10;10/01/2019 12.14;244;6450;AC;671250;1586.065574
10/01/2019 08.40;3022;Turun linja-autoasema;10/01/2019 08.40;10/01/2019 08.42;2;0;AC;671250;0
10/01/2019 08.42;3022;Turun linja-autoasema;10/01/2019 08.42;10/01/2019 10.22;100;5000;AC;676250;3000
10/01/2019 09.26;1086;Turun linja-autoasema;10/01/2019 09.26;10/01/2019 13.24;239;7290;AC;683540;1830.125523
10/01/2019 09.26;2653;Puistokatu 10;10/01/2019 09.26;10/01/2019 11.00;94;0;AC;683540;0
10/01/2019 12.13;2652;Puistokatu 10;10/01/2019 12.13;10/01/2019 13.13;61;2930;AC;686470;2881.967213
10/01/2019 12.18;1138;Hämeenkatu 8;10/01/2019 12.18;10/01/2019 12.50;33;1780;AC;688250;3236.363636
10/01/2019 13.52;2500;Stedingkinkatu 2;10/01/2019 13.52;10/01/2019 15.44;112;0;AC;688250;0
10/01/2019 14.08;1140;Hämeenkatu 8;10/01/2019 14.08;10/01/2019 15.44;96;5130;AC;693380;3206.25
10/01/2019 14.18;2652;Puistokatu 10;10/01/2019 14.18;10/01/2019 16.05;108;0;AC;693380;0
10/01/2019 15.54;3023;Turun linja-autoasema;10/01/2019 15.54;10/01/2019 16.51;58;17832;DC;711212;18446.89655
10/01/2019 16.34;2500;Stedingkinkatu 2;10/01/2019 16.34;10/01/2019 19.02;149;0;AC;711212;0
10/01/2019 16.55;1100;Puutarhakatu 4;10/01/2019 16.55;10/01/2019 19.27;153;15840;AC;727052;6211.764706
10/01/2019 19.17;3022;Turun linja-autoasema;10/01/2019 19.17;10/01/2019 21.02;106;5445;AC;732497;3082.075472
10/01/2019 19.24;2501;Stedingkinkatu 2;10/01/2019 19.24;10/01/2019 19.38;15;0;AC;732497;0
11/01/2019 08.07;1140;Hämeenkatu 8;11/01/2019 08.07;11/01/2019 11.22;196;6220;AC;738717;1904.081633
11/01/2019 08.21;1100;Puutarhakatu 4;11/01/2019 08.21;11/01/2019 12.15;235;6840;AC;745557;1746.382979
11/01/2019 08.23;1086;Turun linja-autoasema;11/01/2019 08.23;11/01/2019 12.30;248;4890;AC;750447;1183.064516
11/01/2019 09.04;3022;Turun linja-autoasema;11/01/2019 09.04;11/01/2019 11.25;141;7356;AC;757803;3130.212766
11/01/2019 09.07;1138;Hämeenkatu 8;11/01/2019 09.07;11/01/2019 09.08;1;20;AC;757823;1200
11/01/2019 09.09;1138;Hämeenkatu 8;11/01/2019 09.09;11/01/2019 15.02;353;5390;AC;763213;916.1473088
11/01/2019 09.14;2653;Puistokatu 10;11/01/2019 09.14;11/01/2019 10.28;75;0;AC;763213;0
11/01/2019 10.21;1126;ABC Tammisilta;11/01/2019 10.21;11/01/2019 10.36;15;3788;DC;767001;15152
11/01/2019 11.00;2652;Puistokatu 10;11/01/2019 11.00;11/01/2019 11.42;43;2270;AC;769271;3167.44186
11/01/2019 12.01;2500;Stedingkinkatu 2;11/01/2019 12.01;11/01/2019 15.13;193;0;AC;769271;0
11/01/2019 12.44;1100;Puutarhakatu 4;11/01/2019 12.44;11/01/2019 14.46;122;4650;AC;773921;2286.885246
11/01/2019 12.54;1086;Turun linja-autoasema;11/01/2019 12.54;11/01/2019 14.27;94;3550;AC;777471;2265.957447
11/01/2019 13.27;1126;ABC Tammisilta;11/01/2019 13.27;11/01/2019 13.51;24;5325;DC;782796;13312.5
11/01/2019 14.00;2501;Stedingkinkatu 2;11/01/2019 14.00;11/01/2019 15.21;82;0;AC;782796;0
11/01/2019 16.33;1100;Puutarhakatu 4;11/01/2019 16.33;12/01/2019 00.12;460;3660;AC;786456;477.3913043
11/01/2019 17.20;2652;Puistokatu 10;11/01/2019 17.20;11/01/2019 18.47;88;0;AC;786456;0
11/01/2019 17.53;2500;Stedingkinkatu 2;11/01/2019 17.53;11/01/2019 19.00;68;0;AC;786456;0
11/01/2019 18.00;3023;Turun linja-autoasema;11/01/2019 18.00;11/01/2019 18.00;1;171;DC;786627;10260
11/01/2019 18.04;3023;Turun linja-autoasema;11/01/2019 18.04;11/01/2019 18.53;49;16232;DC;802859;19875.91837
11/01/2019 21.40;4667;Logomo;11/01/2019 21.40;11/01/2019 22.12;33;1700;AC;804559;3090.909091
11/01/2019 23.59;1086;Turun linja-autoasema;11/01/2019 23.59;12/01/2019 00.19;20;1010;AC;805569;3030
12/01/2019 07.02;1126;ABC Tammisilta;12/01/2019 07.02;12/01/2019 07.27;25;4194;DC;809763;10065.6
12/01/2019 08.47;1140;Hämeenkatu 8;12/01/2019 08.47;12/01/2019 13.00;253;5450;AC;815213;1292.490119
12/01/2019 10.11;1100;Puutarhakatu 4;12/01/2019 10.11;12/01/2019 10.34;23;1020;AC;816233;2660.869565
12/01/2019 10.39;6441;Turun Messukeskus;12/01/2019 10.39;12/01/2019 10.39;1;0;AC;816233;0
12/01/2019 10.40;6441;Turun Messukeskus;12/01/2019 10.40;12/01/2019 13.56;197;18345;AC;834578;5587.309645
12/01/2019 10.53;1126;ABC Tammisilta;12/01/2019 10.53;12/01/2019 11.34;42;26429;DC;861007;37755.71429
12/01/2019 10.59;1100;Puutarhakatu 4;12/01/2019 10.59;12/01/2019 11.55;56;2860;AC;863867;3064.285714
12/01/2019 12.46;1100;Puutarhakatu 4;12/01/2019 12.46;12/01/2019 16.08;202;4790;AC;868657;1422.772277
12/01/2019 14.00;6441;Turun Messukeskus;12/01/2019 14.00;12/01/2019 16.33;154;39346;AC;908003;15329.61039
12/01/2019 14.04;4667;Logomo;12/01/2019 14.04;12/01/2019 19.37;334;27110;AC;935113;4870.05988
12/01/2019 15.35;3023;Turun linja-autoasema;12/01/2019 15.35;12/01/2019 15.36;1;117;DC;935230;7020
12/01/2019 15.42;3023;Turun linja-autoasema;12/01/2019 15.42;12/01/2019 16.01;20;8617;DC;943847;25851
12/01/2019 16.07;3023;Turun linja-autoasema;12/01/2019 16.07;12/01/2019 16.07;1;35;DC;943882;2100
12/01/2019 16.14;2500;Stedingkinkatu 2;12/01/2019 16.14;12/01/2019 19.20;187;0;AC;943882;0
12/01/2019 16.20;3023;Turun linja-autoasema;12/01/2019 16.20;12/01/2019 16.20;1;35;DC;943917;2100
12/01/2019 16.30;1100;Puutarhakatu 4;12/01/2019 16.30;12/01/2019 18.17;107;10850;AC;954767;6084.11215
12/01/2019 16.41;1126;ABC Tammisilta;12/01/2019 16.41;12/01/2019 17.01;20;8191;DC;962958;24573
12/01/2019 16.42;1138;Hämeenkatu 8;12/01/2019 16.42;12/01/2019 17.05;23;1240;AC;964198;3234.782609
12/01/2019 16.46;3023;Turun linja-autoasema;12/01/2019 16.46;12/01/2019 16.57;11;4810;DC;969008;26236.36364
12/01/2019 18.23;3022;Turun linja-autoasema;12/01/2019 18.23;12/01/2019 19.33;71;4060;AC;973068;3430.985915
12/01/2019 22.44;1126;ABC Tammisilta;12/01/2019 22.44;12/01/2019 22.59;16;11026;DC;984094;41347.5
13/01/2019 10.04;1100;Puutarhakatu 4;13/01/2019 10.04;13/01/2019 12.19;135;7450;AC;991544;3311.111111
13/01/2019 10.18;1126;ABC Tammisilta;13/01/2019 10.18;13/01/2019 10.33;16;3910;DC;995454;14662.5
13/01/2019 11.15;6442;Turun Messukeskus;13/01/2019 11.15;13/01/2019 13.53;159;2302;AC;997756;868.6792453
13/01/2019 11.57;3022;Turun linja-autoasema;13/01/2019 11.57;13/01/2019 12.59;62;3586;AC;1001342;3470.322581
13/01/2019 12.22;1086;Turun linja-autoasema;13/01/2019 12.22;13/01/2019 13.46;85;4510;AC;1005852;3183.529412
13/01/2019 13.05;1126;ABC Tammisilta;13/01/2019 13.05;13/01/2019 13.29;25;5086;DC;1010938;12206.4
13/01/2019 13.42;1100;Puutarhakatu 4;13/01/2019 13.42;13/01/2019 17.48;246;5350;AC;1016288;1304.878049
13/01/2019 14.26;1126;ABC Tammisilta;13/01/2019 14.26;13/01/2019 14.39;14;2554;DC;1018842;10945.71429
13/01/2019 16.52;2652;Puistokatu 10;13/01/2019 16.52;13/01/2019 17.34;42;0;AC;1018842;0
13/01/2019 16.58;1126;ABC Tammisilta;13/01/2019 16.58;13/01/2019 17.08;11;7249;DC;1026091;39540
13/01/2019 18.32;1086;Turun linja-autoasema;13/01/2019 18.32;13/01/2019 19.00;28;1400;AC;1027491;3000
13/01/2019 19.30;1100;Puutarhakatu 4;13/01/2019 19.30;13/01/2019 21.06;97;4760;AC;1032251;2944.329897
14/01/2019 07.02;2500;Stedingkinkatu 2;14/01/2019 07.02;14/01/2019 09.06;124;0;AC;1032251;0
14/01/2019 08.02;2653;Puistokatu 10;14/01/2019 08.02;14/01/2019 09.14;73;0;AC;1032251;0
14/01/2019 08.09;1086;Turun linja-autoasema;14/01/2019 08.09;14/01/2019 09.38;89;4860;AC;1037111;3276.404494
14/01/2019 08.17;1140;Hämeenkatu 8;14/01/2019 08.17;14/01/2019 12.22;245;6480;AC;1043591;1586.938776
14/01/2019 08.50;3023;Turun linja-autoasema;14/01/2019 08.50;14/01/2019 09.15;26;5022;DC;1048613;11589.23077
14/01/2019 11.20;1126;ABC Tammisilta;14/01/2019 11.20;14/01/2019 11.53;33;20758;DC;1069371;37741.81818
14/01/2019 11.30;1100;Puutarhakatu 4;14/01/2019 11.30;14/01/2019 13.32;122;6600;AC;1075971;3245.901639
14/01/2019 11.40;2652;Puistokatu 10;14/01/2019 11.40;14/01/2019 13.18;99;0;AC;1075971;0
14/01/2019 14.00;1100;Puutarhakatu 4;14/01/2019 14.00;14/01/2019 14.52;52;2940;AC;1078911;3392.307692
14/01/2019 14.06;3022;Turun linja-autoasema;14/01/2019 14.06;14/01/2019 14.39;34;589;AC;1079500;1039.411765
14/01/2019 14.12;2500;Stedingkinkatu 2;14/01/2019 14.12;14/01/2019 15.20;68;0;AC;1079500;0
14/01/2019 14.21;1086;Turun linja-autoasema;14/01/2019 14.21;14/01/2019 17.10;169;7300;AC;1086800;2591.715976
14/01/2019 15.14;1100;Puutarhakatu 4;14/01/2019 15.14;14/01/2019 18.20;186;7090;AC;1093890;2287.096774
14/01/2019 16.30;2652;Puistokatu 10;14/01/2019 16.30;14/01/2019 17.23;53;0;AC;1093890;0
14/01/2019 17.46;2652;Puistokatu 10;14/01/2019 17.46;14/01/2019 21.01;196;0;AC;1093890;0
14/01/2019 17.52;2500;Stedingkinkatu 2;14/01/2019 17.52;14/01/2019 20.34;163;0;AC;1093890;0
14/01/2019 20.50;3023;Turun linja-autoasema;14/01/2019 20.50;14/01/2019 21.23;33;13084;DC;1106974;23789.09091
14/01/2019 22.45;1086;Turun linja-autoasema;14/01/2019 22.45;14/01/2019 22.56;12;590;AC;1107564;2950
15/01/2019 07.16;1100;Puutarhakatu 4;15/01/2019 07.16;15/01/2019 08.51;95;4980;AC;1112544;3145.263158
15/01/2019 08.05;3023;Turun linja-autoasema;15/01/2019 08.05;15/01/2019 09.13;69;13939;DC;1126483;12120.86957
15/01/2019 08.08;1140;Hämeenkatu 8;15/01/2019 08.08;15/01/2019 12.24;256;6400;AC;1132883;1500
15/01/2019 08.16;1138;Hämeenkatu 8;15/01/2019 08.16;15/01/2019 16.15;479;6590;AC;1139473;825.4697286
15/01/2019 08.18;2653;Puistokatu 10;15/01/2019 08.18;15/01/2019 09.34;76;0;AC;1139473;0
15/01/2019 08.59;1086;Turun linja-autoasema;15/01/2019 08.59;15/01/2019 10.16;78;1130;AC;1140603;869.2307692
15/01/2019 09.06;2500;Stedingkinkatu 2;15/01/2019 09.06;15/01/2019 10.59;113;0;AC;1140603;0
15/01/2019 09.17;3023;Turun linja-autoasema;15/01/2019 09.17;15/01/2019 09.26;9;457;DC;1141060;3046.666667
15/01/2019 10.19;1100;Puutarhakatu 4;15/01/2019 10.19;15/01/2019 16.54;396;7850;AC;1148910;1189.393939
15/01/2019 10.31;2501;Stedingkinkatu 2;15/01/2019 10.31;15/01/2019 12.40;130;0;AC;1148910;0
15/01/2019 11.47;3022;Turun linja-autoasema;15/01/2019 11.47;15/01/2019 13.07;80;4575;AC;1153485;3431.25
15/01/2019 12.51;1086;Turun linja-autoasema;15/01/2019 12.51;15/01/2019 13.17;26;1250;AC;1154735;2884.615385
15/01/2019 14.05;4667;Logomo;15/01/2019 14.05;15/01/2019 16.09;124;6590;AC;1161325;3188.709677
15/01/2019 14.33;1140;Hämeenkatu 8;15/01/2019 14.33;15/01/2019 16.17;104;10760;AC;1172085;6207.692308
15/01/2019 14.51;3022;Turun linja-autoasema;15/01/2019 14.51;15/01/2019 17.15;145;7461;AC;1179546;3087.310345
15/01/2019 16.28;1086;Turun linja-autoasema;15/01/2019 16.28;15/01/2019 17.43;76;2840;AC;1182386;2242.105263
15/01/2019 17.32;1126;ABC Tammisilta;15/01/2019 17.32;15/01/2019 17.50;18;9393;DC;1191779;31310
15/01/2019 18.55;1126;ABC Tammisilta;15/01/2019 18.55;15/01/2019 19.35;41;10541;DC;1202320;15425.85366
15/01/2019 19.40;1100;Puutarhakatu 4;15/01/2019 19.40;16/01/2019 06.53;674;6960;AC;1209280;619.5845697
15/01/2019 19.54;3022;Turun linja-autoasema;15/01/2019 19.54;15/01/2019 20.25;31;1708;AC;1210988;3305.806452
16/01/2019 07.48;2500;Stedingkinkatu 2;16/01/2019 07.48;16/01/2019 07.50;2;0;AC;1210988;0
16/01/2019 08.13;1140;Hämeenkatu 8;16/01/2019 08.13;16/01/2019 13.01;288;6140;AC;1217128;1279.166667
