Created;Station ID;Station name;Start time;Stop time;Duration;Energy (Wh);Plug type;Cumulative energy (Wh);Colonna1
11/12/2019 11.02;2501;Stedingkinkatu 2;11/12/2019 11.02;11/12/2019 11.16;14;650;AC;37988797;2785.714286
11/12/2019 11.27;1138;Hämeenkatu 8;11/12/2019 11.27;11/12/2019 13.27;120;6620;AC;37995417;3310
11/12/2019 11.37;1126;ABC Tammisilta;11/12/2019 11.37;11/12/2019 11.46;9;2769;DC;37998186;18460
11/12/2019 12.17;1086;Turun linja-autoasema;11/12/2019 12.17;11/12/2019 15.19;183;920;AC;37999106;301.6393443
11/12/2019 12.35;2501;Stedingkinkatu 2;11/12/2019 12.35;11/12/2019 13.52;77;2050;AC;38001156;1597.402597
11/12/2019 12.47;1099;Puutarhakatu 4;11/12/2019 12.47;11/12/2019 15.29;163;8350;AC;38009506;3073.619632
11/12/2019 12.50;3022;Turun linja-autoasema;11/12/2019 12.50;11/12/2019 13.16;27;1528;AC;38011034;3395.555556
11/12/2019 13.17;1100;Puutarhakatu 4;11/12/2019 13.17;11/12/2019 15.55;158;4250;AC;38015284;1613.924051
11/12/2019 14.15;2501;Stedingkinkatu 2;11/12/2019 14.15;12/12/2019 11.07;1253;4640;AC;38019924;222.1867518
11/12/2019 15.11;4667;Logomo;11/12/2019 15.11;11/12/2019 16.31;81;4560;AC;38024484;3377.777778
11/12/2019 15.45;1086;Turun linja-autoasema;11/12/2019 15.45;11/12/2019 16.52;67;3370;AC;38027854;3017.910448
11/12/2019 15.49;1099;Puutarhakatu 4;11/12/2019 15.49;11/12/2019 17.57;128;2200;AC;38030054;1031.25
11/12/2019 16.29;1140;Hämeenkatu 8;11/12/2019 16.29;11/12/2019 17.08;40;6310;AC;38036364;9465
11/12/2019 17.03;1138;Hämeenkatu 8;11/12/2019 17.03;11/12/2019 19.51;168;0;AC;38036364;0
11/12/2019 17.21;1100;Puutarhakatu 4;11/12/2019 17.21;11/12/2019 17.21;1;0;AC;38036364;0
11/12/2019 17.22;1100;Puutarhakatu 4;11/12/2019 17.22;11/12/2019 18.56;95;12910;AC;38049274;8153.684211
11/12/2019 18.52;1099;Puutarhakatu 4;11/12/2019 18.52;11/12/2019 22.27;216;60730;AC;38110004;16869.44444
11/12/2019 18.55;3023;Turun linja-autoasema;11/12/2019 18.55;11/12/2019 19.08;13;5346;DC;38115350;24673.84615
11/12/2019 19.07;1100;Puutarhakatu 4;11/12/2019 19.07;11/12/2019 22.43;216;9410;AC;38124760;2613.888889
11/12/2019 19.51;1138;Hämeenkatu 8;11/12/2019 19.51;13/12/2019 09.26;2255;0;AC;38124760;0
11/12/2019 21.59;1126;ABC Tammisilta;11/12/2019 21.59;11/12/2019 22.04;6;2404;DC;38127164;24040
11/12/2019 22.38;2652;Puistokatu 10;11/12/2019 22.38;12/12/2019 07.36;539;2310;AC;38129474;257.1428571
12/12/2019 07.18;1099;Puutarhakatu 4;12/12/2019 07.18;12/12/2019 13.22;365;3310;AC;38132784;544.109589
12/12/2019 07.58;3022;Turun linja-autoasema;12/12/2019 07.58;12/12/2019 09.41;103;5285;AC;38138069;3078.640777
12/12/2019 08.03;1140;Hämeenkatu 8;12/12/2019 08.03;12/12/2019 09.10;67;7920;AC;38145989;7092.537313
12/12/2019 08.21;1100;Puutarhakatu 4;12/12/2019 08.21;12/12/2019 12.53;272;7360;AC;38153349;1623.529412
12/12/2019 08.23;2653;Puistokatu 10;12/12/2019 08.23;13/12/2019 08.22;1439;7250;AC;38160599;302.2932592
12/12/2019 08.44;2652;Puistokatu 10;12/12/2019 08.44;13/12/2019 08.32;1429;3760;AC;38164359;157.8726382
12/12/2019 08.52;1086;Turun linja-autoasema;12/12/2019 08.52;12/12/2019 12.29;217;6900;AC;38171259;1907.834101
12/12/2019 09.23;1140;Hämeenkatu 8;12/12/2019 09.23;12/12/2019 14.28;306;4830;AC;38176089;947.0588235
12/12/2019 10.52;6442;Turun Messukeskus;12/12/2019 10.52;12/12/2019 11.21;30;1803;AC;38177892;3606
12/12/2019 11.26;3022;Turun linja-autoasema;12/12/2019 11.26;12/12/2019 11.37;12;573;AC;38178465;2865
12/12/2019 11.50;4667;Logomo;12/12/2019 11.50;12/12/2019 13.08;78;3650;AC;38182115;2807.692308
12/12/2019 12.04;3023;Turun linja-autoasema;12/12/2019 12.04;12/12/2019 12.25;22;5451;DC;38187566;14866.36364
12/12/2019 12.13;1126;ABC Tammisilta;12/12/2019 12.13;12/12/2019 12.13;0;0;DC;38187566;#DIV/0!
12/12/2019 12.17;6442;Turun Messukeskus;12/12/2019 12.17;12/12/2019 15.25;189;6309;AC;38193875;2002.857143
12/12/2019 12.32;1086;Turun linja-autoasema;12/12/2019 12.32;12/12/2019 12.32;1;0;AC;38193875;0
12/12/2019 12.33;1086;Turun linja-autoasema;12/12/2019 12.33;12/12/2019 15.29;176;6560;AC;38200435;2236.363636
12/12/2019 13.20;4667;Logomo;12/12/2019 13.20;12/12/2019 13.49;29;3250;AC;38203685;6724.137931
12/12/2019 13.25;1100;Puutarhakatu 4;12/12/2019 13.25;12/12/2019 15.06;101;1500;AC;38205185;891.0891089
12/12/2019 13.45;4666;Logomo;12/12/2019 13.45;12/12/2019 13.57;12;590;AC;38205775;2950
12/12/2019 14.19;1099;Puutarhakatu 4;12/12/2019 14.19;12/12/2019 16.48;150;1260;AC;38207035;504
12/12/2019 14.30;1140;Hämeenkatu 8;12/12/2019 14.30;12/12/2019 15.14;44;2400;AC;38209435;3272.727273
12/12/2019 15.16;1140;Hämeenkatu 8;12/12/2019 15.16;13/12/2019 08.26;1030;6680;AC;38216115;389.1262136
12/12/2019 15.49;1126;ABC Tammisilta;12/12/2019 15.49;12/12/2019 16.11;23;16068;DC;38232183;41916.52174
12/12/2019 15.52;3022;Turun linja-autoasema;12/12/2019 15.52;12/12/2019 17.14;82;4691;AC;38236874;3432.439024
12/12/2019 15.55;4667;Logomo;12/12/2019 15.55;12/12/2019 18.57;183;5380;AC;38242254;1763.934426
12/12/2019 15.57;1100;Puutarhakatu 4;12/12/2019 15.57;12/12/2019 19.12;196;3460;AC;38245714;1059.183673
12/12/2019 17.19;3023;Turun linja-autoasema;12/12/2019 17.19;12/12/2019 17.24;6;1317;DC;38247031;13170
12/12/2019 17.25;1099;Puutarhakatu 4;12/12/2019 17.25;12/12/2019 19.49;145;12110;AC;38259141;5011.034483
12/12/2019 17.47;3022;Turun linja-autoasema;12/12/2019 17.47;12/12/2019 20.14;148;8035;AC;38267176;3257.432432
12/12/2019 19.02;3023;Turun linja-autoasema;12/12/2019 19.02;12/12/2019 20.06;65;29661;DC;38296837;27379.38462
