start_date,station_name,charging_time_hh_mm_ss,energy_kwh,address_1,address_2,city,state_province,zip_postal_code,fee,model_number,latitude,longitude,geopoint
2022-01-13T21:27:06+00:00,TOWN OF CARY / DT DECK P4,8:09:02,49.852,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.783203,-78.779366,35.783203
2022-03-30T12:55:08+00:00,TOWN OF CARY / DT DECK P2 (1),4:36:26,28.129,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-03-30T22:04:23+00:00,TOWN OF CARY / BOND PARK BH,0:49:36,2.897,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-30T00:24:17+00:00,TOWN OF CARY / TOWN HALL-PWH,1:07:37,3.414,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-29T13:25:34+00:00,TOWN OF CARY / DT DECK P2 (1),10:35:09,58.688,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-03-29T16:25:14+00:00,TOWN OF CARY / TOWN HALL-PWH,2:59:13,15.765,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-28T21:04:39+00:00,TOWN OF CARY / BOND PARK BH,0:04:08,0.248,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-28T16:32:50+00:00,TOWN OF CARY / TOWN HALL-PWH,3:43:16,22.2,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-27T11:41:40+00:00,TOWN OF CARY / BOND PARK BH,3:04:38,22.544,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-25T22:56:21+00:00,TOWN OF CARY / DT DECK P2 (2),1:11:44,7.603,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-25T20:03:59+00:00,TOWN OF CARY / DT DECK P2 (2),1:30:07,5.083,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-25T20:13:24+00:00,TOWN OF CARY / BOND PARK BH,1:15:47,9.16,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-25T20:52:15+00:00,TOWN OF CARY / DT DECK P2 (1),0:01:11,0.104,113 Walnut St,,Cary,North Carolina,27511,0,CT4025-HD-GW,35.785446,-78.779411,35.785446
2022-03-25T16:50:57+00:00,TOWN OF CARY / BOND PARK BH,0:18:43,2.162,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-25T11:55:58+00:00,TOWN OF CARY / BOND PARK BH,1:43:23,6.024,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-24T17:36:00+00:00,TOWN OF CARY / BOND PARK BH,0:15:05,1.621,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-24T16:21:24+00:00,TOWN OF CARY / DT DECK P2 (2),1:15:57,4.266,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-23T23:58:14+00:00,TOWN OF CARY / BOND PARK BH,0:00:46,0.079,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-23T22:49:29+00:00,TOWN OF CARY / BOND PARK BH,0:22:59,2.682,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-23T00:05:48+00:00,TOWN OF CARY / DT DECK P2 (2),0:54:14,2.756,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-22T23:31:14+00:00,TOWN OF CARY / BOND PARK BH,0:22:07,2.446,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-22T20:21:29+00:00,TOWN OF CARY / BOND PARK BH,3:23:25,4.702,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-22T14:11:48+00:00,TOWN OF CARY / TOWN HALL-PWH,5:24:28,32.214,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0,CT4020-HD-GW,35.789215,-78.778816,35.789215
2022-03-21T21:35:46+00:00,TOWN OF CARY / BOND PARK BH,1:05:23,7.96,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-21T15:08:08+00:00,TOWN OF CARY / BOND PARK BH,1:31:51,11.067,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-21T13:46:31+00:00,TOWN OF CARY / BOND PARK BH,0:58:19,5.489,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-20T15:19:55+00:00,TOWN OF CARY / BOND PARK BH,1:23:37,10.099,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-19T20:25:39+00:00,TOWN OF CARY / BOND PARK BH,1:43:12,12.311,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-19T15:25:54+00:00,TOWN OF CARY / BOND PARK BH,1:25:54,10.552,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-18T18:27:13+00:00,TOWN OF CARY / BOND PARK BH,2:40:17,12.154,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-17T22:13:46+00:00,TOWN OF CARY / BOND PARK BH,1:14:50,9.049,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-17T20:56:43+00:00,TOWN OF CARY / DT DECK P2 (2),0:41:43,4.327,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-17T19:41:41+00:00,TOWN OF CARY / DT DECK P2 (2),1:40:20,5.446,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-16T12:57:00+00:00,TOWN OF CARY / BOND PARK BH,4:45:28,34.678,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-16T15:42:29+00:00,TOWN OF CARY / DT DECK P2 (2),1:34:26,9.644,113 Walnut St,,Cary,North Carolina,27511,0,CT4020-HD-GW,35.785385,-78.779701,35.785385
2022-03-15T13:32:29+00:00,TOWN OF CARY / BOND PARK BH,1:56:34,14.047,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-14T16:12:40+00:00,TOWN OF CARY / BOND PARK BH,4:00:29,29.164,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
2022-03-13T21:47:53+00:00,TOWN OF CARY / BOND PARK BH,3:51:54,9.901,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0,CT4020-HD-GW,35.781303,-78.825554,35.781303
