X,Y,ObjectId,OperatorInfo,OperatorInfoWebsite,UsageType,MembershipRequired,PayAtLocation,KeyRequired,StatusType,AddressSpecs,AddressInfo,City,latitude,Longitude,Connections,NumberOfPoints,GlobalID
1848419.4017,6311051.2446,11,(Business Owner at Location),Unknown,"Private - For Staff, Visitors or Customers",False,False,False,Operational,Hotel Avanti,Střední 61,Brno,49.2128276,16.604634,"[{'Amps': 20, 'Voltage': 400, 'PowerKW': 14.0, 'Quantity': 2, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}]",2,{C25D5BEA-FAFB-4A49-9D1B-2943A4DEC0E3}
1848811.0246,6311853.4048,12,ČEZ,http://www.elektromobilita.cz/,Public - Membership Required,True,False,True,Operational,Cimburkova,Cimburkova,Brno,49.2175346561827,16.608152008029,"[{'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CCS (Type 2)', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}]",4,{B977888F-D188-4B24-B30B-E3E8C40897E6}
1848598.0695,6312118.4779,13,(Business Owner at Location),Unknown,"Private - For Staff, Visitors or Customers",False,False,False,Operational,Noem Arch,Cimburkova 9 ,Brno,49.21909,16.606239,"[{'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 2, 'ConnectionType': 'CEE 5 Pin', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}]",1,{03E4490E-8D6D-470D-BD91-BDC89248B57D}
1855451.3871,6309200.182,14,(Business Owner at Location),Unknown,Public,Unknown,Unknown,Unknown,Operational,Billa Brno-Líšeň, Sedláčkova 2557/4,Brno,49.2019639,16.6678034,"[{'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 2, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}, {'Amps': 16, 'Voltage': 230, 'PowerKW': 3.5, 'Quantity': 1, 'ConnectionType': 'CEE 7/5', 'StatusType': 'Operational', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}]",1,{DE649AD4-D004-41A2-9482-BA616459450A}
1855369.159,6305947.0826,15,ČEZ,http://www.elektromobilita.cz/,Public - Membership Required,True,False,True,Operational,1481/31 Řípská,1481/31 Řípská,Brno,49.1828660030693,16.6670647321027,"[{'Amps': 32, 'Voltage': 400, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}, {'Amps': 32, 'Voltage': 400, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CCS (Type 2)', 'StatusType': 'Operational', 'CurrentType': 'Unknown', 'IsFastChargeCapable': False}, {'Amps': 32, 'Voltage': 400, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Operational', 'CurrentType': 'Unknown', 'IsFastChargeCapable': False}]",2,{87F514FD-2BB2-4A1F-9E75-5FD31966F82A}
1853443.9892,6306508.9241,16,ČEZ,http://www.elektromobilita.cz/,Public - Membership Required,True,False,True,Operational,AAA Auto,Černovická 1183/38,Brno,49.1861649203361,16.6497706375733,"[{'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CHAdeMO', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': None, 'Voltage': None, 'PowerKW': 50.0, 'Quantity': 1, 'ConnectionType': 'CCS (Type 2)', 'StatusType': 'Operational', 'CurrentType': 'DC', 'IsFastChargeCapable': True}, {'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}]",1,{77BFFB00-870B-4A7C-9A9E-883187850B8E}
1849539.9825,6306841.3858,17,E.ON (CZ),http://www.ekobonus.cz/ekologicka-doprava/elektromobilita,Public,Unknown,Unknown,Unknown,Operational,Galerie Vaňkovka,Ve Vaňkovce 1,Brno,49.1881169033673,16.6147003490002,"[{'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'CEE 5 Pin', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}, {'Amps': 16, 'Voltage': 230, 'PowerKW': 3.68, 'Quantity': 2, 'ConnectionType': 'CEE 7/5', 'StatusType': 'Operational', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}, {'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Planned For Future Date', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}]",1,{BE799EC0-EF14-4585-A77A-4EA9B5E0BDC6}
1850075.2346,6305276.8384,18,(Business Owner at Location),Unknown,"Private - For Staff, Visitors or Customers",False,False,False,Operational,City Apart Hotel Brno*** garage ,Komárovské nábřeží 2,Brno,49.1789303,16.6195086,"[{'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'CEE 5 Pin', 'StatusType': 'Operational', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}, {'Amps': 16, 'Voltage': 230, 'PowerKW': 3.5, 'Quantity': 1, 'ConnectionType': 'CEE 7/5', 'StatusType': 'Operational', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}]",1,{2B020D28-BE6D-46D3-B56A-D9D13EA1B308}
1851099.7265,6301517.9288,19,PRE (cz),https://www.pre.cz/cs/profil-spolecnosti/dalsi-aktivity-pre/premobilita/,Public - Membership Required,True,False,True,Unknown,Avion Shopping Park Brno,Skandinávská 2,Dolní Heršpice,49.1568520172127,16.6287117675979,"[{'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'Type 2 (Socket Only)', 'StatusType': 'Unknown', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}, {'Amps': 16, 'Voltage': 230, 'PowerKW': 3.6, 'Quantity': 1, 'ConnectionType': 'CEE 7/5', 'StatusType': 'Unknown', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}]",1,{CF89333A-7394-4A9B-A645-E557E0E2894A}
1850305.5435,6302386.3603,20,(Business Owner at Location),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"KOALA ELEKTRONIK, s.r.o. ",Firemní 709/4,Brno,49.1619537,16.6215775000001,"[{'Amps': 32, 'Voltage': 400, 'PowerKW': 22.0, 'Quantity': 1, 'ConnectionType': 'CEE 5 Pin', 'StatusType': 'Unknown', 'CurrentType': 'AC (Three-Phase)', 'IsFastChargeCapable': False}, {'Amps': 16, 'Voltage': 230, 'PowerKW': 3.6, 'Quantity': 1, 'ConnectionType': 'CEE 7/5', 'StatusType': 'Unknown', 'CurrentType': 'AC (Single-Phase)', 'IsFastChargeCapable': False}]",1,{DA17048F-BCAD-4039-B6B9-4A86E024F29F}
