location,start_date,station_name,charging_time_hh_mm_ss,energy_kwh,address_1,address_2,city,state_province,zip_postal_code,fee,model_number,latitude,longitude,location_2
POINT(-78.779282 35.785282),1643574791,TOWN OF CARY / DT DECK P3 WEST,00:24:30,2.386,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.779282 35.785282),1643471264,TOWN OF CARY / DT DECK P3 WEST,01:01:19,4.396,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.778816 35.789215),1643154718,TOWN OF CARY / TOWN HALL-PWH,06:56:21,36.591,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.825554 35.781303),1643120315,TOWN OF CARY / BOND PARK BH,04:50:19,35.365,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.778816 35.789215),1643117758,TOWN OF CARY / TOWN HALL-PWH,01:33:58,4.604,228 Ambassador Loop,Page-Walker Hotel,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.789215,-78.778816,POINT(-78.778816 35.789215)
POINT(-78.779701 35.785385),1643125962,TOWN OF CARY / DT DECK P2 (2),00:00:00,0.0,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4020-HD-GW,35.785385,-78.779701,POINT(-78.779701 35.785385)
POINT(-78.779282 35.785282),1643052024,TOWN OF CARY / DT DECK P3 WEST,01:25:59,7.636,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785282,-78.779282,POINT(-78.779282 35.785282)
POINT(-78.825554 35.781303),1643055790,TOWN OF CARY / BOND PARK BH,00:21:36,2.608,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.825554 35.781303),1642972394,TOWN OF CARY / BOND PARK BH,06:28:18,36.951,801 High House Road,Bond Park Boathouse,Cary,North Carolina,27513,0.0,CT4020-HD-GW,35.781303,-78.825554,POINT(-78.825554 35.781303)
POINT(-78.779411 35.785446),1642971664,TOWN OF CARY / DT DECK P2 (1),02:07:00,6.908,113 Walnut St,,Cary,North Carolina,27511,0.0,CT4025-HD-GW,35.785446,-78.779411,POINT(-78.779411 35.785446)
