Latitude,Longitude,charger_type
-38.143296,144.361213,Type2
-37.736669,144.969336,Type2
-37.871723,145.245056,Type2
-37.812603,145.011729,Type2
-37.81890714,144.9577073,Type2
-37.719767,144.89451,Type2
-37.82022948,145.0402257,Type2
-28.16419699,153.5152736,Type2
-22.8276466,149.9327812,Type2
-16.9036743,145.7617551,Type2
-37.81581182,144.9595123,Type2
-37.843884,144.782596,Type2
-37.796959,145.280091,Type2
-36.38578464,145.3969653,Type2
-37.87579762,145.0436391,Type2
-37.826921,145.020707,Type2
-37.713815,144.601847,Type2
-37.673703,145.166098,Type2
-37.809802,144.948932,Type2
-37.79687512,144.926417,Type2
-37.875049,144.612648,Type2
-38.026209,145.311511,Type2
-20.0658342,146.2617747,Type2
-37.751827,144.775257,Type2
-38.197552,144.344603,Type2
-38.398895,144.870509,Three_Phase
-37.816254,144.954636,Three_Phase
-37.83170783,144.9965223,Three_Phase
-37.735219,144.887807,Three_Phase
-38.215455,145.035453,Three_Phase
-37.950836,145.162663,Three_Phase
-16.9036743,145.7617551,Three_Phase
-38.33856,144.737043,CHAdeMO
-37.51059,145.118412,CHAdeMO
-37.863399,144.831492,CHAdeMO
-37.84646146,144.8088603,CHAdeMO
-36.72751175,145.5935891,CHAdeMO
-37.97134,145.223814,CHAdeMO
-37.722801,144.572251,CHAdeMO
-37.820819,145.039887,CHAdeMO
-37.713651,144.885527,CHAdeMO
-37.702614,144.969502,CHAdeMO
-37.86361164,144.8310105,CHAdeMO
-36.75541431,144.2870008,CHAdeMO
-25.23560702,152.2788755,CHAdeMO
-38.246677,144.540122,CHAdeMO
-24.32778446,151.5601492,CHAdeMO
-37.804471,144.99327,CHAdeMO
-16.5271215,145.4631622,CHAdeMO
-37.76693229,145.0308257,CHAdeMO
-37.908137,145.131936,CHAdeMO
-35.94048354,144.7255162,CHAdeMO
-37.773851,144.961886,CHAdeMO
-37.82377034,144.9265125,CHAdeMO
-38.505496,145.148488,CHAdeMO
-37.71912127,144.9615062,CHAdeMO
-37.69657,144.78212,CHAdeMO
-38.054795,145.115952,CHAdeMO
-26.418047,152.911429,CHAdeMO
-36.631158,142.2229192,CHAdeMO
-38.05485257,145.1166042,CHAdeMO
-37.959394,145.017704,CHAdeMO
-36.37203068,143.6109526,CHAdeMO
-37.0506023,143.7418516,CHAdeMO
-19.5740619,147.4056813,CHAdeMO
-37.876073,145.043688,CHAdeMO
-37.51043222,145.11856,CHAdeMO
-37.3558872,144.5282275,CHAdeMO
-27.44449167,153.0836111,CHAdeMO
-37.17227961,144.4757619,CHAdeMO
-37.77360197,144.9618831,CHAdeMO
-36.53193077,143.8615516,CHAdeMO
-37.46933398,143.8550343,CHAdeMO
-37.9214,145.237553,CHAdeMO
-37.90797166,145.1312195,CHAdeMO
-37.72198498,144.5729271,CHAdeMO
-27.68194444,152.8997222,CHAdeMO
-37.94260024,145.1197763,CHAdeMO
-23.38227211,150.5134619,CHAdeMO
-37.716016,144.599558,CHAdeMO
-37.942988,145.11844,CHAdeMO
-18.2625592,146.0249012,CHAdeMO
-16.923837,145.7796679,CHAdeMO
-17.5209629,146.0261103,CHAdeMO
-38.33811816,144.7372775,CHAdeMO
-16.92045651,145.7788731,CHAdeMO
-37.70191464,144.9681533,CHAdeMO
-37.68247053,145.0710002,CHAdeMO
-22.82764427,149.9327796,CHAdeMO
-37.95950238,145.0169255,CHAdeMO
-17.9347544,145.9253729,CHAdeMO
-37.92549673,145.0278825,CHAdeMO
-17.93486278,145.9244323,CHAdeMO
-37.74058156,144.9694655,CHAdeMO
-37.648097,144.994195,CHAdeMO
-37.84667,144.809201,CHAdeMO
-38.34035,144.310815,CHAdeMO
-36.90919906,144.2670216,CHAdeMO
-16.9198193,145.7805076,CHAdeMO
-21.90865281,149.4090921,CHAdeMO
-37.80425886,144.9932374,CHAdeMO
-37.83192,145.213897,CHAdeMO
-27.55140366,152.3350726,CHAdeMO
-37.828073,144.925718,CHAdeMO
-37.69671193,144.7823411,CHAdeMO
-37.683069,145.071032,CHAdeMO
-37.74111,144.970149,CHAdeMO
-37.85392974,145.1043512,CHAdeMO
-37.71596946,144.5972922,CHAdeMO
