ID,PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,CODIMUN,NPLACES ESTACIÓ,TIPUS VEHICLE,Georeferència
44182606,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,semiRAPID,,41.393463,2.204479,EdR Barcelona Ronda del Litoral Sortida 23,0,AC,"Ronda del Litoral Sortida 23 - Avinguda  Litoral, 49",Barcelona,8,Barcelona,80193,,,POINT (2.204479 41.393464)
44182286,Institut Català d'Energia - Ajuntament de Martorell,tarjeta,semiRAPID,MENNEKES.M,41.475666,1.928167,EdR Martorell,22,AC,"C. Revall, Barcelona",Barcelona,8,Martorell,81141,,,POINT (1.928167 41.475667)
44182294,Institut Català d'Energia - Ajuntament de Juneda,tarjeta,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.547047,0.828654,"Camí Borges, 3",55,AC/DC,"Carrer Cami Borges, 54, 25430 Juneda, Llei...",Lleida,25,Juneda,251193,,,POINT (0.828654 41.547045)
44182491,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,semiRAPID i NORMAL,MENNEKES.M+Schuko,41.374657,2.160033,EdR Barcelona Plaça Navas,10,AC,"Carrer deJaume Fabra, 12",Barcelona,8,Barcelona,80193,,,POINT (2.160033 41.374658)
44182234,Institut Català d'Energia - Ajuntament de Montblanc,tarjeta,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.377373,1.163606,EdRR Montblanc (AC-DC50kW),55,AC/DC,"Muralla de Sta. Tecla, 51, 43400 Montblanc...",Tarragona,43,Montblanc,430862,,,POINT (1.163606 41.377373)
44186144,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.39726,2.159045,62126022680004,50,AC/DC,"SABA - Jardines Ps. Gràcia, Barcelona, Spain",Barcelona,8,Barcelona,80193,,,POINT (2.159045 41.39726)
44185841,Institut Català d'Energia - Ajuntament de Llanars,tarjeta,semiRAPID,MENNEKES.M,42.3211,2.346434,EdR H GREVOL,22,AC,"HOTEL GREVOL NNSS - Avinguda de les Saletes,",Girona,17,Llanars,170911,,,POINT (2.346434 42.321098)
44182695,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.445583,2.190641,EdRR Barcelona-B:SM 26,41,AC/DC,Passeig Torras i Bages 124,Barcelona,8,Barcelona,80193,,,POINT (2.190641 41.445583)
44185834,Institut Català d'Energia - Ajuntament de Olivella,tarjeta,RAPID i semiRAPID,CCS Combo2,41.29752,1.777909,C6E06BCC21YCSHEVSV,60,DC,"Carrer del Aquari, 08818, Barcelona, Spain",Barcelona,8,Olivella,81483,,,POINT (1.777909 41.29752)
11423942,Institut Català d'Energia - Ajuntament de Barcelona,APARCAMENT HOTEL,semiRAPID,TESLA,41.38537,2.15675,TESLA Destinació - Hotel Acevi Villarroel (11kW),0,AC,"Carrer Villaroel, 106",Barcelona,8,Barcelona,80193,1,cotxe,POINT (2.15675 41.38537)
44186238,Institut Català d'Energia - Ajuntament de Girona,tarjeta,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.992496,2.81896,EdRR Girona N (AC-DC50kW) PIRVEC-5,50,AC/DC,"Carrer Joan Josep Tharrats i Vidal, 2",Girona,17,Girona,170792,,,POINT (2.81896 41.992495)
44182169,Institut Català d'Energia - Ajuntament de Tarragona,tarjeta,semiRAPID,MENNEKES.M,41.12216,1.206972,EdR Tarragona,22,AC,"Poliesportiu, 43006 Tarragona, Spain",Tarragona,43,Tarragona,431482,,,POINT (1.206972 41.122162)
44182290,Institut Català d'Energia - Ajuntament de Mollerussa,tarjeta,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.624805,0.894075,EdRR Mollerussa (AC-DC55kW) PIRVEC-73,55,AC/DC,"Carrer Llorenç Vilaró, 7, 25230 Mollerussa...",Lleida,25,Mollerussa,251370,,,POINT (0.894075 41.624804)
44182597,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,semiRAPID i NORMAL,Schuko,41.4424,2.197355,EdR Barcelona República Dominicana,0,AC,República Dominicana - Potosí,Barcelona,8,Barcelona,80193,,,POINT (2.197355 41.4424)
44185860,Institut Català d'Energia - Ajuntament de Vic,tarjeta,semiRAPID,MENNEKES.M,41.933228,2.260219,EdR Vic,10,AC,Carrer Josep Maria Sert,Barcelona,8,Vic,82981,,,POINT (2.260219 41.933226)
44182195,Institut Català d'Energia - Ajuntament de Berga,tarjeta,semiRAPID,MENNEKES.M,42.092537,1.825572,EdR Berga,22,AC,"Cami de Can BallÃºs, polÃ­gon industrial la ...",Barcelona,8,Berga,80229,,,POINT (1.825572 42.092536)
44186087,Institut Català d'Energia - Ajuntament de l'Hospitalet de Llobregat,tarjeta,semiRAPID,MENNEKES.M,41.35347,2.127833,EdR L'Hospitalet de Llobregat,10,AC,"FIRA PABELLON A - Avinguda Joan Carles I,",Barcelona,8,l'Hospitalet de Llobregat,81017,,,POINT (2.127833 41.35347)
44186059,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,semiRAPID,MENNEKES.M,41.385895,2.170416,EdR BAMSA RCatalunya4,22,AC,"BAMSA - Rambla de Catalunya, 08007",Barcelona,8,Barcelona,80193,,,POINT (2.170416 41.385895)
44182666,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,superRAPID i RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.38985,2.13795,EdRR Barcelona-B:SM 18,83,AC/DC,Carrer de Entença 335,Barcelona,8,Barcelona,80193,,,POINT (2.13795 41.389851)
44186307,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,semiRAPID i NORMAL,Schuko,41.392338,2.132172,"EdR Barcelona Av.Sarrià, 126",0,AC,"Avinguda Sarrià, 126",Barcelona,8,Barcelona,80193,,,POINT (2.132172 41.392338)
