ID,PROMOTOR-GESTOR,ACCES,TIPUS VELOCITAT,TIPUS CONNEXIÓ,LATITUD,LONGITUD,DESIGNACIÓ-DESCRIPTIVA,POTENCIA,TIPUS DE CORRENT,ADREÇA,PROVINCIA,CODIPROV,MUNICIPI,CODIMUN,NPLACES ESTACIÓ,TIPUS VEHICLE,Georeferència
44182098,Institut Català d'Energia - Ajuntament de Tortosa,tarjeta,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,40.79479,0.525463,EdRR Tortosa (DC55-AC20kW),55,AC/DC,"Carrer Barcelona, 154, 43518 Tortosa, Tarr...",Tarragona,43,Tortosa,431554,,,POINT (0.525463 40.794788)
44186377,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,semiRAPID,,41.39646,2.175223,Diputació 344,0,AC,c/ Diputació 344,Barcelona,8,Barcelona,80193,,,POINT (2.175223 41.396461)
11423953,Institut Català d'Energia - Ajuntament de Caldes de Malavella,APARCAMENT HOTEL,superRAPID,MENNEKES.TESLA,41.85566,2.764,TESLA Supercarregador - PGA Caldes de Malavella (120kW),0,AC/DC,"Carretera N-II, km 701",Girona,17,Caldes de Malavella,170335,10,cotxe,POINT (2.764 41.85566)
44185905,Institut Català d'Energia - Ajuntament de Esplugues de Llobregat,tarjeta,semiRAPID,MENNEKES.M,41.373486,2.100526,EdR PARKIA Vidalet Esplugues de Llobregat,6,AC,PARKING PARKIA - Can Vidalet,Barcelona,8,Esplugues de Llobregat,80771,,,POINT (2.100526 41.373485)
44186262,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,semiRAPID i NORMAL,MENNEKES.M+Schuko,41.39441,2.114755,EdR Barcelona Marquès de Mulhacén,6,AC,"Carrer deMarqués de Mulhacen, 51 B",Barcelona,8,Barcelona,80193,,,POINT (2.114755 41.394408)
44182479,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,semiRAPID i NORMAL,MENNEKES.M+Schuko,41.39991,2.12341,EdR Barcelona Porta de Sarrià,10,AC,"Carrer deSalvador Mundí, 17",Barcelona,8,Barcelona,80193,,,POINT (2.12341 41.39991)
44185776,Institut Català d'Energia - Ajuntament de Vila-sana,tarjeta,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,41.643063,0.894817,EdRR Mollerussa (DC50-AC26kW),50,AC/DC,"A-2, km. 486, 25245 Vila-sana, Lérida, España",Lleida,25,Vila-sana,252521,,,POINT (0.894817 41.643063)
44182181,Institut Català d'Energia - Ajuntament de Vandellòs i l'Hospitalet de l'Infant,tarjeta,RAPID i semiRAPID,CCS Combo2+ChadeMO+MENNEKES.M,40.991882,0.92141,EdRR L'Hospitalet de l'Infant (AC-DC50kW),55,AC/DC,"Carrer Cementeri, 2, 43890 LHospitalet de...",Tarragona,43,Vandellòs i l'Hospitalet de l'Infant,431628,,,POINT (0.92141 40.991883)
44185883,Institut Català d'Energia - Ajuntament de Lleida,tarjeta,semiRAPID,MENNEKES.M,41.61201,0.628053,EdR PARKIA Lleida 3,6,AC,PARKING PARKIA - Blas Infante,Lleida,25,Lleida,251207,,,POINT (0.628053 41.612011)
44182508,Institut Català d'Energia - Ajuntament de Barcelona,tarjeta,semiRAPID,,41.3887,2.1926,EdR Barcelona Wellington - Zoo,0,AC,"Carrer deRamon Trias Fargas, 19",Barcelona,8,Barcelona,80193,,,POINT (2.1926 41.3887)
