Id,Nom,Adreça,Codi postal,Àrea,Ciutat,Zona horària,Codi país,Latitud,Longitud,Ubicació
157,"Carrer Vidal Bernat i Tomas, 71 (Santanyí)","Carrer Vidal Bernat i Tomas, 71",07650,ISLAS BALEARES,Santanyí,Europa/Madrid,ES,39.3508,3.1334,POINT (3.1334 39.3508)
160,Carrer Jordi Es Racó 2 de Calonge (Santanyí),"Carrer Jordi Es Racó 2 de Calonge, Santanyi",07669,ISLAS BALEARES,Santanyí,Europa/Madrid,ES,39.3992,3.203,POINT (3.203 39.3992)
163,Consell de Mallorca. Llar d'Infancia (Palma),General Riera 113,07010,ISLAS BALEARES,Palma,Europa/Madrid,ES,39.5916,2.64378,POINT (2.64378 39.5916)
180,"Carrer de Lepanto, 4 (Mercadal)","Carrer de Lepanto, 4",07740,ISLAS BALEARES,Mercadal,Europa/Madrid,ES,39.9872,4.09198,POINT (4.09198 39.9872)
186,Plaça de l'Ajuntament (Muro),Plaça Compte d'Empúries (Muro),07440,ISLAS BALEARES,Muro,Europa/Madrid,ES,39.7368,3.0573,POINT (3.0573 39.7368)
189,Carrer Rodríguez de la Fuente (Platja de Muro),Carrer de Rodríguez de la Fuente,07458,ISLAS BALEARES,Muro,Europa/Madrid,ES,39.8083,3.1157,POINT (3.1157 39.8083)
193,Poliesportiu (Muro),"Carrer del Poliesportiu, 99",07440,ISLAS BALEARES,Muro,Europa/Madrid,ES,39.7302,3.05327,POINT (3.05327 39.7302)
199,Carrer de Josep Tous i Ferrer _Motos (Palma),"C/ Josep Tous i Ferrer, 7",07002,ISLAS BALEARES,Palma,Europa/Madrid,ES,39.5736,2.65401,POINT (2.65401 39.5736)
203,Avinguda Calonge (Cala d'Or),"Avinguda Calonge ,28",07660,ISLAS BALEARES,Santanyí,Europa/Madrid,ES,39.3739,3.22695,POINT (3.22695 39.3739)
207,"Carrer d'Almirall Cervera, 34 (Port de Pollença)","Carrer de Almirall Cervera, 34",07470,ISLAS BALEARES,Pollença,Europa/Madrid,ES,39.9093,3.0813,POINT (3.0813 39.9093)
212,Carrer Conquistador_Motos (Palma),Carrer de Conquistador/ Plaça de la Reina,07001,ISLAS BALEARES,Palma,Europa/Madrid,ES,39.5688,2.64703,POINT (2.64703 39.5688)
215,"Carrer d'Aragó, 4_Motos  (Palma)",Carrer d'Aragó 4,07006,ISLAS BALEARES,Palma,Europa/Madrid,ES,39.5731,2.65739,POINT (2.65739 39.5731)
218,"Carrer Sant Miquel, 68_Motos (Palma)","C/Carrer de Sant Miquel, 66",07002,ISLAS BALEARES,Palma,Europa/Madrid,ES,39.5768,2.65238,POINT (2.65238 39.5768)
221,"Carrer de Ses Escoles, 14 (Algaida)","Carrer Tanqueta, 14",07210,ISLAS BALEARES,Algaida,Europa/Madrid,ES,39.563,2.8964,POINT (2.8964 39.563)
224,Carrer de la Lluna (Selva),Carrer de la Lluna,07314,ISLAS BALEARES,Selva,Europa/Madrid,ES,39.7713,2.9035,POINT (2.9035 39.7713)
227,Carrer Historiador Bernardí M. Turixant (Mancor),Carrer de l'Historiador Bernardí Mateu de Tur,07312,ISLAS BALEARES,Mancor de la Vall,Europa/Madrid,ES,39.7518,2.8734,POINT (2.8734 39.7518)
230,"Carrer de l'Atmetller, 3-7 (Mancor de la Vall)","Carrer de l'Atmetller, 3-7",07312,ISLAS BALEARES,Mancor de la Vall,Europa/Madrid,ES,39.748,2.8728,POINT (2.8728 39.748)
233,Carrer del Teatre (Lloseta),Carrer del Teatre (Lloseta),07360,ISLAS BALEARES,Lloseta,Europa/Madrid,ES,39.7156,2.8656,POINT (2.8656 39.7156)
236,"Avinguda de la Constitució, 71-79 (Alaró)",Avinguda de la Constitució 71-79,07340,ISLAS BALEARES,Alaró,Europa/Madrid,ES,39.7026,2.7939,POINT (2.7939 39.7026)
239,Carrer Major_Aparcament Jornets (Sencelles),Aparcament de Jornets,07144,ISLAS BALEARES,Sencelles,Europa/Madrid,ES,39.6762,2.93564,POINT (2.93564 39.6762)
242,"Plaça de s'Abeurador, 3 (Santa Margalida)","Plaça de s'Abeurador, 3",07450,ISLAS BALEARES,Santa Margalida,Europa/Madrid,ES,39.7051,3.1058,POINT (3.1058 39.7051)
245,"Passeig Colón, 21 (Can Picafort)","Passeig Colón, 21",07458,ISLAS BALEARES,Santa Margalida,Europa/Madrid,ES,39.7647,3.158,POINT (3.158 39.7647)
248,"Passeig Mallorca, 1 (Can Picafort)","Passeig Mallorca, 1",07458,ISLAS BALEARES,Santa Margalida,Europa/Madrid,ES,39.7622,3.1627,POINT (3.1627 39.7622)
251,"Carrer Fra Juníper Serra,156 (Son Serra de Marina)","Carrer Fra Juníper Serra, 156",07459,ISLAS BALEARES,Santa Margalida,Europa/Madrid,ES,39.7362,3.2258,POINT (3.2258 39.7362)
255,"Carrer d'en Dusai, 5 (Porreres)","Carrer d'en Dusai, 5",07260,ISLAS BALEARES,Porreres,Europa/Madrid,ES,39.5132,3.0263,POINT (3.0263 39.5132)
261,"Carrer Riuet, 10 (S'Illot)","Carrer Riuet, 10",07560,ISLAS BALEARES,Sant Llorenç des Cardessar,Europa/Madrid,ES,39.5679,3.3713,POINT (3.3713 39.5679)
264,Carrer de Lepant 16 (Sant Llorenç des Cardessar),Carrer de Lepant 16,07530,ISLAS BALEARES,Sant Llorenç des Cardessar,Europa/Madrid,ES,39.6108,3.2819,POINT (3.2819 39.6108)
267,Pl. de Sant Antoni (Son Servera),Pl. de Sant Antoni (Son Servera),07550,ISLAS BALEARES,Son Servera,Europa/Madrid,ES,39.6231,3.36048,POINT (3.36048 39.6231)
270,Av. Constitució-Aparcament Muller (Son Servera),"Carrer de Cabrera, 3",07550,ISLAS BALEARES,Son Servera,Europa/Madrid,ES,39.6173,3.3642,POINT (3.3642 39.6173)
273,Carrer del Cavall Bernat  (Cala Sant Vicenç),Carrer del Cavall Bernat (Cala Sant Vicenç),07469,ISLAS BALEARES,Pollença,Europa/Madrid,ES,39.9204,3.05388,POINT (3.05388 39.9204)
276,"Carrer de Vicenç Buades, 51 (Port de Pollença)","Carrer de Vicenç Buades, 51",07470,ISLAS BALEARES,Pollença,Europa/Madrid,ES,39.909,3.0803,POINT (3.0803 39.909)
279,Camp de Futbol de Pina (Pina),Camí de Son Perot,07220,ISLAS BALEARES,Pina,Europa/Madrid,ES,39.5955,2.92598,POINT (2.92598 39.5955)
282,Plaça Rector Rubi 5 (Manacor),Plaça Rector Rubi 5,07500,ISLAS BALEARES,Manacor,Europa/Madrid,ES,39.5691,3.21119,POINT (3.21119 39.5691)
286,Carrer de Sant Joan Baptista de la Salle (Alaior),Carrer de Sant Joan Baptista de la Salle,07730,ISLAS BALEARES,Alaior,Europa/Madrid,ES,39.9339,4.1447,POINT (4.1447 39.9339)
289,"Avinguda del Camp Verd, 4 CentreBit (Alaior)",Avinguda del Camp Verd 4,07730,ISLAS BALEARES,Alaior,Europa/Madrid,ES,39.9341,4.1494,POINT (4.1494 39.9341)
