Id,Nom,Adreça,Codi postal,Àrea,Ciutat,Zona horària,Codi país,Latitud,Longitud,Ubicació
544,"Carrer del Pare Josep Manxarrell, 11 (Eivissa)","Carrer del Pare Josep Manxarell, 11",07800,ISLAS BALEARES,Eivissa,Europa/Madrid,ES,398.918,1.4349,POINT (1.4349 398.918)
547,"Carrer de Cas Dominguets, 2 (Eivissa)","Carrer de Cas Dominguets, 2",07800,ISLAS BALEARES,Eivissa,Europa/Madrid,ES,38.9173,1.4283,POINT (1.4283 38.9173)
550,Av. d'Isidor Macabich 32 (Sant Rafel de sa Creu),Av. d'Isidor Macabich de Sant Rafael de Sa Cr,07816,ISLAS BALEARES,Sant Antoni de Portmany,Europa/Madrid,ES,38.9626,1.3976,POINT (1.3976 38.9626)
553,"Carrer Londres, 9 (Sant Antoni de Portmany)","Carrer Londres, 9",07820,ISLAS BALEARES,Sant Antoni de Portmany,Europa/Madrid,ES,38.9818,1.3072,POINT (1.3072 38.9818)
556,"Passeig de la Mar, 18 (Sant Antoni de Portmany)","Passeig de la Mar, 18",07820,ISLAS BALEARES,Sant Antoni de Portmany,Europa/Madrid,ES,38.9786,1.3001,POINT (1.3001 38.9786)
559,"Carrer de les Balears, 13 (Eivissa)","Carrer de les Balears, 13",07800,ISLAS BALEARES,Eivissa,Europa/Madrid,ES,38.9086,1.4246,POINT (1.4246 38.9086)
565,"Passeig de Joan Carles I, 32 (Eivissa)","Passeig de Joan Carles I, 32",07800,ISLAS BALEARES,Eivissa,Europa/Madrid,ES,38.9138,1.448,POINT (1.448 38.9138)
568,"Carrer del Raspallar, 5 (Eivissa)","Carrer del Raspallar, 5",07800,ISLAS BALEARES,Eivissa,Europa/Madrid,ES,38.9222,1.4278,POINT (1.4278 38.9222)
571,"Carrer de l'Arxiduc Lluís Salvador, 3 (Eivissa)","Carrer de l'ARxiduc Lluís Salvador, 3",07800,ISLAS BALEARES,Eivissa,Europa/Madrid,ES,38.9076,1.4276,POINT (1.4276 38.9076)
574,Poliesportiu Can Coix (S.Antonio de Portmany),Poliesportiu Can Coix,07820,ISLAS BALEARES,Sant Antoni de Portmany,Europa/Madrid,ES,38.9937,1.3081,POINT (1.3081 38.9937)
577,"Passeig de ses Fonts, 6 (Sant Antoni de Portmany)","Passeig de ses Fonts, 6",07820,ISLAS BALEARES,Sant Antoni de Portmany,Europa/Madrid,ES,38.9801,1.3051,POINT (1.3051 38.9801)
