latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,bezeichnung,betreiber,verbund,betriebsart,anzahl_ladepunkte,arten_ladepunkte,ladekarten,kosten,oeffnungszeiten,website
54.073597,12.108166,202ef4b2-a8c1-4f28-8569-1504d36a7dd6,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Südstadt,"0017",Max-Planck-Str.,"06910","16",,"18059",Max-Planck-Str. 16,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Max-Planck-Strasse-Max-Planck-Strasse-16/52480/
54.168703,12.087179,bdd7d173-c3a2-44b0-91ab-5c52d2c15250,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Warnemünde,"0001",Werftallee,"09670","10",,"18119",ZMVZ Warnemünde GmbH,ZMVZ Warnemünde GmbH,,halböffentlich,"1",Typ 2 16 kW,,,,"https://www.bundesnetzagentur.de/DE/Fachthemen/ElektrizitaetundGas/E-Mobilitaet/Ladesaeulenkarte/start.html;jsessionid=F5A7A7F4FD5BD539A46BC6FF5117FF11"
54.15797,12.063525,d0d92648-d072-11e8-91ac-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Lichtenhagen,"0008",Neustrelitzer Str.,"04190","5",,"18109",Neustrelitzer Str. 5,Wohnungsgenossenschaft WARNOW Rostock-Warnemünde eG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock","0,39 €/kWh, Grundgebühr 0,99 €",24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/E-Ladesaeule-Neustrelitzer-Strasse-5-Neustrelitzer-Strasse-5/31627/
54.134281,12.071484,82563626-ed40-4387-8c0a-488468a44109,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Schmarl,"0012",Kolumbusring,"07130","61",,"18106",Parkplatz Schmarler Zentrum,EnBW Energie Baden-Württemberg AG,EnBW,öffentlich,"4","2x Combo Typ 2 300 kW; 2x Combo Typ 2 150 kW","ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Shell Recharge",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Schmarler-Centrum-Kolumbusring-61/63107/
54.132568,12.063779,54f5769e-24f1-406b-9380-350688436ecc,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Lütten Klein,"0010",An der Stadtautobahn,"00650","38",,"18107",Avia Tankstelle An der Stadtautobahn,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Combo Typ 2 160 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Avia-Tankstelle-An-der-Stadtautobahn-An-der-Stadtautobahn-38/70086/
54.133555,12.061158,04e98e47-40f4-4ce0-b9f0-e81e25637d9c,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Lütten Klein,"0010",Trelleborger Str.,"10450","4",a,"18107",Trelleboger Str. 5,Vattenfall Europe Sales GmbH,,privat,"1",Typ 2 11 kW,EnBW mobility+,,,https://www.e-stations.de/ladestationen/map
54.08888,12.104551,e4917a64-00da-49ba-a267-93070a9133f2,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Ulmenstr.,"02400","54",,"18057",Ulmenstr.,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Ulmenstrasse-Ulmenstrasse-61/70966/
54.07715,12.124589,2de6372b-ecaf-4bd2-b26a-1bb03575141a,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Südstadt,"0017",Südring,"07400","90",,"18059",Parkplatz Stadthalle,ICA Chipkartensysteme GmbH&Co KG,innogy eRoaming,öffentlich,"6",Typ 2 22 kW,"ADAC e-Charge;BEW Lokalstrom mobil;MAINGAU Autostrom;Plugsurfing;Shell Recharge",,24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Stadthalle-Suedring-90/53665/
54.106125,12.084743,424a1af8-9ce5-443a-87ae-2b92a76f11f5,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Reutershagen,"0013",Fritz-Triddelfitz-Weg,"10060","5",,"18069",abc Bau – Ausbildungscentrum,Stadtwerke Rostock AG,Stadtwerke Rostock,halböffentlich,"2",Typ 2 11 kW,"EnBW mobility+;Stadtwerke Rostock",,"Mo-Do 07:00-16:00; Fr 07:00-14:00",https://www.e-stations.de/ladestationen/map
54.09255,12.144678,d4bbcdd4-39ff-11e7-aa84-0050569946ac,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Am Strande,"00530","3",a,"18055",Ladesäule am Hafen,Stadtwerke Rostock AG,Stadtwerke Rostock,öffentlich,"2",Typ 2 22 kW,"ADAC e-Charge;EnBW mobility+;MAINGAU Autostrom;Plugsurfing;Stadtwerke Rostock","0,39 €/kWh, Grundgebühr 0,99 €",24/7,https://www.goingelectric.de/stromtankstellen/Deutschland/Rostock/Ladesaeule-am-Hafen-Am-Strande-3a/19577/
