name,address,description,location_category,location_sub_category,open_date,pricing,free_use,latitude,longitude,port_count,port_level_type,network,manufacturer,power_output_kw,power_output_volts,power_output_amps,renewable_power_supply,CHAdeMO,Tesla_std,Tesla_Fast,Tesla_Roadster,CCS_SAE,J1772,Type2,Commando,Wall_AU
University of Queensland,"Building 8156, The University of Queensland, Main Drive & Outer Ring Road, Gatton QLD 4343",University of Queensland Gatton Veterinary Hospital carpark,,,,,,-27.55140366,152.3350726,,,,,,,,,,,,,,,,,
Cairns Regional Council,"Pier Point Road, Cairns QLD 4870",Lagoon car park (between the Esplanade and Pier Point Rd),,,,,,-16.92045651,145.7788731,,,,,,,,,,,,,,,,,
Rockhamption Regional Council,"189 Alma St, Rockhampton City QLD 4700",Alma St carpark of council building.,,,,,,-23.38227211,150.5134619,,,,,,,,,,,,,,,,,
Gold Coast Airport,"1 Eastern Ave, Bilinga 4225","Gold Coast Airport. Carparks near northbound second entrance off Gold Coast Highway, near amenities",,,,,,-28.16419699,153.5152736,,,,,,,,,,,,,,,,,
Queensland Government,North Shore Hamilton,"Eat St carpark, near roundabout at end of Macarthur Ave. Ultimate location will be at a new park created by closure of Curtin Ave West, close to Kingsford Smith Dr and Gateway Motorway (from 2019).",,,,,,-27.44449167,153.0836111,,,,,,,,,,,,,,,,,
Fraser Coast Regional Council,"102 Lennox St, Maryborough 4650","Lennox St (near Alice St), perpendicular car parks in front of government building",,,,,,-25.53982619,152.6991534,,,,,,,,,,,,,,,,,
Bundaberg Regional Council,"1/3 Crescent St, Childers 4660","Crescent St, new dedicated carpark created near off-street caravan parking",,,,,,-25.23560702,152.2788755,,,,,,,,,,,,,,,,,
Mackay Regional Council,"1 Gregory St, Mackay 4740",Council owned Carpark cnr Gregory and River Sts,,,,,,-21.13971112,149.1852379,,,,,,,,,,,,,,,,,
Whitsunday Regional Council,"80 Santa Barbara Parade, Bowen QLD 4805","Santa Barbara Pde, near tourist info building and toilets.",,,,,,-20.01660114,148.2480204,,,,,,,,,,,,,,,,,
Cassowary Coast Regional Council,"Morris St, Tully QLD 4854","Parking in council carpark cnr Writ Ln/Morris St, near playground",,,,,,-17.93486278,145.9244323,,,,,,,,,,,,,,,,,
