name,address,longitude,latitude,description,parking,pricing,contact,networks,total_plugs,renewable_power_supply,Plugs_CCS_SAE,Plugs_CHAdeMO,Plugs_Caravan_Mains_Socket,Plugs_J1772,Plugs_Tesla,Plugs_Three_Phase,Plugs_Commando,Plugs_Type2,Plugs_Wall_AU_NZ,Plugs_Other,power_outputs_kw,source,source_date
Ivanhoe Gardens (Coming Soon),"45 Linden Ave, Ivanhoe VIC 3079, Australia, Ivanhoe 3079",145.054043,-37.754954,,,,,['Exploren'],3,,0,0,0,0,0,0,,3,0,,[22.0],PlugShare_Scrape,20/08/2022
Manor Lakes Central Shopping Centre,"455 Ballan Rd, Manor Lakes VIC 3024, Australia",144.612648,-37.875049,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Wunggurrwil Dhurrung Centre,"Wunggurrwil Dhurrung Centre 19 Communal Road, Wyndham Vale VIC 3024, Australia",144.62706,-37.876378,,,,,['Chargefox'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Pacific Werribee Shopping Centre,"Derrimut Rd & Heaths Rd, Werribee, VIC, Australia, VIC 3030",144.679638,-37.875247,,,,,['Tesla Destination'],2,,0,0,0,0,2,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
The Pines Shopping Centre,"181 Reynolds Rd, Doncaster East VIC 3109, Australia",145.16823,-37.762252,,,,,"['ChargePoint', 'Tesla Destination']",4,,0,0,0,2,2,0,,0,0,,"[6.6, 22.0]",PlugShare_Scrape,20/08/2022
Dandenong Agricultural and Pastoral Society,"Dandenong‎ VIC‎ 3175, Australia",145.196402,-37.983731,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Rosebud Beach,"980 Point Nepean Road, Rosebud VIC 3939, Australia",144.901769,-38.355584,,,,,['Non-networked'],3,,0,0,0,0,0,0,,0,3,,['unknown'],PlugShare_Scrape,20/08/2022
Moonah Links,"65 Peter Thomson Dr, Fingal VIC 3939, Australia",144.853314,-38.406624,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Croydon Train Station Multi Level Car Park,"Devon Street, Croydon, Victoria",145.280091,-37.796959,,,,,['Non-networked'],6,,0,0,0,0,0,0,,6,0,,[7.0],PlugShare_Scrape,20/08/2022
Highpoint Shopping Centre - Basement Carpark,"Rosamond Road, Maribyrnong VIC 3032, Australia",144.887869,-37.772002,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Vaclift,"39 Tullamarine Park Road, Tullamarine VIC 3043, Australia",144.871383,-37.709632,,,,,['Non-networked'],1,,0,0,0,0,1,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
RACV Cape Schanck Resort,"6 Presnell Ct, Cape Schanck VIC 3939, Australia",144.893721,-38.461847,,,,,"['Tesla Destination', 'Non-networked']",7,,0,0,0,0,2,0,,4,1,,"[4.0, 'unknown']",PlugShare_Scrape,20/08/2022
Schnapper Point Dr Parking/Charging,"Schnapper Point Dr, Mornington VIC 3931, Australia",145.035453,-38.215455,,,,,['Non-networked'],1,,0,0,0,0,0,1,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Priority One Trade Services,"65 Watt Road, Mornington‎ VIC‎ 3931, Australia",145.056367,-38.231677,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,[22.0],PlugShare_Scrape,20/08/2022
Peninsula Home Shopping Centre,"1130-1134 Nepean Highway, Mornington VIC 3931, Australia",145.061207,-38.220693,,,,,['EVUp'],4,,0,0,0,0,0,0,,4,0,,[22.0],PlugShare_Scrape,20/08/2022
Dandenong Market - Southern Car Park (Coming Soon),"40 Cleeland St, Dandenong VIC 3175, Australia",145.216329,-37.984494,,,,,['Non-networked'],1,,0,0,0,1,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Ventia Head Office Carpark,"20 Corporate Drive, Heatherton‎ VIC‎ 3202, Australia",145.080488,-37.950648,,,,,['ChargePoint'],2,,0,0,0,2,0,0,,0,0,,[6.6],PlugShare_Scrape,20/08/2022
North Drive Office Complex,"236 E Boundary Rd, Bentleigh East VIC 3165, Australia",145.062347,-37.909599,,,,,['ChargePoint'],1,,0,0,0,1,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Hume Villa Motor Inn,"1324 Sydney Rd, Fawkner VIC 3060, Australia",144.959707,-37.696652,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Foreshore Camping,"1380 Point Nepean Rd, Rosebud VIC 3939, Australia",144.888748,-38.359707,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Dromana Drive-in,"133 Nepean Hwy, Dromana VIC 3936, Australia",144.996685,-38.329727,,,,,['EVUp'],6,,0,0,0,0,0,0,,6,0,,['unknown'],PlugShare_Scrape,20/08/2022
Springvale Library,"9 Hillcrest Grove, Springvale VIC 3171, Australia",145.153146,-37.957007,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Waverley Gardens Shopping Centre,"271 Police Rd, Mulgrave VIC 3170, Australia",145.189902,-37.935556,,,,,['Chargefox'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Element Melbourne Richmond,"588 Swan St, Richmond VIC 3121, Australia",145.020707,-37.826921,,,,,['EVUp'],4,,0,0,0,0,0,0,,4,0,,[22.0],PlugShare_Scrape,20/08/2022
Springvale MEGA Centre,"754-769 Princes Hwy, Springvale VIC 3171, Australia",145.167746,-37.94168,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Sandown Raceway Carpark,"37 Davis Way, Springvale VIC 3171, Australia",145.162663,-37.950836,,,,,['Non-networked'],3,,0,0,0,0,0,3,,0,0,,[8.0],PlugShare_Scrape,20/08/2022
Pullman Melbourne Albert Park,"67 Queens Rd, Melbourne VIC 3004, Australia",144.97831,-37.849977,,,,,['Tesla Destination'],3,,0,0,0,0,3,0,,0,0,,"[11.0, 22.0]",PlugShare_Scrape,20/08/2022
BMW South Yarra,"145 Williams Rd, Prahran VIC 3181, Australia",145.00279,-37.849295,,,,,"['ChargePoint', 'Non-networked']",4,,0,0,0,0,0,0,,2,2,,['unknown'],PlugShare_Scrape,20/08/2022
Barwon Valley Lodge,"99 Barrabool Rd, Belmont VIC 3216, Australia",144.341445,-38.166789,,,,,['Tesla Destination'],2,,0,0,0,0,2,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Northern Motor Group - Pre Delivery Dept,"55 Clements Avenue, Bundoora‎ VIC‎ 3083, Australia",145.072077,-37.704572,,,,,['Non-networked'],1,,0,0,0,1,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Club Armstrong,"101 Unity Drive, Mount Duneed VIC 3217, Australia",144.328361,-38.225341,,,,,['ChargePoint'],2,,0,0,0,2,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Middy's Lilydale,"34 Melba Ave, Lilydale VIC 3140, Australia",145.346082,-37.761942,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Mantra Epping,"250 Cooper St, Epping VIC 3076, Australia",145.008102,-37.649756,,,,,"['Tesla Destination', 'Non-networked']",4,,0,0,0,0,2,0,,2,0,,"[5.0, 'unknown']",PlugShare_Scrape,20/08/2022
Glenroy Community Hub,"50 Wheatsheaf Rd, Glenroy 3046, Australia",144.924037,-37.708497,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,[11.0],PlugShare_Scrape,20/08/2022
Glen Eira City Council,"256 Hawthorn Road, Caulfield VIC 3162, Australia",145.022852,-37.880835,,,,,['Chargefox'],4,,0,0,0,0,0,0,,4,0,,['unknown'],PlugShare_Scrape,20/08/2022
Yarra Valley Nissan,"460-462 Maroondah Highway, Lilydale VIC 3140, Australia",145.363238,-37.754859,,,,,['Chargefox'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Secure Parking,"15-29 Bank Street, South Melbourne VIC 3205, Australia",144.969126,-37.832108,,,,,['Non-networked'],21,,0,0,0,0,0,0,,0,21,,['unknown'],PlugShare_Scrape,20/08/2022
Good Guys,"1 Gertrude St, Frankston VIC 3199, Australia",145.138689,-38.148237,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Richmond Traders Coles,"46 Cameron St, Richmond VIC 3121, Australia",144.998664,-37.817041,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Just Honk Used Cars,"4-6 Fitzgerald Rd, Laverton North VIC 3026, Australia",144.782596,-37.843884,,,,,['Exploren'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Hebco Industrial,"19-25 Trade Place Vermont VIC 3133, Australia",145.18642,-37.833743,,,,,['Non-networked'],1,,0,0,0,0,1,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Phillip Island Visitor Information Centre,"895 Phillip Island Road, Newhaven‎ VIC‎ 3925, Australia",145.348261,-38.515001,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
West Oval,"Weddell Rd, North Geelong VIC 3215, Australia",144.345207,-38.129308,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,[22.0],PlugShare_Scrape,20/08/2022
Quest Mont Albert,"741-745 Whitehorse Road, Mont Albert VIC 3127, Australia",145.10738,-37.815833,,,,,['Non-networked'],3,,0,0,0,0,0,0,,0,3,,['unknown'],PlugShare_Scrape,20/08/2022
Community Bank Stadium,"129-163 Main Hurstbridge Rd, Diamond Creek VIC 3089, Australia",145.166098,-37.673703,,,,,['Chargefox'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Collingwood Library,"13 Stanton St, Abbotsford VIC 3067, Australia",144.99327,-37.804471,,,,,['Evie Networks'],8,,4,4,0,0,0,0,,0,0,,[50.065],PlugShare_Scrape,20/08/2022
Holmesglen Private Hospital,"490 South Rd, Moorabbin VIC 3189, Australia",145.050288,-37.93704,,,,,['Non-networked'],4,,0,0,0,0,0,0,,4,0,,['unknown'],PlugShare_Scrape,20/08/2022
Coles South Melbourne,"229 Coventry St, South Melbourne VIC 3205, Australia",144.960369,-37.832375,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
IKEA Richmond,"630 Victoria St, Richmond VIC 3121, Australia",145.010271,-37.812895,,,,,['Non-networked'],4,,0,0,0,0,0,0,,4,0,,['unknown'],PlugShare_Scrape,20/08/2022
Prahran Square,"Prahran Square, 30-40 Izett Street, Prahran VIC 3181, Australia",144.99266,-37.847695,,,,,"['Chargefox', 'Non-networked']",12,,0,0,0,0,0,0,,2,10,,['unknown'],PlugShare_Scrape,20/08/2022
Ivanhoe Library,"233 Upper Heidelberg Road, Ivanhoe VIC 3079, Australia",145.044964,-37.766356,,,,,['EVUp'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Coles Lilydale,"51-59 Anderson St, Lilydale VIC 3140, Australia",145.354065,-37.756189,,,,,['Non-networked'],3,,0,0,0,0,0,0,,0,3,,['unknown'],PlugShare_Scrape,20/08/2022
Springvale Homemaker Centre,"Springvale Homemaker Centre, 917 Princes Highway, Springvale VIC 3171, Australia",145.143552,-37.927929,,,,,"['Tesla Destination', 'Non-networked']",10,,0,0,0,0,3,0,,7,0,,"['unknown', 22.0]",PlugShare_Scrape,20/08/2022
Clayton M City,"2145 Dandenong Road, Clayton VIC 3168, Australia",145.140054,-37.922053,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Watergardens Shopping Centre,"399 Melton Highway, Taylors Lakes VIC 3038",144.775876,-37.699043,,,,,['Tesla Destination'],3,,0,0,0,0,3,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Pullman Melbourne on the Park,"192 Wellington Parade, Melbourne VIC 3002",144.983228,-37.815994,,,,,['Non-networked'],2,,0,0,0,0,2,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Woolworths Fishermans Bend,"525 Graham St, Port Melbourne VIC 3207, Australia",144.931658,-37.830671,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Cunningham Pier,"10 Western Foreshore Rd, Geelong VIC 3220, Australia",144.361213,-38.143296,,,,,['Chargefox'],4,,0,0,0,0,0,0,,4,0,,['unknown'],PlugShare_Scrape,20/08/2022
Monash University Clayton - Car Park S2,"20 Ancora Imparo Way, Clayton VIC 3800, Australia",145.1338,-37.914282,,,,,"['Chargefox', 'Non-networked']",3,,0,0,0,0,0,0,,2,1,,['unknown'],PlugShare_Scrape,20/08/2022
Pacific Epping Shopping Centre,"583 High St, Epping VIC 3076, Australia",145.016892,-37.653416,,,,,['Tesla Destination'],2,,0,0,0,0,2,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Eastland Shopping Centre,"175 Maroondah Hwy, Ringwood VIC 3134, Australia",145.229003,-37.81425,,,,,['Tesla Destination'],4,,0,0,0,0,4,0,,0,0,,"[11.0, 15.0]",PlugShare_Scrape,20/08/2022
Red Rock (Coming Soon),"4 Lynton Ct, Cowes VIC 3922, Australia",145.199794,-38.453893,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
The Arts Centre,2 Kavanagh St Southbank VIC 3006 Australia,144.96767,-37.822715,,,,,['Non-networked'],2,,0,0,0,2,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Melbourne Museum,"11 Nicholson St, Carlton VIC 3053, Australia",144.972702,-37.804609,,,,,['Non-networked'],2,,0,0,0,2,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Wilson’s Carpark,"1-3 Queens Road, Melbourne VIC 3004, Australia",144.973525,-37.835734,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Flagstaff City Inn,"45 Dudley St, West Melbourne VIC 3003, Australia",144.951048,-37.810116,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Morris Moor (Coming Soon),"282/284 Chesterville Rd, Moorabbin VIC 3189, Australia",145.061402,-37.941172,,,,,['Chargebay'],6,,0,0,0,0,0,0,,6,0,,['unknown'],PlugShare_Scrape,20/08/2022
The Prince Hotel,"2 Acland St, St Kilda VIC 3182, Australia",144.973965,-37.862284,,,,,"['Tesla Destination', 'Non-networked']",4,,0,0,0,0,2,0,,2,0,,"['unknown', 22.0]",PlugShare_Scrape,20/08/2022
Stokehouse St Kilda,"30 Jacka Blvd, St Kilda VIC 3182, Australia",144.974352,-37.86758,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Hotel 115 Guest Carpark,"115 Cotham Rd, Kew VIC 3101, Australia",145.039021,-37.807448,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Clubs Assist,"237 243 Frankston Dandenong Rd, Dandenong South, VIC, 3175",145.213927,-38.022421,,,,,['Non-networked'],1,,0,0,0,1,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Lygon Street Car park,204-218 Lygon St Carlton Victoria 3053 Australia,144.96708,-37.802158,,,,,['Exploren'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Melbourne Convention Exhibition Centre,"16 Normanby Road, South Wharf VIC 3006, Australia",144.953107,-37.82613,,,,,['Non-networked'],3,,0,0,0,0,0,0,,0,3,,['unknown'],PlugShare_Scrape,20/08/2022
Crown Metropol Melbourne,"8 Whiteman Street, Southbank, Victoria, Australia, VIC 3006",144.957692,-37.825511,,,,,['Tesla Destination'],1,,0,0,0,0,1,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Melbourne Central Carpark,"300 Lonsdale St, Melbourne VIC 3000, Australia",144.963518,-37.811734,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Westfield Doncaster,"619 Doncaster Rd, Doncaster VIC 3108, Australia",145.126058,-37.78342,,,,,"['ChargePoint', 'Tesla Destination']",6,,0,0,0,4,2,0,,0,0,,"[6.6, 22.0]",PlugShare_Scrape,20/08/2022
Bitternfields Shopping Centre,"2432 Frankston - Flinders Rd, Bittern VIC 3918, Australia",145.177183,-38.336376,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Armstrong Creek Town Centre,"540 Torquay Rd, Armstrong Creek VIC 3217, Australia",144.339931,-38.22808,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,[7.0],PlugShare_Scrape,20/08/2022
Secure Parking (300 Flinders St),"300 Flinders St, Melbourne VIC 3000, Australia",144.96402,-37.818268,,,,,['Tesla Destination'],2,,0,0,0,0,2,0,,0,0,,[3.0],PlugShare_Scrape,20/08/2022
Dan Murphy’s Armstrong Creek,"458 Torquay Road, Armstrong Creek 3217, Australia",144.337345,-38.225361,,,,,['Non-networked'],3,,0,0,0,0,0,0,,3,0,,['unknown'],PlugShare_Scrape,20/08/2022
South Melbourne Market Rooftop Parking,"322 Coventry St, South Melbourne VIC 3205",144.956791,-37.83203,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Berwick BMW,"6 Coventry Rd, Narre Warren VIC 3805",145.311511,-38.026209,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Park Hyatt Melbourne,"1 Parliament Square Off, Parliament Pl, Melbourne VIC 3002, Australia",144.976125,-37.811933,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Greensborough Plaza,"25 Main St, Greensborough VIC 3088, Australia",145.102344,-37.702301,,,,,['Chargefox'],4,,0,0,0,0,0,0,,4,0,,['unknown'],PlugShare_Scrape,20/08/2022
WaterMarc Car Park,"1 Flintoff St, Greensborough VIC 3088, Australia",145.10525,-37.704042,,,,,['Non-networked'],3,,0,0,0,0,0,0,,3,0,,['unknown'],PlugShare_Scrape,20/08/2022
Flagstaff Car Park,"535 Little Lonsdale St, Melbourne VIC 3004, Australia",144.955756,-37.813111,,,,,['Tesla Destination'],2,,0,0,0,0,2,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Queen Victoria Market - Underground Carpark,"460 Queen St, Melbourne VIC 3000, Australia",144.958282,-37.807804,,,,,['Non-networked'],12,,0,0,0,0,0,0,,12,0,,['unknown'],PlugShare_Scrape,20/08/2022
300 Latrobe Street - Wilson Car Park,300 Latrobe Street Melbourne ,144.960653,-37.810021,,,,,['Non-networked'],3,,0,0,0,0,0,0,,0,3,,['unknown'],PlugShare_Scrape,20/08/2022
Pentridge Shopping Centre,"1 Champ St, Coburg VIC 3058, Australia",144.969336,-37.736669,,,,,['Non-networked'],3,,0,0,0,0,0,0,,3,0,,['unknown'],PlugShare_Scrape,20/08/2022
Coles Express with co-located Hungry Jacks,"46 Cook St, Port Melbourne VIC 3207, Australia",144.917185,-37.829682,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Westfield Southland,"1239 Nepean Hwy, Cheltenham VIC 3192, Australia",145.053615,-37.958461,,,,,['ChargePoint'],4,,0,0,0,4,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Westfield Southland - Icon Car Wash,"40 Chesterville Rd, Cheltenham VIC 3192, Australia",145.056598,-37.959294,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Hyatt Centric Melbourne,"25 Downie St, Melbourne VIC 3000, Australia",144.955802,-37.820407,,,,,['EVUp'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Chadstone Shopping Centre Carpark A,"1341 Dandenong Rd, Chadstone VIC 3148",145.07958,-37.886337,,,,,['Non-networked'],5,,0,0,0,0,0,0,,5,0,,['unknown'],PlugShare_Scrape,20/08/2022
Jet City Hangar 131,"Essendon Fields VIC 3042, Australia",144.892935,-37.719978,,,,,['Tesla Destination'],1,,0,0,0,0,1,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Essendon Nissan,"288 Wirraway Rd, Essendon Fields, VIC, 3041",144.895849,-37.720262,,,,,['ChargePoint'],1,,0,0,0,1,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Brooklands of Mornington,"99 Tanti Ave, Mornington, VIC, Australia, 3931",145.045807,-38.221655,,,,,['Tesla Destination'],2,,0,0,0,0,2,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Flinders Hotel,"23-31 Cook Street, Flinders, Victoria, Australia, VIC 3929",145.019202,-38.474449,,,,,['Tesla Destination'],2,,0,0,0,0,2,0,,0,0,,[8.0],PlugShare_Scrape,20/08/2022
Flinders General Store rear car park,"48 Cook Street, Flinders VIC 3929, Australia",145.016892,-38.473287,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Secure Parking - 460 Lonsdale Street Car Park,"460 Lonsdale St, Melbourne VIC 3000, Australia",144.958347,-37.813049,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
David Street Car Park,"1 David St, Brunswick, Victoria, Australia, 3056",144.962021,-37.771404,,,,,['Chargefox'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Stockland Point Cook - Below Woolworths,"1A Main Street, Point Cook VIC 3030, Australia",144.734115,-37.884233,,,,,"['ChargePoint', 'Tesla Destination']",2,,0,0,0,1,1,0,,0,0,,"['unknown', 22.0]",PlugShare_Scrape,20/08/2022
Middy's Smart Centre (Behind Mulgrave Branch),"214 Wellington Rd, Clayton VIC 3168, Australia",145.148532,-37.918327,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
The Fashion Capital - Tesla,"1341 Dandenong Rd, Malvern East VIC 3145, Australia",145.082357,-37.884862,,,,,['Non-networked'],2,,0,0,0,0,2,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Cellarbrations,"185a Rosslyn St, West Melbourne VIC 3003, Australia",144.948932,-37.809802,,,,,['Non-networked'],4,,0,0,0,0,0,0,,4,0,,['unknown'],PlugShare_Scrape,20/08/2022
District Docklands Shopping - West Carpark,"8-9 Star Circus, Docklands VIC 3008, Australia",144.93695,-37.812855,,,,,['Tesla Destination'],1,,0,0,0,0,1,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Wilson Parking,"222 Russell St, Melbourne VIC 3000, Australia",144.967823,-37.811294,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,[11.0],PlugShare_Scrape,20/08/2022
BP Caroline Springs (Coming Soon),"1324-1332 Western Hwy, Caroline Springs VIC 3023, Australia",144.741077,-37.75577,,,,,['Non-networked'],1,,1,0,0,0,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Alto Hotel,"636 Bourke St, Melbourne VIC 3000, Australia",144.954636,-37.816254,,,,,"['Tesla Destination', 'Non-networked']",7,,0,0,0,1,3,1,,0,2,,"['unknown', 22.0]",PlugShare_Scrape,20/08/2022
Bob Morell Reserve,"514 Moorabool St, South Geelong VIC 3220, Australia",144.352507,-38.163586,,,,,['Non-networked'],4,,0,0,0,0,0,0,,0,4,,['unknown'],PlugShare_Scrape,20/08/2022
Rex Gorell Nissan,"481 Latrobe Terrace Geelong VIC 3220, Australia",144.350693,-38.16275,,,,,['Chargefox'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Queens & Collins,"Level 6/93-95 Queen St, Melbourne VIC 3000, Australia",144.961493,-37.81594,,,,,['Non-networked'],4,,0,0,0,0,0,0,,4,0,,['unknown'],PlugShare_Scrape,20/08/2022
Wilson Parking,"542 Little Bourke St, Melbourne VIC 3000, Australia",144.956451,-37.814781,,,,,['Non-networked'],1,,0,0,0,0,0,0,,0,1,,['unknown'],PlugShare_Scrape,20/08/2022
Kinglake Library (rear of the Police Station),"19 Whittlesea-Kinglake Rd, Kinglake VIC 3763, Australia",145.339577,-37.531509,,,,,['EVUp'],2,,0,0,0,0,0,0,,2,0,,[22.0],PlugShare_Scrape,20/08/2022
Kinglake Reserve (beside public toilets),"1 Kinglake-Glenburn Rd, Kinglake VIC 3763, Australia",145.340696,-37.53009,,,,,['EVUp'],2,,0,0,0,0,0,0,,2,0,,[22.0],PlugShare_Scrape,20/08/2022
Grand Hyatt Melbourne,"123 Collins St, Melbourne VIC 3000, Australia",144.969685,-37.814844,,,,,['Tesla Destination'],1,,0,0,0,0,1,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Whittlesea Motel,"36 Walnut St, Whittlesea VIC 3757, Australia",145.119479,-37.511926,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
Federation Square Car Park,"Russell St, Melbourne, Victoria, 3000 Australia",144.971282,-37.817739,,,,,['Chargefox'],2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
ACDC Garage,"114-128 Flinders St, Melbourne VIC 3000, Australia",144.97077,-37.816185,,,,,"['Tesla Destination', 'EVUp']",5,,0,0,0,0,3,0,,2,0,,"[3.0, 'unknown']",PlugShare_Scrape,20/08/2022
Secure Parking (Southern Cross),"129 Bourke St, Melbourne VIC 3000, Australia",144.969535,-37.812452,,,,,['ChargePoint'],2,,0,0,0,2,0,0,,0,0,,['unknown'],PlugShare_Scrape,20/08/2022
Holiday Inn Express Melbourne Little Collins,"589-599 Little Collins St, Melbourne VIC 3000, Australia",144.955291,-37.817852,,,,,['Non-networked'],3,,0,0,0,0,0,0,,3,0,,['unknown'],PlugShare_Scrape,20/08/2022
Tooronga Village,"766 Toorak Rd, Glen Iris VIC 3146",145.046669,-37.845907,,,,,['Tesla Destination'],2,,0,0,0,0,2,0,,0,0,,[22.0],PlugShare_Scrape,20/08/2022
Victoria Gardens Shopping Centre,"Unit 41 B/620 Victoria St, Richmond VIC 3121, Australia",145.011729,-37.812603,,,,,"['OpenLoop', 'Non-networked']",2,,0,0,0,0,0,0,,2,0,,['unknown'],PlugShare_Scrape,20/08/2022
Wilson Parking Eureka,"70 City Rd, Southbank VIC 3006, Australia",144.965184,-37.821726,,,,,['Non-networked'],2,,0,0,0,0,0,0,,2,0,,[11.0],PlugShare_Scrape,20/08/2022
Hungry Fox Café,"Essendon Fields Airport, Wirraway Road, Essendon Fields VIC 3041, Australia",144.89451,-37.719767,,,,,['Non-networked'],1,,0,0,0,0,0,0,,1,0,,['unknown'],PlugShare_Scrape,20/08/2022
