Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Parking type,Parking spaces,x coordinate,y coordinate
2020,1,108843,108843,2-92 Rebecca Walk MELBOURNE VIC 3000,Melbourne (CBD),Commercial,50,144.95687,-37.82121
2020,1,611393,611393,507-541 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Private,29,144.95721,-37.82087
2020,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,146,144.95651,-37.82098
2020,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,137,144.95651,-37.82098
2020,6,578328,573333,Carpark Federation Square 2 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,450,144.96982,-37.81779
2020,11,103957,103957,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Commercial,117,144.95666,-37.81987
2020,11,103987,103987,550-554 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,152,144.95597,-37.82039
2020,11,103987,103987,550-554 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Private,32,144.95597,-37.82039
2020,11,103989,103989,532-536 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,47,144.95644,-37.82024
2020,11,108971,108971,Holiday Inn on Flinders 561-585 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,30,144.95510,-37.82020
2020,11,559405,559405,547-555 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Residential,39,144.95584,-37.82002
2020,12,103955,103955,475-485 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,23,144.95810,-37.81937
2020,12,103997,103997,472-482 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,330,144.95827,-37.81973
2020,12,103998,103998,452-470 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,296,144.95860,-37.81947
2020,12,103999,103999,The Clarion Gateway Apartments 1-13 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,107,144.95951,-37.81943
2020,12,104825,104825,1-9 Highlander Lane MELBOURNE VIC 3000,Melbourne (CBD),Residential,5,144.95807,-37.81993
2020,12,105398,105398,"Substation 246, 34 King Street MELBOURNE VIC 3000",Melbourne (CBD),Private,2,144.95742,-37.81943
2020,12,110091,110091,15-33 William Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,300,144.95919,-37.81930
2020,13,104000,104000,Immigration Museum 400-424 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Private,5,144.96034,-37.81899
2020,13,104002,104002,376-388 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,315,144.96155,-37.81884
2020,13,106435,106435,21-31 Market Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,34,144.96042,-37.81865
2020,13,106438,106438,14-40 Market Street MELBOURNE VIC 3000,Melbourne (CBD),Private,85,144.96113,-37.81851
2020,13,106439,106439,8-12 Market Street MELBOURNE VIC 3000,Melbourne (CBD),Private,3,144.96118,-37.81887
2020,13,108060,108060,19-35 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Private,172,144.96178,-37.81823
2020,13,110151,110151,22-38 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,13,144.95997,-37.81878
2020,14,101099,101099,16-26 Bond Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,461,144.96306,-37.81815
2020,14,103947,103947,317-323 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Commercial,55,144.96375,-37.81774
2020,14,103948,103948,325-331 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,15,144.96349,-37.81776
2020,14,103949,103949,333 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,10,144.96334,-37.81782
2020,14,104007,104007,300-316 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,574,144.96403,-37.81807
2020,14,108114,108114,28-38 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Private,22,144.96244,-37.81799
2020,14,108117,108117,10-16 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Private,13,144.96263,-37.81841
2020,15,103328,103328,River View House 274-282 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Private,19,144.96509,-37.81766
2020,15,103941,103941,247-251 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,12,144.96617,-37.81699
2020,15,103942,103942,253-265 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,15,144.96590,-37.81706
2020,15,103943,103943,Punt Hill Apartments 267-275 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,15,144.96548,-37.81711
2020,15,104010,104010,The Empire Apartments 256-268 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,32,144.96563,-37.81761
2020,16,103934,103934,167-173 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,10,144.96883,-37.81614
2020,16,103937,103937,183-185 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Residential,10,144.96851,-37.81632
2020,16,104018,104018,172-192 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,558,144.96857,-37.81661
2020,16,111528,110760,St Pauls Carpark 198 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Private,27,144.96768,-37.81679
2020,17,103592,103592,11-37 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Private,131,144.97173,-37.81546
2020,17,103592,103592,11-37 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,200,144.97173,-37.81546
2020,17,104024,104024,130-132 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,2,144.97054,-37.81628
2020,17,104025,104025,114-128 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,1275,144.97076,-37.81596
2020,17,104026,104026,104-112 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,170,144.97116,-37.81601
2020,17,107002,107002,22-30 Oliver Lane MELBOURNE VIC 3000,Melbourne (CBD),Residential,11,144.97022,-37.81593
2020,17,108594,108594,14-22 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),Private,11,144.96998,-37.81618
2020,17,574438,574438,84-94 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Private,38,144.97168,-37.81595
2020,17,574438,574438,84-94 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,38,144.97168,-37.81595
2020,18,103913,103913,27-29 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Residential,5,144.97342,-37.81486
2020,18,103914,103914,31-35 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,12,144.97329,-37.81490
2020,18,103917,103917,Manhattan Apartments 57-59 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Private,5,144.97281,-37.81499
2020,18,103918,103918,61-73 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Residential,30,144.97251,-37.81506
2020,18,108975,108975,1-9 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Private,300,144.97379,-37.81499
2020,18,108977,108977,25-31 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,111,144.97410,-37.81455
2020,18,111071,111071,46-74 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Private,19,144.97272,-37.81546
2020,18,111071,111071,46-74 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,56,144.97272,-37.81546
2020,18,111072,111072,32-44 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,532,144.97319,-37.81537
2020,18,513723,513723,1-17 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,60,144.97466,-37.81556
2020,21,102106,102106,589-605 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,154,144.95521,-37.81937
2020,21,103960,103960,522-552 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Commercial,970,144.95592,-37.81943
2020,21,105296,105296,43-61 King Street MELBOURNE VIC 3000,Melbourne (CBD),Private,60,144.95654,-37.81922
2020,21,108970,108970,Great Southern Hotel 44-64 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),Private,27,144.95478,-37.81973
2020,21,579252,579252,559-587 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,160,144.95572,-37.81902
2020,21,606461,606461,607-623 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,20,144.95469,-37.81929
2020,22,102104,102104,Rialto 505-535 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,536,144.95747,-37.81865
2020,22,110092,110092,35-47 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,13,144.95914,-37.81858
2020,22,102101,110661,MLC Tower (North Tower) 459 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,100,144.95892,-37.81817
2020,22,110665,110661,Challenge Tower - South Tower 459 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,54,144.95892,-37.81817
2020,23,102094,102094,389-399 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,6,144.96143,-37.81731
2020,23,102095,102095,401-403 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,12,144.96121,-37.81737
2020,23,102097,102097,409-413 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,10,144.96101,-37.81750
2020,23,102099,102099,419-429 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,33,144.96065,-37.81753
2020,23,106436,106436,54-60 Market Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,23,144.96082,-37.81778
2020,23,106437,106437,42-52 Market Street MELBOURNE VIC 3000,Melbourne (CBD),Private,4,144.96082,-37.81805
2020,23,108061,108061,37-41 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,3,144.96169,-37.81790
2020,23,606103,606103,388-394 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Commercial,38,144.96106,-37.81800
2020,24,102089,102089,327-343 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,256,144.96327,-37.81705
2020,24,102089,102089,327-343 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,169,144.96327,-37.81705
2020,24,102091,102091,351-357 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,42,144.96279,-37.81729
2020,24,102092,102092,359-373 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,265,144.96244,-37.81728
2020,24,102093,102093,375-383 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,3,144.96200,-37.81716
2020,24,108113,108113,40-52 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Private,14,144.96219,-37.81759
2020,24,110762,110762,303-317 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,50,144.96382,-37.81663
2020,24,110763,110763,The Mark On Collins Apartments 319-325 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,74,144.96366,-37.81693
2020,24,110765,110765,302-308 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Residential,14,144.96392,-37.81719
2020,25,102083,102083,251-257 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,47,144.96565,-37.81635
2020,25,102086,102086,271-285 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,27,144.96498,-37.81655
2020,25,103963,103963,Flinders House 238-244 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Residential,16,144.96596,-37.81649
2020,25,109264,109264,45-63 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Private,7,144.96662,-37.81633
2020,25,110857,110857,233-239 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,75,144.96610,-37.81600
2020,26,102073,102073,141-165 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,350,144.96876,-37.81545
2020,26,102073,102073,141-165 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,55,144.96876,-37.81545
2020,26,102074,102074,167-173 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,137,144.96831,-37.81566
2020,26,109418,109418,199-209 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,69,144.96727,-37.81631
2020,27,102067,102067,89-105 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,377,144.97082,-37.81487
2020,27,597183,102071,Grand Hyatt Melbourne Retail 121-131 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,620,144.96988,-37.81508
2020,27,102072,102072,133-139 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,10,144.96939,-37.81492
2020,27,103593,103593,45-47 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Private,2,144.97153,-37.81491
2020,27,103594,103594,49-51 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Private,6,144.97148,-37.81481
2020,27,103595,103595,53-55 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Private,3,144.97143,-37.81472
2020,27,103596,103596,57-63 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Private,32,144.97131,-37.81460
2020,28,102057,102057,1-9 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,18,144.97372,-37.81372
2020,28,102059,102059,13-15 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,48,144.97335,-37.81383
2020,28,102063,102060,Collins Place 45 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,552,144.97263,-37.81431
2020,28,103969,103969,12-20 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Commercial,126,144.97357,-37.81424
2020,28,108978,108978,35-47 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,315,144.97395,-37.81420
2020,28,108979,108979,49-51 Spring Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,20,144.97385,-37.81398
2020,31,102109,102109,Liberty Tower 612-624 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,210,144.95435,-37.81868
2020,31,102110,102110,582-606 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,19,144.95494,-37.81850
2020,31,102112,102112,568-580 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,227,144.95542,-37.81837
2020,31,102113,102113,McPherson's Building 546-566 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,39,144.95584,-37.81824
2020,31,105297,105297,97-111 King Street MELBOURNE VIC 3000,Melbourne (CBD),Private,74,144.95592,-37.81773
2020,31,105942,105942,585-587 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,3,144.95544,-37.81787
2020,31,105945,105945,601-611 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,55,144.95490,-37.81803
2020,31,108968,108968,613-639 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,300,144.95436,-37.81818
2020,32,102115,102115,522-534 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,350,144.95681,-37.81770
2020,32,102116,102116,516-520 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,17,144.95726,-37.81781
2020,32,102117,102117,500-514 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,75,144.95747,-37.81757
2020,32,102118,102118,480-490 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,100,144.95797,-37.81764
2020,32,102119,102119,468-478 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,35,144.95833,-37.81754
2020,32,105939,105939,499-503 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,14,144.95814,-37.81711
2020,32,105940,105940,505-515 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,111,144.95780,-37.81720
2020,32,110093,110093,91-97 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,8,144.95852,-37.81712
2020,32,110094,110094,99-107 William Street MELBOURNE VIC 3000,Melbourne (CBD),Private,9,144.95842,-37.81691
2020,33,102124,102124,430-442 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Private,102,144.95976,-37.81703
2020,33,102125,102125,Temple Court 422-428 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Residential,24,144.96000,-37.81680
