,Location Name,Latitude,Longitude,Town,Postal Code,City,Address,Plugs_Type2,Plugs_Three_Phase,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Caravan_Mains_Socket,Plugs_wall_AU/NZ,Power 1,charging_stations,Nearby EVStations,Hospitals,Parks,Restaurants,Malls,Supermarkets
118,Carlton,-37.80216073,144.9671638,N.A,3053,Melbourne,204-218 Lygon St Carlton Victoria 3053 Australia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,15,13,17,20,15,20
119,Sundowner Rockbank Caravan Park,-37.730067,144.659873,N.A,3335,Melbourne,"Rockbank VIC 3335, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,0,0,14,8,1,5
120,Club Delaray,-38.110037,145.336394,N.A,3978,Melbourne,"20 Alphey Road, Clyde North VIC 3978, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,1,0,20,7,1,2
121,Evie Charging Station,-36.372030681103425, 143.61095264121334,Wedderburn,3518,N.A,Chapel St,0.0,,1.0,1.0,0.0,,,,,,0,0,0,0,0,0
122,Watergardens Shopping Centre,-37.699043,144.775876,N.A,3038,Melbourne,"399 Melton Highway, Taylors Lakes VIC 3038",0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,22.0,3.0,2,0,4,20,4,7
123,Hume Villa Motor Inn,-37.696652,144.959707,N.A,3060,Melbourne,"1324 Sydney Rd, Fawkner VIC 3060, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,1,0,4,20,1,12
124,Tesla Destination Charger,-36.67605388090019, 144.24504896808813,Golden Square,N.A,Bendigo,371 High St,0.0,,0.0,0.0,1.0,,,,,,0,0,0,0,0,0
125,Rialto Car Park,-37.8191,144.957613,N.A,3000,Melbourne,"476 Flinders Ln, Melbourne VIC 3000, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,3.0,20,4,17,20,20,20
126,Evie Charging Station,-37.05060230278171, 143.74185155695164,Maryborough,3465,N.A,Station St,0.0,,1.0,1.0,0.0,,,,,,1,4,13,20,1,13
127,Harrow Street Car Park,-37.821964,145.124448,N.A,3128,Melbourne,"3 John St, Box Hill VIC 3128, Australia",5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,5.0,1,7,17,20,4,20
128,Docklands,-37.81209916,144.9392454,N.A,3008,Melbourne,"90 Waterfront Way, Docklands VIC 3008, Australia",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,N.A,1.0,14,0,20,20,5,16
129,Common Ground Project,-38.259646,144.276227,N.A,3217,N.A,"675 Anglesea Rd, Freshwater Creek VIC 3217, Australia",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,22.0,2.0,2,0,1,1,0,0
130,QESH Ayr,-19.5740619, 147.4056813,N.A,4807,N.A,"133 Edwards St, Ayr QLD 4807, Australia",1.0,,1.0,1.0,,,,,50,,1,2,10,20,3,20
131,Moonee Ponds Supercharger,-37.76556152,144.9236774,N.A,3039,Melbourne,"665 Mt Alexander Rd, Moonee Ponds VIC 3039, Australia",,,,,6.0,,,,,,4,0,7,20,2,12
132,Park Rises Residences,-37.797009,144.926387,N.A,3031,Melbourne,"72 Altona Street, Kensington VIC 3031",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,3,0,16,20,1,8
133,Russell St,-37.81180407,144.9677026,N.A,3000,Melbourne,"Russell St, Melbourne, Victoria, 3000 Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,17,7,20,20,20,20
134,Waverley Nissan,-37.906157,145.159718,N.A,3150,Melbourne,"565-577 Springvale Rd, Mulgrave VIC 3170, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,4,0,4,20,2,5
135,hacyclon caravan park ,-38.317144,144.988947,N.A,3936,Melbourne,"106 Marine Drive, Safety Beach VIC 3936, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,0,0,3,2,0,1
136,Russell St,-37.81129305,144.967822,N.A,3000,Melbourne,"222 Russell St, Melbourne VIC 3000, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,17,7,17,20,20,20
137,Tesla Destination Charger,-37.23502198834094, 144.42290778775285,Kyneton,3444,N.A,72 Piper St,0.0,,0.0,0.0,1.0,,,,,,0,0,0,0,0,0
138,Monash University Caulfield Car Park,-37.876073,145.043688,N.A,3145,Melbourne,"880 Princes Hwy Service Rd, Caulfield East VIC 3145, Australia",0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,50.0,3.0,3,0,17,20,2,7
139,Essendon Nissan,-37.720262,144.895849,N.A,3041,Melbourne,"288 Wirraway Rd, Essendon Fields, VIC, 3041",0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,N.A,1.0,3,0,6,20,2,9
140,Hungry Jack’s Sunbury,-37.580985,144.724278,N.A,3429,Melbourne,"27 Gap Rd, Sunbury VIC 3429, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,0,1,14,20,4,11
141,CTR Whittlesea,-37.51043222,145.11856,N.A,3757,Melbourne,"74A Church St, Whittlesea VIC 3757, Australia",,,1.0,1.0,,,,,,,1,0,9,20,0,1
142,Forest Hill Chase Shopping Centre,-37.835382,145.163537,N.A,3131,Melbourne,"270 Canterbury Rd, Forest Hill VIC 3131, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,1,1,15,20,2,8
143,Greenvale Woolworths,-37.616294,144.914873,N.A,3064,Melbourne,"200 James Mirams Dr, Roxburgh Park VIC 3064, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,1,0,3,4,0,2
144,Melbourne Convention Exhibition Centre,-37.82613,144.953107,N.A,3005,Melbourne,"16 Normanby Road, South Wharf VIC 3006, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,N.A,3.0,18,2,20,20,13,20
145,AAkonsult,-37.818982,144.896722,N.A,3013,Melbourne,"2/209 Hyde St, Yarraville VIC 3013",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,N.A,1.0,1,0,8,20,1,4
146,Hyatt Place Caribbean Park (Coming Soon),-37.915767,145.216905,N.A,3179,Melbourne,"38 Dalmore Dr, Scoresby VIC 3179, Australia",2.0,0.0,0.0,1.0,0.0,0,0.0,0.0,N.A,3.0,1,0,5,9,0,0
147,Camberwell Supercharger,-37.82867623,145.0564007,N.A,3126,Melbourne,"793 Burke Road , Camberwell, VIC, Australia, 3124",,,,,6.0,,,,,,4,0,10,20,1,11
148,Evie Charging Station,-37.35588720430584, 144.52822745569281,Woodend,3442,N.A,124 High St,0.0,,1.0,1.0,0.0,,,,,,1,0,13,20,2,6
149,Stockland Point Cook,-37.884254,144.736465,N.A,3030,Melbourne,"Main St & Murnong St, Point Cook VIC 3030, Australia",0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,N.A,1.0,2,0,8,20,3,10
150,Grow Energy,-37.955662,145.038605,N.A,3190,Melbourne,"325A Bay Road, Cheltenham VIC 3192",4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,4.0,4,0,20,20,0,6
151,Quest Burwood East,-37.853643,145.162436,N.A,3151,Melbourne,"317 Burwood Hwy, Burwood East VIC 3151, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,1,1,10,20,1,5
152,Tesla Destination Charger,-36.74595006493532, 145.55907729236358,Euroa,3666,N.A,53 Clifton St,0.0,,0.0,0.0,1.0,,,,,,2,0,7,9,2,5
153,Springvale Homemaker Centre,-37.927929,145.143552,N.A,3168,Melbourne,"Springvale Homemaker Centre, 917 Princes Highway, Springvale VIC 3171, Australia",7.0,0.0,0.0,0.0,3.0,0,0.0,0.0,N.A,10.0,5,0,1,20,3,10
154,Mercure Townsville,-19.2714721, 146.7858734,Currajong,4812,Townsville,"166 Woolcock St, Currajong, Australia, QLD 4812",,,,,2.0,,,,22,,1,2,2,20,3,7
155,Lorbek Luxury Cars,-37.832093,144.919335,N.A,3207,Melbourne,"30 Prohasky St, Port Melbourne VIC 3207, Australia",7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,7.0,6,0,11,12,0,1
156,Chadstone Shopping Centre Carpark A,-37.886337,145.07958,N.A,3148,Melbourne,"1341 Dandenong Rd, Chadstone VIC 3148",5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,5.0,3,1,18,20,5,9
157,Hamilton,-27.44449167,153.0836111,Hamilton,4007,Brisbane City,"North Shore Hamilton
281 MacArthur Ave, Hamilton QLD 4007",2.0,0.0,2.0,2.0,0.0,0,0.0,0.0,50,5.0,2,0,6,14,0,2
158,Evie Charging Station,-37.1722796148393, 144.47576185606715,Kyneton,N.A,N.A,1 Hutton St,0.0,,1.0,1.0,0.0,,,,,,0,0,0,0,0,0
159,Paint Spot Niddrie,-37.735219,144.887807,N.A,3042,Melbourne,"1 Elstone Ct, Niddrie VIC 3042, Australia",0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,1,0,9,20,2,6
160,Edward St Parking Lot,-37.77360197,144.9618831,N.A,3056,Melbourne,"15 Edward St, Brunswick VIC 3056, Australia",2.0,,2.0,2.0,,,,,,,2,1,17,20,3,16
161,Stokehouse St Kilda,-37.86758,144.974352,N.A,3182,Melbourne,"30 Jacka Blvd, St Kilda VIC 3182, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,7,1,14,20,4,7
162,Paronella Park,-17.6524637, 145.9570688,Germantown,N.A,N.A,"1671 Innisfail Japoon Rd, Mena Creek QLD 4871, Australia",2.0,,,,,,,,7,,0,0,4,1,0,1
163,Evie Charging Station,-36.531930768600965, 143.86155158027182,Inglewood,3517,N.A,Storm Lne,0.0,,1.0,1.0,0.0,,,,,,0,0,0,0,0,0
164,Midlander Motor Inn,-23.5236365, 148.1593512,Emerald,4720,N.A,"12 School Lane, Emerald, Australia, QLD 4720",,,,,2.0,,,,22,,1,2,16,20,3,16
165,The Fashion Capital - Tesla,-37.884862,145.082357,N.A,3148,Melbourne,"1341 Dandenong Rd, Malvern East VIC 3145, Australia",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,N.A,2.0,3,1,15,20,5,9
166,Westfield Doncaster,-37.78342,145.126058,N.A,3108,Melbourne,"619 Doncaster Rd, Doncaster VIC 3108, Australia",0.0,0.0,0.0,0.0,2.0,4,0.0,0.0,6.6,6.0,2,1,17,20,3,8
167,Chargefox Charging Station,-37.469333979755596, 143.8550343241236,Ballarat,N.A,Ballarat,61 Curtis St,0.0,,1.0,1.0,0.0,,,,,,0,0,0,0,0,0
168,Latrobe Street,-37.81241851,144.95362,N.A,3003,Melbourne,300 Latrobe Street Melbourne,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,N.A,3.0,20,2,20,20,20,20
169,Baptcare Strathalan,-37.728819,145.077998,N.A,3084,Melbourne,"2-34 Erskine Rd, Macleod VIC 3085, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,1,0,3,12,1,1
170,Eltham Leisure Centre,-37.722925,145.142426,N.A,3094,Melbourne,"40 Brougham St, Eltham VIC 3095, Australia",4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,4.0,1,0,9,20,3,3
171,The Fashion Capital - Parking Block F,-37.887286,145.0824,N.A,3148,Melbourne,"1341 Dandenong Road, Malvern East VIC 3145, Australia",0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,10.0,4.0,3,1,16,20,6,7
172,South Melbourne,-37.83189437,144.9690271,N.A,3205,Melbourne,"15-29 Bank Street, South Melbourne VIC 3205, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,21.0,N.A,21.0,15,1,18,20,4,20
173,South Melbourne Market Rooftop Parking,-37.83203,144.956791,N.A,3205,Melbourne,"322 Coventry St, South Melbourne VIC 3205",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,19,1,20,20,4,20
174,Port Melbourne,-37.83163355,144.9194251,N.A,3207,Melbourne,"30 Prohasky St, Port Melbourne VIC 3207, Australia",7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,7.0,6,0,11,13,0,1
175,Stud Park Shopping Centre,-37.9214,145.237553,N.A,3178,Melbourne,"Corner Stud & Fullham Rd, Rowville 3178, Australia",0.0,0.0,4.0,4.0,0.0,0,0.0,0.0,50.065,8.0,1,0,9,20,1,8
176,Monash University Clayton - Car Park N1,-37.90797166,145.1312195,N.A,3800,Melbourne,"10 Research Way, Clayton VIC 3168, Australia",2.0,,1.0,1.0,,,,,,,4,2,4,20,0,4
177,Holmesglen Private Hospital,-37.93704,145.050288,N.A,3189,Melbourne,"490 South Rd, Moorabbin VIC 3189, Australia",4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,4.0,2,1,11,20,0,8
178,McDonald’s Melton South,-37.72198498,144.5729271,N.A,3338,Melbourne,"179-253 Exford Rd, Weir Views VIC 3338, Australia",,,2.0,2.0,,,,,,,1,0,4,10,1,4
179,BMW South Yarra,-37.849295,145.00279,N.A,3181,Melbourne,"145 Williams Rd, Prahran VIC 3181, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,2.0,N.A,4.0,8,3,16,20,7,17
180,Springfield,-27.68194444,152.8997222,Springfield Central,4300,N.A,"4 David Henry Way, Springfield Central QLD 4300, Australia",2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50,3.0,4,1,10,20,3,4
181,Crown Metropol Melbourne,-37.825511,144.957692,N.A,3005,Melbourne,"8 Whiteman Street, Southbank, Victoria, Australia, VIC 3006",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,22.0,1.0,19,3,18,20,17,20
182,EVolution HQ,-37.94260024,145.1197763,N.A,3169,Melbourne,"Unit 32, 231 Osborne Avenue, Clayton South VIC 3169, Australia",2.0,,1.0,1.0,,,,,,,3,0,6,6,0,0
183,Mornington Supercharger,-38.23425677,145.0514638,N.A,3931,Melbourne,"75 Mornington-Tyabb Rd, Mornington VIC 3931, Australia",,,,,6.0,,,,,,2,3,3,19,4,6
184,Rockhampton,-23.38227211,150.5134619,Rockhampton City,4700,Rockhampton,"172-189 Alma St, Rockhampton City QLD 4700, Australia",2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50,3.0,3,7,7,20,9,10
185,Dan Murphy’s Armstrong Creek,-38.225361,144.337345,N.A,3217,N.A,"458 Torquay Road, Armstrong Creek 3217, Australia",3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,3.0,0,0,6,15,2,5
186,Flinders General Store rear car park,-38.473287,145.016892,N.A,N.A,Melbourne,"48 Cook Street, Flinders VIC 3929, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,2,0,8,10,0,2
187,Belgrave Heights Convention Centre,-37.923605,145.348486,N.A,3160,Melbourne,"23 Lockwood Rd, Belgrave Heights VIC 3160, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,0,0,8,3,0,1
188,Morris Moor (Coming Soon),-37.941172,145.061402,N.A,3189,Melbourne,"282/284 Chesterville Rd, Moorabbin VIC 3189, Australia",6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,6.0,4,1,4,20,0,9
189,Good Guys,-38.148237,145.138689,N.A,3199,Melbourne,"1 Gertrude St, Frankston VIC 3199, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,2,5,6,20,4,11
190,Wilson Parking Eureka,-37.821726,144.965184,N.A,3006,Melbourne,"70 City Rd, Southbank VIC 3006, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,2.0,17,4,16,20,20,20
191,Cobblebank Stadium,-37.716016,144.599558,N.A,3338,Melbourne,"Astley Dr, Bridge Rd, Strathtulloh VIC 3338, Australia",0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,N.A,2.0,2,0,7,7,1,3
192,Myuna Farm,-37.985484,145.232704,N.A,3177,Melbourne,"182 Kidds Rd, Doveton VIC 3177, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,3,2,4,16,0,7
193,EVolution HQ,-37.942988,145.11844,N.A,3169,Melbourne,"Unit 32, 231 Osborne Avenue, Clayton South VIC 3169, Australia",2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,20.0,4.0,3,0,5,7,0,0
194,Eldridge Estate Winery,-38.372182,145.018678,N.A,3937,Melbourne,"120 Arthurs Seat Road, Red Hill VIC 3937, Australia",1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,N.A,2.0,1,0,3,6,1,2
195,Queens Road,-37.83477276,144.9737461,N.A,3004,Melbourne,"1-3 Queens Road, Melbourne VIC 3004, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,17,1,19,20,2,13
196,QESH - Cardwell,-18.2625592, 146.0249012,Cardwell,4849,N.A,"144 Victoria St, Cardwell QLD 4849, Australia",1.0,,1.0,1.0,,,,,50,,1,0,9,10,0,5
197,Pullman Melbourne Albert Park,-37.849977,144.97831,N.A,3004,Melbourne,"67 Queens Rd, Melbourne VIC 3004, Australia",0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,11.0,3.0,9,2,17,20,0,7
198,Kinglake Library (rear of the Police Station),-37.531509,145.339577,N.A,3763,N.A,"19 Whittlesea-Kinglake Rd, Kinglake VIC 3763, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,2.0,1,0,2,3,0,1
199,Pullman Reef Hotel Casino,-16.923837, 145.7796679,Cairns City,4870,Cairns,"1/35/41 Wharf St, Cairns City QLD 4870, Australia",3.0,,,,2.0,,,,11,,5,7,10,20,14,20
200,Southbank,-37.82123242,144.9673592,N.A,3006,Melbourne,2 Kavanagh St Southbank VIC 3006 Australia,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,N.A,2.0,16,4,15,20,20,20
201,QESH - Innisfail,-17.5209629, 146.0261103,Innisfail,4860,N.A,"Glady Street Innisfail QLD 4860, Australia",1.0,,1.0,1.0,,,,,50,,1,5,13,20,3,13
202,Flinders St,-37.81621089,144.9709391,N.A,3000,Melbourne,"114-128 Flinders St, Melbourne VIC 3000, Australia",2.0,0.0,0.0,0.0,3.0,0,0.0,0.0,N.A,5.0,18,12,20,20,20,20
203,Diamond Valley Sports and Fitness Centre,-37.689194,145.110764,N.A,3088,Melbourne,"44 Civic Dr, Greensborough VIC 3088, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,3,0,9,9,1,2
204,West Melbourne,-37.81010363,144.9510094,N.A,3003,Melbourne,"45 Dudley St, West Melbourne VIC 3003, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,20,2,20,20,20,20
205,Wilson Parking,-37.814781,144.956451,N.A,3000,Melbourne,"542 Little Bourke St, Melbourne VIC 3000, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,20,3,20,20,20,20
206,De Bortoli Wines Dixons Creek,-37.596809,145.412205,Steels Creek,3775,Melbourne,"58 Pinnacle Ln, Dixons Creek VIC 3775, Australia",1.0,0.0,0.0,0.0,2.0,0,0.0,1.0,N.A,4.0,1,0,0,2,0,0
207,Waverley Gardens Shopping Centre,-37.935556,145.189902,N.A,3170,Melbourne,"271 Police Rd, Mulgrave VIC 3170, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,2,0,13,16,2,7
208,Southbank,-37.82076345,144.9663122,N.A,N.A,Melbourne,"35-47 City Rd, Southbank VIC 3006, Australia",9.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,9.0,16,4,16,20,20,20
209,Port Melbourne,-37.83316274,144.9197754,N.A,3207,Melbourne,"327 Plummer St, Port Melbourne VIC 3207, Australia",3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,3.0,5,0,11,12,0,1
210,Sorrento Community Centre,-38.33811816,144.7372775,N.A,3943,Melbourne,"860 Melbourne Rd, Sorrento VIC 3943, Australia",,,2.0,2.0,,,,,,,1,0,5,20,0,6
211,Yarra Valley Nissan,-37.754859,145.363238,N.A,3140,Melbourne,"460-462 Maroondah Highway, Lilydale VIC 3140, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,1,2,6,20,1,2
212,Cairns,-16.92045651,145.7788731,Cairns City,4870,Cairns,"1 Pier Point Rd, Cairns City QLD 4870, Australia",2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50,3.0,5,9,10,20,14,20
213,Mantra Epping,-37.649756,145.008102,N.A,3076,Melbourne,"250 Cooper St, Epping VIC 3076, Australia",2.0,0.0,0.0,0.0,2.0,0,0.0,0.0,5.0,4.0,2,6,1,20,5,10
214,Secure Parking - 460 Lonsdale Street Car Park,-37.813049,144.958347,N.A,3000,Melbourne,"460 Lonsdale St, Melbourne VIC 3000, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,20,3,17,20,20,20
215,Port Melbourne,-37.8297164,144.9311229,N.A,3207,Melbourne,"525 Graham St, Port Melbourne VIC 3207, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,8,0,17,20,0,4
216,CB Smith Reserve,-37.70191464,144.9681533,N.A,3060,Melbourne,99 Jukes Road Fawkner VIC 3060 AU,,,1.0,1.0,,,,,,,2,0,2,19,1,11
217,Uni Hill Town Centre,-37.68247053,145.0710002,N.A,3082,Melbourne,"Shop 17/5 Janefield Dr, Bundoora VIC 3083, Australia",,,2.0,2.0,,,,,,,3,1,12,20,4,2
218,Tarneit Park Hub (BYO Type 2),-37.833989,144.69899,N.A,3029,Melbourne,"83 Leakes Rd, Tarneit VIC 3029, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,2,0,8,17,3,4
219,Secure Parking (Southern Cross),-37.812452,144.969535,N.A,3000,Melbourne,"129 Bourke St, Melbourne VIC 3000, Australia",0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,N.A,2.0,17,9,18,20,20,20
220,RACV Head Office (Service Centre Car Park),-37.952893,145.180067,N.A,3174,Melbourne,"Browns Road, Noble Park North‎ VIC‎ 3174, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,2,0,11,18,1,2
221,Mossman Gorge Centre,-16.4742541, 145.3483542,Mossman Gorge,N.A,N.A,"212r Mossman Gorge Rd, Mossman Gorge QLD 4873, Australia",2.0,,,,,,,,7,,1,0,2,3,0,0
222,Docklands,-37.81254895,144.939394,N.A,3008,Melbourne,"78 Waterfront Way, Docklands VIC 3008, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,14,0,19,20,5,16
223,Prahran Square,-37.847695,144.99266,N.A,3181,Melbourne,"Prahran Square, 30-40 Izett Street, Prahran VIC 3181, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,10.0,N.A,12.0,9,3,19,20,7,18
224,Schnapper Point Dr Parking/Charging,-38.215455,145.035453,N.A,3931,Melbourne,"Schnapper Point Dr, Mornington VIC 3931, Australia",0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,2,2,8,20,4,9
225,Botanic Ridge Village,-38.150115,145.290458,N.A,N.A,Melbourne,"10 Hummingbird Dr, Botanic Ridge VIC 3977, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,0,0,4,2,1,2
226,Yarraville,-37.81899541,144.8964976,N.A,3013,Melbourne,"2/209 Hyde St, Yarraville VIC 3013",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,N.A,1.0,1,0,8,20,1,4
227,Downie St,-37.82020302,144.9555652,N.A,3000,Melbourne,"25 Downie St, Melbourne VIC 3000, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,20,3,18,20,20,20
228,Solargain Hastings,-38.314125,145.184157,N.A,3915,Melbourne,"2161 Frankston - Flinders Rd, Hastings VIC 3915, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,2,0,7,20,1,8
229,Priority One Trade Services,-38.231677,145.056367,N.A,3931,Melbourne,"65 Watt Road, Mornington‎ VIC‎ 3931, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,1.0,2,1,4,17,3,3
230,"Footscray town hall, Maribyrnong city council",-37.804868,144.900362,N.A,3011,Melbourne,"61 Napier St, Footscray VIC 3011, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,0,0,9,20,5,17
231,Geelong Supercharger,-38.065192,144.382451,N.A,3214,N.A,"470-510 Princes Hwy, Geelong, VIC, Australia, 3214",0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,250.0,6.0,1,0,2,6,1,2
232,Marlborough,-22.82764427,149.9327796,Marlborough,N.A,N.A,"71209 Kunwarara Rd, Marlborough QLD 4705, Australia",2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50,3.0,1,0,1,0,0,0
233,Bayside City Council,-37.95950238,145.0169255,N.A,3191,Melbourne,"76 Royal Ave, Sandringham VIC 3191, Australia",,,1.0,1.0,,,,,,,2,1,14,20,0,4
234,Brooklands of Mornington,-38.221655,145.045807,N.A,3931,Melbourne,"99 Tanti Ave, Mornington, VIC, Australia, 3931",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,22.0,2.0,2,3,10,20,7,10
235,Club Armstrong,-38.225341,144.328361,N.A,3217,N.A,"101 Unity Drive, Mount Duneed VIC 3217, Australia",0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,N.A,2.0,0,0,7,15,2,4
236,Altona Gate Shopping Centre,-37.827587,144.848241,N.A,3025,Melbourne,"124-134 Millers Rd, Altona North VIC 3025, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,0,0,2,20,2,9
237,Clifftop Accommodation Phillip Island,-38.504564,145.259653,N.A,3923,N.A,"1 Marlin Street, Smiths Beach, VIC 3922",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,22.0,2.0,1,0,1,1,0,1
238,Kinglake Reserve (beside public toilets),-37.53009,145.340696,N.A,3763,N.A,"1 Kinglake-Glenburn Rd, Kinglake VIC 3763, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,2.0,1,0,4,3,0,1
239,Griffith,-17.9347544, 145.9253729,Tully,4854,N.A,"Morris St, Tully QLD 4854, Australia",2.0,,1.0,1.0,,,,,50,,1,2,6,9,0,5
240,Pullman Melbourne on the Park,-37.815994,144.983228,N.A,3002,Melbourne,"192 Wellington Parade, Melbourne VIC 3002",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,N.A,2.0,18,15,19,20,5,15
241,Queens Road,-37.84977063,144.9784513,N.A,3004,Melbourne,"67 Queens Rd, Melbourne VIC 3004",0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,N.A,3.0,9,2,17,20,1,8
242,Porsche Centre Brighton,-37.92549673,145.0278825,N.A,3187,Melbourne,"855 Nepean Hwy, Bentleigh VIC 3204, Australia",,,1.0,,,,,,,,1,1,16,20,2,13
243,(No Longer In Use) DHL Melbourne Gateway,-37.684086,144.863519,N.A,3045,Melbourne,"4 mace Wy, Melbourne Airport VIC 3045, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,0,0,2,6,0,1
