,Location Name,Latitude,Longitude,Town,Postal Code,City,Address,Plugs_Type2,Plugs_Three_Phase,Plugs_CHAdeMO,Plugs_CCS/SAE,Plugs_Tesla,Plugs_J-1772,Plugs_Caravan_Mains_Socket,Plugs_wall_AU/NZ,Power 1,charging_stations,Nearby EVStations,Hospitals,Parks,Restaurants,Malls,Supermarkets
22,Bourke St,-37.81477906,144.956447,N.A,3000,Melbourne,"542 Little Bourke St, Melbourne VIC 3000, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,20,3,20,20,20,20
23,Energy Smart Water,-38.334999,144.98653,N.A,3936,Melbourne,"11 Dalkeith Drive, Dromana VIC 3936, Australia",0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,N.A,1.0,0,0,4,9,0,1
24,South Melbourne,-37.82974328,144.960726,N.A,3205,Melbourne,"229 Coventry St, South Melbourne VIC 3205, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,20,1,19,20,5,20
25,Pacific Epping Shopping Centre,-37.653416,145.016892,N.A,3075,Melbourne,"583 High St, Epping VIC 3076, Australia",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,22.0,2.0,2,7,2,20,8,13
26,Jet City Hangar 131,-37.719978,144.892935,N.A,3041,Melbourne,"Essendon Fields VIC 3042, Australia",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,22.0,1.0,2,0,6,20,2,10
27,Ampol Foodary Altona North,-37.84646146,144.8088603,N.A,3025,Melbourne,"1 Horsburgh Drive, Altona North, VIC 3025, Australia",,,2.0,2.0,,,,,,,2,0,0,2,0,0
28,Glenroy Community Hub,-37.708497,144.924037,N.A,3046,Melbourne,"50 Wheatsheaf Rd, Glenroy 3046, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,1.0,2,1,6,20,0,16
29,Lygon Street Car park,-37.802158,144.96708,N.A,3053,Melbourne,204-218 Lygon St Carlton Victoria 3053 Australia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,15,13,17,20,15,20
30,Paradigm Hill Winery,-38.385929,145.071771,N.A,3916,Melbourne,"26 Merricks Road Merricks VIC 3916, Australia",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,22.0,1.0,1,0,1,0,0,0
31,Chargefox Charging Station,-36.72751174841472, 145.59358907054357,Euroa,3666,N.A,167 Tarcombe St,0.0,,1.0,1.0,0.0,,,,,,1,0,0,0,0,0
32,Dandenong Agricultural and Pastoral Society,-37.983731,145.196402,N.A,3174,Melbourne,"Dandenong‎ VIC‎ 3175, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,0,0,8,20,0,8
33,Melbourne Airport - Qantas Valet Parking,-37.669133,144.851581,N.A,3045,Melbourne,"15-25 Francis Briggs Road, Tullamarine, , Australia, VIC 3045",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,22.0,2.0,0,0,0,20,1,1
34,Secure Parking (450 Flinders Lane),-37.818758,144.958866,N.A,3000,Melbourne,"450 Flinders Ln, Melbourne VIC 3000, Australia",10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,10.0,20,4,16,20,20,20
35,Lakeside Villas at Crittenden Estate,-38.335276,145.018981,N.A,3936,Melbourne,"25 Harrisons Rd, Dromana VIC 3936, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,1,0,0,2,0,1
36,Ampol Dandenong Stud Road,-37.97134,145.223814,N.A,3177,Melbourne,"Corner Stud And, Heatherton Rd, Dandenong VIC 3175, Australia",0.0,0.0,4.0,4.0,0.0,0,0.0,0.0,350.0,8.0,2,5,5,11,2,1
37,Lorbek Luxury Cars,-37.833209,144.919764,N.A,3207,Melbourne,"327 Plummer St, Port Melbourne VIC 3207, Australia",3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,22.0,3.0,5,0,13,13,0,1
38,McDonald’s Melton South,-37.722801,144.572251,N.A,3338,Melbourne,"179-253 Exford Rd, Weir Views VIC 3338, Australia",0.0,0.0,4.0,4.0,0.0,0,0.0,0.0,50.0,8.0,1,0,4,10,1,4
39,Huberts Estate,-37.697017,145.415698,N.A,3770,Melbourne,"10 St Huberts Rd, Coldstream VIC 3770, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,1,0,0,4,0,0
40,Swinburne University - TC Building,-37.820819,145.039887,N.A,3122,Melbourne,"20 William St, Hawthorn VIC 3122, Australia",0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50.0,2.0,2,1,9,20,2,12
41,Donato Cafe,-38.256559,145.037439,N.A,3934,Melbourne,"88 Craigie Rd, Mount Martha VIC 3934, Australia",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,5.0,2.0,0,0,4,8,1,2
42,Hyatt Centric Melbourne,-37.820407,144.955802,N.A,3000,Melbourne,"25 Downie St, Melbourne VIC 3000, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,20,3,17,20,20,20
43,Park Hyatt Melbourne,-37.811933,144.976125,N.A,3002,Melbourne,"1 Parliament Square Off, Parliament Pl, Melbourne VIC 3002, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,19,16,18,20,20,20
44,Westfield Airport West,-37.713651,144.885527,N.A,3042,Melbourne,"29-35 Louis St, Airport West VIC 3042, Australia",0.0,0.0,2.0,6.0,0.0,0,0.0,0.0,50.0,8.0,2,0,2,20,1,6
45,Northern Motor Group - Pre Delivery Dept,-37.704572,145.072077,N.A,3083,Melbourne,"55 Clements Avenue, Bundoora‎ VIC‎ 3083, Australia",0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,N.A,1.0,1,1,8,20,2,7
46,Laverton Community Hub,-37.865302,144.76925,N.A,3028,Melbourne,"Cohealth Clinic, Laverton Community Hub Corner Donald St &, Railway Ave, Laverton VIC 3028, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,1,0,9,20,1,11
47,BP Caroline Springs (Coming Soon),-37.75577,144.741077,N.A,3023,Melbourne,"1324-1332 Western Hwy, Caroline Springs VIC 3023, Australia",0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,N.A,1.0,0,0,7,20,3,6
48,Wunggurrwil Dhurrung Centre,-37.876378,144.62706,N.A,3024,Melbourne,"Wunggurrwil Dhurrung Centre 19 Communal Road, Wyndham Vale VIC 3024, Australia",1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,1.0,2,0,10,14,2,4
49,District Docklands Shopping - West Carpark,-37.812855,144.93695,N.A,3008,Melbourne,"8-9 Star Circus, Docklands VIC 3008, Australia",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,22.0,1.0,12,0,18,20,3,12
50,Darebin Civic Centre Precinct,-37.740102,145.005114,N.A,3072,Melbourne,"274 Gower Street, Preston VIC 3072, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,2,1,10,20,0,18
51,CB Smith Reserve,-37.702614,144.969502,N.A,3060,Melbourne,99 Jukes Road Fawkner VIC 3060 AU,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,25.0,2.0,2,0,2,19,1,11
52,Docklands,-37.81279364,144.9373902,N.A,3008,Melbourne,"8-9 Star Circus, Docklands VIC 3008, Australia",0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,N.A,1.0,12,0,18,20,3,14
53,Hobsons Bay Civic Centre,-37.86361164,144.8310105,N.A,3018,Melbourne,"115 Civic Parade, Altona VIC 3018, Australia",,,1.0,1.0,,,,,,,2,0,9,20,1,5
54,Melbourne Richmond Supercharger,-37.831997,144.995807,N.A,3121,Melbourne,"650 Church St, Cremorne VIC 3121, Australia",0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,120.0,4.0,15,0,17,20,5,0
55,Wilson Parking,-37.811294,144.967823,N.A,3000,Melbourne,"222 Russell St, Melbourne VIC 3000, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,2.0,17,7,20,20,20,20
56,Evie Charging Station,-36.75541430968068, 144.28700075602384,Bendigo,3550,Bendigo,Gaol Rd,0.0,,1.0,1.0,0.0,,,,,,6,8,13,20,20,11
57,Childers,-25.23560702,152.2788755,Childers,4660,N.A,"1-3 Crescent St, Childers QLD 4660, Australia",1.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50,4.0,1,1,7,9,0,5
58,Foreshore Camping,-38.359707,144.888748,N.A,3940,Melbourne,"1380 Point Nepean Rd, Rosebud VIC 3939, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,0,1,8,20,2,7
59,Kingston Village Square (DC Fast Charger),-38.246677,144.540122,N.A,3226,N.A,"Kingston Village Square, Grubb Rd, Ocean Grove VIC 3226, Australia",2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50.0,4.0,1,0,5,15,1,2
60,Springvale MEGA Centre,-37.94168,145.167746,N.A,3171,Melbourne,"754-769 Princes Hwy, Springvale VIC 3171, Australia",2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,2.0,4,0,6,20,1,7
61,Greensborough Plaza,-37.702301,145.102344,N.A,3088,Melbourne,"25 Main St, Greensborough VIC 3088, Australia",4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,4.0,2,2,14,20,6,7
62,Miriam Vale,-24.32778446,151.5601492,Miriam Vale,N.A,N.A,"39 Blomfield St, Miriam Vale QLD 4677, Australia",2.0,0.0,1.0,1.0,0.0,0,0.0,0.0,50,3.0,1,0,4,4,0,1
63,Tooronga Village,-37.845907,145.046669,N.A,3123,Melbourne,"766 Toorak Rd, Glen Iris VIC 3146",0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,22.0,2.0,4,1,14,20,3,5
64,Collingwood Library,-37.804471,144.99327,N.A,3067,Melbourne,"13 Stanton St, Abbotsford VIC 3067, Australia",0.0,0.0,4.0,4.0,0.0,0,0.0,0.0,50.065,8.0,12,4,14,20,1,20
65,Bollygum Park,-37.529366,145.339116,N.A,3763,N.A,"Bollygum Park, 40 Whittlesea-Kinglake Rd, Kinglake VIC 3763, Australia",0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,N.A,1.0,1,0,2,3,0,1
66,Woolworths Heidelberg,-37.758997,145.068632,N.A,3084,Melbourne,"451 Lower Heidelberg Rd, Heidelberg VIC 3084, Australia",16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,N.A,16.0,2,4,17,20,2,7
67,QESH - Port Douglas,-16.5271215, 145.4631622,N.A,4877,N.A,143 - 145 Port Douglas Road Port Douglas QLD 4877 AU,1.0,,1.0,1.0,, ,,,50,,1,0,4,5,0,1
